Dado,Label,Predição,Avaliação
299,correto,P-correto,VP
299,correto,P-correto,VP
300,correto,P-correto,VP
300,correto,P-correto,VP
300,correto,P-correto,VP
301,correto,P-correto,VP
300,correto,P-correto,VP
300,correto,P-correto,VP
299,correto,P-correto,VP
301,correto,P-correto,VP
300,correto,P-correto,VP
300,correto,P-correto,VP
300,correto,P-correto,VP
300,correto,P-correto,VP
299,correto,P-correto,VP
299,correto,P-correto,VP
300,correto,P-correto,VP
301,correto,P-correto,VP
300,correto,P-correto,VP
300,correto,P-correto,VP
300,correto,P-correto,VP
300,correto,P-correto,VP
300,correto,P-correto,VP
301,correto,P-correto,VP
300,correto,P-correto,VP
300,correto,P-correto,VP
300,correto,P-correto,VP
299,correto,P-correto,VP
299,correto,P-correto,VP
300,correto,P-correto,VP
299,correto,P-correto,VP
300,correto,P-correto,VP
301,correto,P-correto,VP
300,correto,P-correto,VP
299,correto,P-correto,VP
300,correto,P-correto,VP
300,correto,P-correto,VP
300,correto,P-correto,VP
300,correto,P-correto,VP
300,correto,P-correto,VP
300,correto,P-correto,VP
300,correto,P-correto,VP
299,correto,P-correto,VP
301,correto,P-correto,VP
300,correto,P-correto,VP
300,correto,P-correto,VP
55,incorreto,P-incorreto,VN
299,correto,P-correto,VP
300,correto,P-correto,VP
299,correto,P-correto,VP
300,correto,P-correto,VP
300,correto,P-correto,VP
300,correto,P-correto,VP
300,correto,P-correto,VP
300,correto,P-correto,VP
300,correto,P-correto,VP
300,correto,P-correto,VP
300,correto,P-correto,VP
300,correto,P-correto,VP
300,correto,P-correto,VP
300,correto,P-correto,VP
300,correto,P-correto,VP
299,correto,P-correto,VP
300,correto,P-correto,VP
300,correto,P-correto,VP
300,correto,P-correto,VP
300,correto,P-correto,VP
301,correto,P-correto,VP
300,correto,P-correto,VP
50,incorreto,P-incorreto,VN
300,correto,P-correto,VP
301,correto,P-correto,VP
300,correto,P-correto,VP
301,correto,P-correto,VP
300,correto,P-correto,VP
300,correto,P-correto,VP
300,correto,P-correto,VP
300,correto,P-correto,VP
6,incorreto,P-incorreto,VN
299,correto,P-correto,VP
300,correto,P-correto,VP
300,correto,P-correto,VP
300,correto,P-correto,VP
300,correto,P-correto,VP
299,correto,P-correto,VP
500,incorreto,P-incorreto,VN
300,correto,P-correto,VP
300,correto,P-correto,VP
300,correto,P-correto,VP
300,correto,P-correto,VP
300,correto,P-correto,VP
300,correto,P-correto,VP
3,incorreto,P-incorreto,VN
299,correto,P-correto,VP
300,correto,P-correto,VP
300,correto,P-correto,VP
300,correto,P-correto,VP
300,correto,P-correto,VP
300,correto,P-correto,VP
200,incorreto,P-incorreto,VN
300,correto,P-correto,VP
300,correto,P-correto,VP
300,correto,P-correto,VP
300,correto,P-correto,VP
301,correto,P-correto,VP
300,correto,P-correto,VP
