Temperature,Label
110,correto
111,correto
110,correto
110,correto
109,correto
110,correto
110,correto
109,correto
109,correto
109,correto
110,correto
110,correto
110,correto
111,correto
111,correto
111,correto
55,incorreto
110,correto
200,incorreto
111,correto
110,correto
110,correto
110,correto
111,correto
110,correto
110,correto
110,correto
110,correto
110,correto
110,correto
110,correto
109,correto
110,correto
110,correto
110,correto
110,correto
109,correto
111,correto
110,correto
110,correto
110,correto
110,correto
110,correto
300,incorreto
110,correto
110,correto
109,correto
111,correto
109,correto
6,incorreto
110,correto
110,correto
110,correto
109,correto
110,correto
109,correto
109,correto
111,correto
110,correto
110,correto
110,correto
110,correto
111,correto
111,correto
110,correto
110,correto
110,correto
110,correto
111,correto
109,correto
110,correto
111,correto
110,correto
110,correto
110,correto
110,correto
109,correto
110,correto
110,correto
110,correto
110,correto
109,correto
110,correto
110,correto
50,incorreto
111,correto
110,correto
110,correto
111,correto
109,correto
110,correto
110,correto
111,correto
110,correto
3,incorreto
111,correto
110,correto
110,correto
110,correto
110,correto
109,correto
109,correto
111,correto
110,correto
110,correto
110,correto
