Dados,Label
200,incorreto
300,correto
300,correto
300,correto
300,correto
299,correto
300,correto
301,correto
300,correto
300,correto
300,correto
300,correto
6,incorreto
300,correto
300,correto
301,correto
300,correto
300,correto
50,incorreto
55,incorreto
300,correto
300,correto
301,correto
300,correto
300,correto
300,correto
300,correto
300,correto
500,incorreto
300,correto
300,correto
300,correto
300,correto
300,correto
300,correto
300,correto
300,correto
300,correto
301,correto
301,correto
299,correto
301,correto
300,correto
300,correto
301,correto
300,correto
301,correto
300,correto
300,correto
300,correto
300,correto
301,correto
300,correto
300,correto
300,correto
3,incorreto
300,correto
300,correto
300,correto
300,correto
300,correto
301,correto
300,correto
300,correto
300,correto
301,correto
301,correto
301,correto
301,correto
300,correto
300,correto
299,correto
301,correto
300,correto
299,correto
300,correto
300,correto
300,correto
299,correto
300,correto
301,correto
300,correto
300,correto
300,correto
299,correto
301,correto
299,correto
300,correto
300,correto
300,correto
301,correto
300,correto
300,correto
300,correto
300,correto
300,correto
300,correto
300,correto
300,correto
300,correto
300,correto
300,correto
299,correto
300,correto
301,correto
300,correto
