Dados,Label
43,correto
42,correto
42,correto
42,correto
42,correto
41,correto
42,correto
43,correto
43,correto
42,correto
55,incorreto
42,correto
300,incorreto
42,correto
42,correto
41,correto
42,correto
42,correto
43,correto
42,correto
43,correto
42,correto
41,correto
42,correto
42,correto
40,correto
42,correto
42,correto
42,correto
42,correto
41,correto
43,correto
43,correto
42,correto
41,correto
43,correto
42,correto
42,correto
42,correto
42,correto
41,correto
42,correto
42,correto
43,correto
50,incorreto
42,correto
42,correto
42,correto
42,correto
42,correto
3,incorreto
6,incorreto
42,correto
42,correto
42,correto
42,correto
41,correto
42,correto
42,correto
42,correto
41,correto
42,correto
42,correto
42,correto
41,correto
42,correto
200,incorreto
43,correto
42,correto
41,correto
42,correto
42,correto
42,correto
43,correto
42,correto
42,correto
41,correto
41,correto
42,correto
42,correto
42,correto
42,correto
42,correto
41,correto
42,correto
43,correto
42,correto
42,correto
42,correto
43,correto
43,correto
42,correto
43,correto
42,correto
42,correto
42,correto
42,correto
43,correto
42,correto
41,correto
43,correto
42,correto
42,correto
42,correto
42,correto
43,correto
