Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Accuracy,Tempo Processa Sensor
1,diversidade-Bias-L2,1.0,1.0,1.0,1.0,0.021300792694091797
2,diversidade-Bias-L2,0.9982668977469671,1.0,0.9991326973113617,0.9996527777777777,0.021119117736816406
3,diversidade-Bias-L2,0.9948186528497409,1.0,0.9974025974025974,0.9989583333333333,0.021094799041748047
4,diversidade-Bias-L2,0.9959654178674352,1.0,0.9979786312445856,0.9991898148148148,0.020938396453857422
5,diversidade-Bias-L2,0.9953917050691244,1.0,0.997690531177829,0.9990740740740741,0.02118086814880371
6,diversidade-Bias-L2,0.9959654178674352,1.0,0.9979786312445856,0.9991898148148148,0.022086143493652344
7,diversidade-Bias-L2,0.9976905311778291,1.0,0.9988439306358381,0.999537037037037,0.021420955657958984
8,diversidade-Bias-L2,0.9959654178674352,1.0,0.9979786312445856,0.9991898148148148,0.021106243133544922
9,diversidade-Bias-L2,0.9965397923875432,1.0,0.9982668977469671,0.9993055555555556,0.02111029624938965
10,diversidade-Bias-L2,0.9959654178674352,1.0,0.9979786312445856,0.9991898148148148,0.02105236053466797
11,diversidade-Bias-L2,0.9953917050691244,1.0,0.997690531177829,0.9990740740740741,0.02145671844482422
12,diversidade-Bias-L2,0.9965397923875432,1.0,0.9982668977469671,0.9993055555555556,0.022046566009521484
13,diversidade-Bias-L2,0.9959654178674352,1.0,0.9979786312445856,0.9991898148148148,0.021329402923583984
14,diversidade-Bias-L2,0.9971148297749567,1.0,0.9985553308292402,0.9994212962962963,0.021353483200073242
15,diversidade-Bias-L2,0.9953917050691244,1.0,0.997690531177829,0.9990740740740741,0.022075653076171875
16,diversidade-Bias-L2,0.9971148297749567,1.0,0.9985553308292402,0.9994212962962963,0.02109670639038086
17,diversidade-Bias-L2,0.9965397923875432,1.0,0.9982668977469671,0.9993055555555556,0.021392822265625
18,diversidade-Bias-L2,0.9953917050691244,1.0,0.997690531177829,0.9990740740740741,0.021000146865844727
19,diversidade-Bias-L2,0.9953917050691244,1.0,0.997690531177829,0.9990740740740741,0.02126336097717285
20,diversidade-Bias-L2,0.9971148297749567,1.0,0.9985553308292402,0.9994212962962963,0.021377086639404297
21,diversidade-Bias-L2,0.9971148297749567,1.0,0.9985553308292402,0.9994212962962963,0.021576404571533203
22,diversidade-Bias-L2,0.9965397923875432,1.0,0.9982668977469671,0.9993055555555556,0.021083593368530273
23,diversidade-Bias-L2,0.9965397923875432,1.0,0.9982668977469671,0.9993055555555556,0.021539926528930664
24,diversidade-Bias-L2,0.9965397923875432,1.0,0.9982668977469671,0.9993055555555556,0.022505998611450195
25,diversidade-Bias-L2,0.9965397923875432,1.0,0.9982668977469671,0.9993055555555556,0.022686481475830078
26,diversidade-Bias-L2,0.9971148297749567,1.0,0.9985553308292402,0.9994212962962963,0.022600889205932617
27,diversidade-Bias-L2,0.9988439306358381,1.0,0.9994216310005783,0.9997685185185186,0.022948741912841797
28,diversidade-Bias-L2,0.9965397923875432,1.0,0.9982668977469671,0.9993055555555556,0.022614479064941406
29,diversidade-Bias-L2,0.9948186528497409,1.0,0.9974025974025974,0.9989583333333333,0.02327418327331543
30,diversidade-Bias-L2,0.9982668977469671,1.0,0.9991326973113617,0.9996527777777777,0.022734642028808594
1,diversidade-Bias-L2,1.0,1.0,1.0,1.0,0.02297806739807129
2,diversidade-Bias-L2,0.9982668977469671,1.0,0.9991326973113617,0.9996527777777777,0.02318572998046875
