Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Accuracy,Tempo Processa Sensor
1,diversidade-Noise-L1,0.9885057471264368,0.7962962962962963,0.8820512820512821,0.9787037037037037,0.021702051162719727
2,diversidade-Noise-L1,1.0,0.8321759259259259,0.9084017687934302,0.9832175925925926,0.02171039581298828
3,diversidade-Noise-L1,0.9971264367816092,0.8032407407407407,0.8897435897435898,0.9800925925925926,0.021999359130859375
4,diversidade-Noise-L1,0.9900709219858156,0.8078703703703703,0.8897386870618229,0.9799768518518519,0.021622180938720703
5,diversidade-Noise-L1,0.9928774928774928,0.8067129629629629,0.8901660280970626,0.9800925925925926,0.021422386169433594
6,diversidade-Noise-L1,0.996937212863706,0.7534722222222222,0.8582729070533949,0.9751157407407407,0.021335124969482422
7,diversidade-Noise-L1,0.9903047091412742,0.8275462962962963,0.901639344262295,0.9819444444444444,0.021363258361816406
8,diversidade-Noise-L1,0.9836065573770492,0.8333333333333334,0.9022556390977444,0.9819444444444444,0.021294593811035156
9,diversidade-Noise-L1,0.9929873772791024,0.8194444444444444,0.8979074191502854,0.9813657407407408,0.02120041847229004
10,diversidade-Noise-L1,0.994277539341917,0.8043981481481481,0.889315419065899,0.9799768518518519,0.021362781524658203
11,diversidade-Noise-L1,0.9944598337950139,0.8310185185185185,0.9054224464060528,0.9826388888888888,0.021457433700561523
12,diversidade-Noise-L1,0.9942446043165467,0.7997685185185185,0.8864656831302116,0.9795138888888889,0.021689891815185547
13,diversidade-Noise-L1,0.9956584659913169,0.7962962962962963,0.8848874598070741,0.9792824074074075,0.027933835983276367
14,diversidade-Noise-L1,0.9875346260387812,0.8252314814814815,0.8991172761664564,0.9814814814814815,0.021221160888671875
15,diversidade-Noise-L1,0.9860529986052998,0.8182870370370371,0.894370651486401,0.9806712962962963,0.02257704734802246
16,diversidade-Noise-L1,0.9943422913719944,0.8136574074074074,0.8949713558243158,0.9809027777777778,0.022435426712036133
17,diversidade-Noise-L1,0.9886201991465149,0.8043981481481481,0.8870453095086152,0.9795138888888889,0.021276473999023438
18,diversidade-Noise-L1,0.9912408759124087,0.7858796296296297,0.8766946417043253,0.9778935185185185,0.021328210830688477
19,diversidade-Noise-L1,0.9914772727272727,0.8078703703703703,0.8903061224489796,0.9800925925925926,0.021671533584594727
20,diversidade-Noise-L1,0.9912152269399708,0.7835648148148148,0.8752424046541692,0.977662037037037,0.021306276321411133
21,diversidade-Noise-L1,0.9873772791023843,0.8148148148148148,0.8928344958782498,0.9804398148148148,0.02200937271118164
22,diversidade-Noise-L1,0.9927431059506531,0.7916666666666666,0.8808757244043787,0.9785879629629629,0.0221254825592041
23,diversidade-Noise-L1,0.9943661971830986,0.8171296296296297,0.8970775095298602,0.98125,0.02195262908935547
24,diversidade-Noise-L1,0.9971139971139971,0.7997685185185185,0.8876043673731535,0.9797453703703703,0.02175140380859375
25,diversidade-Noise-L1,0.9985795454545454,0.8136574074074074,0.8966836734693877,0.98125,0.02209639549255371
26,diversidade-Noise-L1,0.9927536231884058,0.7928240740740741,0.8815958815958816,0.9787037037037037,0.02194952964782715
27,diversidade-Noise-L1,0.9914529914529915,0.8055555555555556,0.888888888888889,0.9798611111111111,0.021930932998657227
28,diversidade-Noise-L1,0.9927745664739884,0.7951388888888888,0.8830334190231363,0.9789351851851852,0.022166728973388672
29,diversidade-Noise-L1,0.9971711456859972,0.8159722222222222,0.8975175047740293,0.9813657407407408,0.02165532112121582
30,diversidade-Noise-L1,0.9914040114613181,0.8009259259259259,0.886043533930858,0.9793981481481482,0.021248340606689453
1,diversidade-Noise-L1,0.9985693848354793,0.8078703703703703,0.8931541906589893,0.9806712962962963,0.021787166595458984
2,diversidade-Noise-L1,0.9972027972027973,0.8252314814814815,0.903103229892337,0.9822916666666667,0.021558523178100586
3,diversidade-Noise-L1,0.9985693848354793,0.8078703703703703,0.8931541906589893,0.9806712962962963,0.021886587142944336
4,diversidade-Noise-L1,0.9970544918998527,0.7835648148148148,0.8775113415424497,0.978125,0.021860599517822266
5,diversidade-Noise-L1,0.9941775836972343,0.7905092592592593,0.8807221147646679,0.9785879629629629,0.021593332290649414
6,diversidade-Noise-L1,0.9943899018232819,0.8206018518518519,0.8991756499682941,0.9815972222222222,0.025051355361938477
7,diversidade-Noise-L1,0.99568345323741,0.8009259259259259,0.8877485567671585,0.9797453703703703,0.021762847900390625
8,diversidade-Noise-L1,0.9956268221574344,0.7905092592592593,0.8812903225806451,0.9787037037037037,0.02147221565246582
9,diversidade-Noise-L1,0.998546511627907,0.7951388888888888,0.8853092783505155,0.9793981481481482,0.02205634117126465
