Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Accuracy,Tempo Processa Sensor
1,isolation-Bias-L3,1.0,0.3314043209876543,0.49782671689365404,0.7994212962962963,0.07396578788757324
2,isolation-Bias-L3,0.9824561403508771,0.32407407407407407,0.4873803307223673,0.7954861111111111,0.07660555839538574
3,isolation-Bias-L3,0.9785202863961814,0.31635802469135804,0.47813411078717205,0.7928240740740741,0.07399606704711914
4,isolation-Bias-L3,0.9775678866587958,0.3194444444444444,0.48153533003780163,0.7936342592592592,0.07377243041992188
5,isolation-Bias-L3,0.9769696969696969,0.3109567901234568,0.47175885279484925,0.7910879629629629,0.07693958282470703
6,isolation-Bias-L3,0.978494623655914,0.3159722222222222,0.4776902887139107,0.7927083333333333,0.07416105270385742
7,isolation-Bias-L3,0.9751693002257337,0.16666666666666666,0.2846787479406919,0.7487268518518518,0.07390332221984863
8,isolation-Bias-L3,0.9831730769230769,0.15779320987654322,0.2719414893617021,0.7465277777777778,0.07616114616394043
9,isolation-Bias-L3,0.9785969084423306,0.3175154320987654,0.4794640256335566,0.7931712962962963,0.07397961616516113
10,isolation-Bias-L3,0.9785458879618594,0.3167438271604938,0.4785776741474788,0.7929398148148148,0.07417511940002441
11,isolation-Bias-L3,0.9784431137724551,0.3152006172839506,0.4768018675226145,0.7924768518518519,0.0776364803314209
12,isolation-Bias-L3,0.9810201660735468,0.31905864197530864,0.481513828238719,0.7938657407407408,0.07396197319030762
13,isolation-Bias-L3,0.9829476248477467,0.3113425925925926,0.47289774392030476,0.7917824074074075,0.07400727272033691
14,isolation-Bias-L3,0.9782608695652174,0.1736111111111111,0.29488859764089126,0.7509259259259259,0.07798218727111816
15,isolation-Bias-L3,0.9863692688971499,0.30709876543209874,0.4683730508973227,0.7908564814814815,0.07367467880249023
16,isolation-Bias-L3,0.9807445442875481,0.29475308641975306,0.45327795906259266,0.7866898148148148,0.07370781898498535
17,isolation-Bias-L3,0.9547413793103449,0.1709104938271605,0.2899214659685864,0.7488425925925926,0.07738184928894043
18,isolation-Bias-L3,0.9785202863961814,0.31635802469135804,0.47813411078717205,0.7928240740740741,0.07421016693115234
19,isolation-Bias-L3,0.9732685297691372,0.3090277777777778,0.4691068814055636,0.790162037037037,0.07416772842407227
20,isolation-Bias-L3,0.9775147928994082,0.31867283950617287,0.4806517311608962,0.7934027777777778,0.07765364646911621
21,isolation-Bias-L3,0.9767441860465116,0.32407407407407407,0.48667439165701043,0.7949074074074074,0.07584977149963379
22,isolation-Bias-L3,0.9763313609467456,0.31828703703703703,0.4800698283386674,0.7931712962962963,0.07429313659667969
23,isolation-Bias-L3,0.9795180722891567,0.3136574074074074,0.4751607247223846,0.7921296296296296,0.07628488540649414
24,isolation-Bias-L3,0.9829683698296837,0.3117283950617284,0.47334504979496195,0.7918981481481482,0.07383871078491211
25,isolation-Bias-L3,0.9778051787916153,0.30594135802469136,0.4660593593887746,0.789699074074074,0.07387924194335938
26,isolation-Bias-L3,0.985524728588661,0.3152006172839506,0.4776381175095002,0.7931712962962963,0.07851123809814453
27,isolation-Bias-L3,1.0,0.33294753086419754,0.49956584659913167,0.7998842592592592,0.07421565055847168
28,isolation-Bias-L3,0.9857651245551602,0.32060185185185186,0.48384279475982533,0.7947916666666667,0.0738518238067627
29,isolation-Bias-L3,0.9799291617473436,0.32021604938271603,0.48269845885431806,0.7940972222222222,0.07587242126464844
30,isolation-Bias-L3,1.0,0.16859567901234568,0.28854407395179926,0.7505787037037037,0.07390761375427246
1,isolation-Bias-L3,1.0,0.3314043209876543,0.49782671689365404,0.7994212962962963,0.08615851402282715
2,isolation-Bias-L3,0.9824561403508771,0.32407407407407407,0.4873803307223673,0.7954861111111111,0.09396576881408691
3,isolation-Bias-L3,0.9785202863961814,0.31635802469135804,0.47813411078717205,0.7928240740740741,0.09918093681335449
4,isolation-Bias-L3,0.9775678866587958,0.3194444444444444,0.48153533003780163,0.7936342592592592,0.07655906677246094
5,isolation-Bias-L3,0.9769696969696969,0.3109567901234568,0.47175885279484925,0.7910879629629629,0.07894539833068848
6,isolation-Bias-L3,0.978494623655914,0.3159722222222222,0.4776902887139107,0.7927083333333333,0.0761415958404541
7,isolation-Bias-L3,0.9751693002257337,0.16666666666666666,0.2846787479406919,0.7487268518518518,0.07434821128845215
8,isolation-Bias-L3,0.9831730769230769,0.15779320987654322,0.2719414893617021,0.7465277777777778,0.07509660720825195
9,isolation-Bias-L3,0.9785969084423306,0.3175154320987654,0.4794640256335566,0.7931712962962963,0.08370161056518555
10,isolation-Bias-L3,0.9785458879618594,0.3167438271604938,0.4785776741474788,0.7929398148148148,0.08861660957336426
11,isolation-Bias-L3,0.9784431137724551,0.3152006172839506,0.4768018675226145,0.7924768518518519,0.09149861335754395
12,isolation-Bias-L3,0.9810201660735468,0.31905864197530864,0.481513828238719,0.7938657407407408,0.09432053565979004
13,isolation-Bias-L3,0.9829476248477467,0.3113425925925926,0.47289774392030476,0.7917824074074075,0.08932185173034668
14,isolation-Bias-L3,0.9782608695652174,0.1736111111111111,0.29488859764089126,0.7509259259259259,0.08348584175109863
15,isolation-Bias-L3,0.9863692688971499,0.30709876543209874,0.4683730508973227,0.7908564814814815,0.08536338806152344
16,isolation-Bias-L3,0.9807445442875481,0.29475308641975306,0.45327795906259266,0.7866898148148148,0.08609557151794434
17,isolation-Bias-L3,0.9547413793103449,0.1709104938271605,0.2899214659685864,0.7488425925925926,0.08743596076965332
18,isolation-Bias-L3,0.9785202863961814,0.31635802469135804,0.47813411078717205,0.7928240740740741,0.08737516403198242
19,isolation-Bias-L3,0.9732685297691372,0.3090277777777778,0.4691068814055636,0.790162037037037,0.08205580711364746
20,isolation-Bias-L3,0.9775147928994082,0.31867283950617287,0.4806517311608962,0.7934027777777778,0.07806015014648438
21,isolation-Bias-L3,0.9767441860465116,0.32407407407407407,0.48667439165701043,0.7949074074074074,0.12735509872436523
22,isolation-Bias-L3,0.9763313609467456,0.31828703703703703,0.4800698283386674,0.7931712962962963,0.07924413681030273
23,isolation-Bias-L3,0.9795180722891567,0.3136574074074074,0.4751607247223846,0.7921296296296296,0.07773470878601074
24,isolation-Bias-L3,0.9829683698296837,0.3117283950617284,0.47334504979496195,0.7918981481481482,0.08721089363098145
25,isolation-Bias-L3,0.9778051787916153,0.30594135802469136,0.4660593593887746,0.789699074074074,0.07712912559509277
26,isolation-Bias-L3,0.985524728588661,0.3152006172839506,0.4776381175095002,0.7931712962962963,0.07472848892211914
27,isolation-Bias-L3,1.0,0.33294753086419754,0.49956584659913167,0.7998842592592592,0.0755610466003418
