Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Accuracy,Tempo Processa Sensor
1,isolation-Noise-L1,0.5739687055476529,0.9340277777777778,0.7110132158590309,0.924074074074074,0.09093976020812988
2,isolation-Noise-L1,0.5726618705035971,0.9212962962962963,0.7062999112688553,0.9233796296296296,0.08455085754394531
3,isolation-Noise-L1,0.5836376917457998,0.9247685185185185,0.715629198387819,0.9265046296296297,0.0904395580291748
4,isolation-Noise-L1,0.5572842998585573,0.9120370370370371,0.6918349429323969,0.91875,0.08600783348083496
5,isolation-Noise-L1,0.5625446747676912,0.9108796296296297,0.695536897923111,0.9202546296296297,0.08428001403808594
6,isolation-Noise-L1,0.57411424439624,0.9189814814814815,0.7067200712060525,0.9237268518518519,0.08626675605773926
7,isolation-Noise-L1,0.5417515274949084,0.9236111111111112,0.6829268292682927,0.9142361111111111,0.07910752296447754
8,isolation-Noise-L1,0.5473393227366966,0.9166666666666666,0.685417568152315,0.9158564814814815,0.09067773818969727
9,isolation-Noise-L1,0.5608391608391609,0.9282407407407407,0.6992153443766347,0.9201388888888888,0.08113861083984375
10,isolation-Noise-L1,0.5533980582524272,0.9236111111111112,0.6921075455333912,0.9178240740740741,0.08550357818603516
11,isolation-Noise-L1,0.5547850208044383,0.9259259259259259,0.6938421509106679,0.9182870370370371,0.08894729614257812
12,isolation-Noise-L1,0.5728500355366027,0.9328703703703703,0.7098194627917217,0.9237268518518519,0.08127379417419434
13,isolation-Noise-L1,0.5836403831982314,0.9166666666666666,0.7131922557406574,0.9262731481481481,0.0851447582244873
14,isolation-Noise-L1,0.5689900426742532,0.9259259259259259,0.7048458149779736,0.9224537037037037,0.08869743347167969
15,isolation-Noise-L1,0.5805054151624549,0.9305555555555556,0.7149844375277902,0.9258101851851852,0.08424043655395508
16,isolation-Noise-L1,0.5674911660777385,0.9293981481481481,0.7046950416849496,0.9221064814814814,0.08479714393615723
17,isolation-Noise-L1,0.5524137931034483,0.9270833333333334,0.6923076923076923,0.9175925925925926,0.08590197563171387
18,isolation-Noise-L1,0.5614898102600141,0.9247685185185185,0.6987319632706602,0.9202546296296297,0.08944272994995117
19,isolation-Noise-L1,0.5697841726618705,0.9166666666666666,0.7027506654835848,0.9224537037037037,0.08745527267456055
20,isolation-Noise-L1,0.5593461265103056,0.9108796296296297,0.6930867459269044,0.9193287037037037,0.08019661903381348
21,isolation-Noise-L1,0.5719373219373219,0.9293981481481481,0.7081128747795414,0.9233796296296296,0.07601213455200195
22,isolation-Noise-L1,0.5602280826799715,0.9097222222222222,0.6934274371415969,0.9195601851851852,0.07797503471374512
23,isolation-Noise-L1,0.5607870695713282,0.9236111111111112,0.6978574551814605,0.9200231481481481,0.08155703544616699
24,isolation-Noise-L1,0.5644699140401146,0.9120370370370371,0.6973451327433627,0.9208333333333333,0.07851862907409668
25,isolation-Noise-L1,0.5657142857142857,0.9166666666666666,0.6996466431095406,0.9212962962962963,0.08773231506347656
26,isolation-Noise-L1,0.5632508833922262,0.9224537037037037,0.6994295743747259,0.9207175925925926,0.09380102157592773
27,isolation-Noise-L1,0.5553997194950911,0.9166666666666666,0.6917030567685589,0.9182870370370371,0.09055948257446289
28,isolation-Noise-L1,0.5690883190883191,0.9247685185185185,0.7045855379188712,0.9224537037037037,0.09112143516540527
29,isolation-Noise-L1,0.5565455791638109,0.9398148148148148,0.6990959965561774,0.9190972222222222,0.09344244003295898
30,isolation-Noise-L1,0.5710227272727273,0.9305555555555556,0.7077464788732394,0.9231481481481482,0.08517217636108398
1,isolation-Noise-L1,0.4014388489208633,0.96875,0.5676500508646999,0.8524305555555556,0.08271646499633789
2,isolation-Noise-L1,0.40565577766942956,0.9629629629629629,0.5708404802744426,0.8552083333333333,0.07741260528564453
3,isolation-Noise-L1,0.41720860430215106,0.9652777777777778,0.5826056584002794,0.8616898148148148,0.07713890075683594
4,isolation-Noise-L1,0.3965434469515122,0.9560185185185185,0.5605700712589073,0.8501157407407407,0.07697153091430664
5,isolation-Noise-L1,0.5625446747676912,0.9108796296296297,0.695536897923111,0.9202546296296297,0.07871437072753906
6,isolation-Noise-L1,0.4114737883283877,0.9629629629629629,0.5765765765765766,0.8585648148148148,0.07956576347351074
7,isolation-Noise-L1,0.39216611609249646,0.9618055555555556,0.5571572242708682,0.8471064814814815,0.07793807983398438
8,isolation-Noise-L1,0.3951310861423221,0.9768518518518519,0.5626666666666668,0.8481481481481481,0.08118653297424316
9,isolation-Noise-L1,0.4006669842782277,0.9733796296296297,0.567667904151198,0.8517361111111111,0.08434891700744629
10,isolation-Noise-L1,0.5533980582524272,0.9236111111111112,0.6921075455333912,0.9178240740740741,0.08281874656677246
11,isolation-Noise-L1,0.5547850208044383,0.9259259259259259,0.6938421509106679,0.9182870370370371,0.0841212272644043
12,isolation-Noise-L1,0.40966796875,0.9710648148148148,0.5762362637362637,0.857175925925926,0.08242678642272949
13,isolation-Noise-L1,0.4052863436123348,0.9583333333333334,0.5696594427244582,0.8552083333333333,0.08449554443359375
14,isolation-Noise-L1,0.5689900426742532,0.9259259259259259,0.7048458149779736,0.9224537037037037,0.08368968963623047
15,isolation-Noise-L1,0.4102941176470588,0.96875,0.5764462809917356,0.8576388888888888,0.08749103546142578
16,isolation-Noise-L1,0.5674911660777385,0.9293981481481481,0.7046950416849496,0.9221064814814814,0.08908367156982422
17,isolation-Noise-L1,0.5524137931034483,0.9270833333333334,0.6923076923076923,0.9175925925925926,0.08274054527282715
18,isolation-Noise-L1,0.5614898102600141,0.9247685185185185,0.6987319632706602,0.9202546296296297,0.08352851867675781
19,isolation-Noise-L1,0.5697841726618705,0.9166666666666666,0.7027506654835848,0.9224537037037037,0.09006118774414062
20,isolation-Noise-L1,0.40028901734104044,0.9618055555555556,0.5653061224489796,0.8520833333333333,0.08509993553161621
21,isolation-Noise-L1,0.5719373219373219,0.9293981481481481,0.7081128747795414,0.9233796296296296,0.08968997001647949
22,isolation-Noise-L1,0.40088321884200195,0.9456018518518519,0.5630599586492074,0.8532407407407407,0.09015035629272461
23,isolation-Noise-L1,0.40371456500488756,0.9560185185185185,0.5676975945017182,0.8543981481481482,0.0944674015045166
24,isolation-Noise-L1,0.40413997042878264,0.9490740740740741,0.5668855858969927,0.8549768518518519,0.08501005172729492
25,isolation-Noise-L1,0.5657142857142857,0.9166666666666666,0.6996466431095406,0.9212962962962963,0.08129048347473145
26,isolation-Noise-L1,0.5632508833922262,0.9224537037037037,0.6994295743747259,0.9207175925925926,0.0793905258178711
27,isolation-Noise-L1,0.5553997194950911,0.9166666666666666,0.6917030567685589,0.9182870370370371,0.09003782272338867
28,isolation-Noise-L1,0.41249380267724345,0.9629629629629629,0.5775772301284277,0.8591435185185186,0.088653564453125
29,isolation-Noise-L1,0.39478672985781993,0.9641203703703703,0.5601882985877606,0.8486111111111111,0.09021711349487305
30,isolation-Noise-L1,0.5710227272727273,0.9305555555555556,0.7077464788732394,0.9231481481481482,0.0884408950805664
1,isolation-Noise-L1,0.5739687055476529,0.9340277777777778,0.7110132158590309,0.924074074074074,0.0950779914855957
2,isolation-Noise-L1,0.5726618705035971,0.9212962962962963,0.7062999112688553,0.9233796296296296,0.07663297653198242
3,isolation-Noise-L1,0.5836376917457998,0.9247685185185185,0.715629198387819,0.9265046296296297,0.07645058631896973
4,isolation-Noise-L1,0.5572842998585573,0.9120370370370371,0.6918349429323969,0.91875,0.07665395736694336
5,isolation-Noise-L1,0.5625446747676912,0.9108796296296297,0.695536897923111,0.9202546296296297,0.07625150680541992
6,isolation-Noise-L1,0.57411424439624,0.9189814814814815,0.7067200712060525,0.9237268518518519,0.07738924026489258
