Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Accuracy,Tempo Processa Sensor
1,svm-Noise-L2,0.994067237969677,0.8726851851851852,0.9294298921417566,0.9734953703703704,0.6923708915710449
2,svm-Noise-L2,0.996776273372018,0.8946759259259259,0.942970417810308,0.9783564814814815,0.7149372100830078
3,svm-Noise-L2,0.9924605894448252,0.8379629629629629,0.9086915594603074,0.9663194444444444,0.727684736251831
4,svm-Noise-L2,0.5963405526512323,0.9241898148148148,0.7249205628688153,0.8597222222222223,0.6678102016448975
5,svm-Noise-L2,0.2120722177310698,0.9108796296296297,0.34404371584699456,0.3053240740740741,0.5950183868408203
6,svm-Noise-L2,0.9940554821664465,0.8709490740740741,0.9284392350400987,0.9731481481481481,0.6141672134399414
7,svm-Noise-L2,0.9966666666666667,0.8651620370370371,0.926270136307311,0.9724537037037037,0.633338212966919
8,svm-Noise-L2,0.9961064243997404,0.8883101851851852,0.9391251147139799,0.9769675925925926,0.5888514518737793
9,svm-Noise-L2,0.21642291694619617,0.9334490740740741,0.35137784555059365,0.3107638888888889,0.6053876876831055
10,svm-Noise-L2,0.4046771733604474,0.9212962962962963,0.562345460967856,0.7131944444444445,0.627887487411499
11,svm-Noise-L2,0.9927631578947368,0.8732638888888888,0.9291871921182264,0.9733796296296297,0.6434805393218994
12,svm-Noise-L2,0.9927152317880795,0.8674768518518519,0.9258801729462631,0.9722222222222222,0.6246366500854492
13,svm-Noise-L2,0.2150770062145366,0.9212962962962963,0.3487404162102957,0.31180555555555556,0.6739065647125244
14,svm-Noise-L2,0.7438515081206497,0.9276620370370371,0.8256502704094772,0.9216435185185186,0.6338057518005371
15,svm-Noise-L2,0.40451432919097136,0.9230324074074074,0.5625110209839534,0.7128472222222222,0.6308333873748779
16,svm-Noise-L2,0.7463869463869464,0.9265046296296297,0.8267492899561062,0.922337962962963,0.6663064956665039
17,svm-Noise-L2,0.4058882737795672,0.9334490740740741,0.5657663977551737,0.7134259259259259,0.7807211875915527
18,svm-Noise-L2,0.9960604070912672,0.8778935185185185,0.9332513072900646,0.9748842592592593,0.7175991535186768
19,svm-Noise-L2,0.7431106959364783,0.9207175925925926,0.8224347376583097,0.9204861111111111,0.6645448207855225
20,svm-Noise-L2,0.9967083607636603,0.8761574074074074,0.932553125962427,0.9746527777777778,0.6008312702178955
21,svm-Noise-L2,0.28136136849607984,0.9137731481481481,0.43024523160762945,0.5159722222222223,0.6064779758453369
22,svm-Noise-L2,0.743801652892562,0.8854166666666666,0.808454425363276,0.9160879629629629,0.6423361301422119
23,svm-Noise-L2,0.9927916120576671,0.8767361111111112,0.9311616472034419,0.9740740740740741,0.590116024017334
24,svm-Noise-L2,0.9967234600262124,0.8802083333333334,0.9348494161032576,0.975462962962963,0.6244215965270996
25,svm-Noise-L2,0.40430379746835443,0.9241898148148148,0.5625220147939415,0.7125,0.6302549839019775
26,svm-Noise-L2,0.40576383575618463,0.9207175925925926,0.5632855372632325,0.7144675925925926,0.6593112945556641
27,svm-Noise-L2,0.40628166160081053,0.9282407407407407,0.5651867512332629,0.7143518518518519,0.6034936904907227
28,svm-Noise-L2,0.7555660824253908,0.9230324074074074,0.8309455587392549,0.9248842592592592,0.6252355575561523
29,svm-Noise-L2,0.9921208141825345,0.8744212962962963,0.9295601353429713,0.9734953703703704,0.6256093978881836
30,svm-Noise-L2,0.7356764564275398,0.8842592592592593,0.8031537450722734,0.9133101851851851,0.6094367504119873
1,svm-Noise-L2,0.7339405560882071,0.8859953703703703,0.8028316727844783,0.912962962962963,0.6230144500732422
2,svm-Noise-L2,0.9954456733897202,0.8854166666666666,0.9372128637059723,0.9762731481481481,0.591027021408081
3,svm-Noise-L2,0.9940039973351099,0.8634259259259259,0.9241251161350263,0.9716435185185185,0.5990338325500488
4,svm-Noise-L2,0.5960165351371665,0.9178240740740741,0.7227158806106173,0.8591435185185186,0.6402392387390137
5,svm-Noise-L2,0.7402010050251256,0.8524305555555556,0.792361484669177,0.9106481481481481,0.6114895343780518
6,svm-Noise-L2,0.989844278943805,0.8460648148148148,0.9123244929797191,0.9674768518518518,0.616297721862793
7,svm-Noise-L2,0.7451810061118946,0.9172453703703703,0.8223086900129701,0.9207175925925926,0.6043825149536133
8,svm-Noise-L2,0.5963609357593762,0.9293981481481481,0.7265324587197467,0.8600694444444444,0.6216185092926025
9,svm-Noise-L2,0.9940397350993377,0.8686342592592593,0.9271155033971588,0.9726851851851852,0.606741189956665
10,svm-Noise-L2,0.28358744394618834,0.9149305555555556,0.43297275092427767,0.5207175925925925,0.5944581031799316
11,svm-Noise-L2,0.25910865322055954,0.921875,0.404520060944642,0.45717592592592593,0.6053273677825928
12,svm-Noise-L2,0.9960681520314548,0.8796296296296297,0.9342347879532883,0.9752314814814815,0.6165189743041992
13,svm-Noise-L2,0.2620051914341337,0.9346064814814815,0.4092752154080082,0.46041666666666664,0.6155519485473633
14,svm-Noise-L2,0.2731039452350928,0.8773148148148148,0.41654073361725513,0.508449074074074,0.5914161205291748
15,svm-Noise-L2,0.2598732325694783,0.9253472222222222,0.40578606775789877,0.4579861111111111,0.6136236190795898
16,svm-Noise-L2,0.28316372076414925,0.9178240740740741,0.4328012007095101,0.5188657407407408,0.6392910480499268
17,svm-Noise-L2,0.5970149253731343,0.9259259259259259,0.7259528130671505,0.8601851851851852,0.6142408847808838
18,svm-Noise-L2,0.25998370008149957,0.9230324074074074,0.40569757090169145,0.45914351851851853,0.6046948432922363
19,svm-Noise-L2,0.9940983606557378,0.8773148148148148,0.9320627113433754,0.9744212962962963,0.6181588172912598
20,svm-Noise-L2,0.9940199335548173,0.8657407407407407,0.925456232601299,0.9721064814814815,0.6263418197631836
21,svm-Noise-L2,0.5930493273542601,0.9184027777777778,0.7207084468664849,0.8576388888888888,0.619959831237793
22,svm-Noise-L2,0.7332718043377942,0.9195601851851852,0.8159178433889601,0.9170138888888889,0.6266391277313232
23,svm-Noise-L2,0.9921568627450981,0.8784722222222222,0.9318600368324125,0.9743055555555555,0.6124770641326904
24,svm-Noise-L2,0.7225130890052356,0.8784722222222222,0.7928963175763908,0.9082175925925926,0.6039316654205322
25,svm-Noise-L2,0.21574973031283712,0.9259259259259259,0.34995625546806647,0.31203703703703706,0.6229043006896973
26,svm-Noise-L2,0.2611174458380844,0.9276620370370371,0.4075251048684378,0.4605324074074074,0.594895601272583
27,svm-Noise-L2,0.9953020134228188,0.8582175925925926,0.9216904909881914,0.9708333333333333,0.6225080490112305
28,svm-Noise-L2,0.7392578125,0.8761574074074074,0.8019067796610169,0.913425925925926,0.6380856037139893
29,svm-Noise-L2,0.2594401041666667,0.9224537037037037,0.40497967479674796,0.45787037037037037,0.6521987915039062
30,svm-Noise-L2,0.2738439306358382,0.8773148148148148,0.41740088105726875,0.5101851851851852,0.6349825859069824
1,svm-Noise-L2,0.7339405560882071,0.8859953703703703,0.8028316727844783,0.912962962962963,0.6236870288848877
2,svm-Noise-L2,0.9954456733897202,0.8854166666666666,0.9372128637059723,0.9762731481481481,0.5883595943450928
3,svm-Noise-L2,0.9940039973351099,0.8634259259259259,0.9241251161350263,0.9716435185185185,0.600520133972168
4,svm-Noise-L2,0.5960165351371665,0.9178240740740741,0.7227158806106173,0.8591435185185186,0.629479169845581
5,svm-Noise-L2,0.7402010050251256,0.8524305555555556,0.792361484669177,0.9106481481481481,0.6105082035064697
6,svm-Noise-L2,0.989844278943805,0.8460648148148148,0.9123244929797191,0.9674768518518518,0.6170568466186523
7,svm-Noise-L2,0.7451810061118946,0.9172453703703703,0.8223086900129701,0.9207175925925926,0.6010117530822754
8,svm-Noise-L2,0.5963609357593762,0.9293981481481481,0.7265324587197467,0.8600694444444444,0.61490797996521
9,svm-Noise-L2,0.9940397350993377,0.8686342592592593,0.9271155033971588,0.9726851851851852,0.6055092811584473
10,svm-Noise-L2,0.28358744394618834,0.9149305555555556,0.43297275092427767,0.5207175925925925,0.590876579284668
11,svm-Noise-L2,0.25910865322055954,0.921875,0.404520060944642,0.45717592592592593,0.6028070449829102
12,svm-Noise-L2,0.9960681520314548,0.8796296296296297,0.9342347879532883,0.9752314814814815,0.6130378246307373
13,svm-Noise-L2,0.2620051914341337,0.9346064814814815,0.4092752154080082,0.46041666666666664,0.6094202995300293
14,svm-Noise-L2,0.2731039452350928,0.8773148148148148,0.41654073361725513,0.508449074074074,0.5914795398712158
15,svm-Noise-L2,0.2598732325694783,0.9253472222222222,0.40578606775789877,0.4579861111111111,0.6133782863616943
16,svm-Noise-L2,0.28316372076414925,0.9178240740740741,0.4328012007095101,0.5188657407407408,0.6056180000305176
17,svm-Noise-L2,0.5970149253731343,0.9259259259259259,0.7259528130671505,0.8601851851851852,0.5969648361206055
18,svm-Noise-L2,0.25998370008149957,0.9230324074074074,0.40569757090169145,0.45914351851851853,0.5985002517700195
19,svm-Noise-L2,0.9940983606557378,0.8773148148148148,0.9320627113433754,0.9744212962962963,0.6082017421722412
20,svm-Noise-L2,0.9940199335548173,0.8657407407407407,0.925456232601299,0.9721064814814815,0.6219582557678223
21,svm-Noise-L2,0.5930493273542601,0.9184027777777778,0.7207084468664849,0.8576388888888888,0.6145155429840088
