Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Accuracy,Tempo Processa Sensor
1,isolation-Freezing-L1,0.0,0.0,0,0.41689814814814813,0.06293606758117676
2,isolation-Freezing-L1,0.0,0.0,0,0.42430555555555555,0.06247878074645996
3,isolation-Freezing-L1,0.0,0.0,0,0.4234953703703704,0.06260490417480469
4,isolation-Freezing-L1,0.0,0.0,0,0.42106481481481484,0.06621527671813965
5,isolation-Freezing-L1,0.0,0.0,0,0.4219907407407407,0.0644073486328125
6,isolation-Freezing-L1,0.0,0.0,0,0.4216435185185185,0.06450200080871582
7,isolation-Freezing-L1,0.0,0.0,0,0.4134259259259259,0.06331682205200195
8,isolation-Freezing-L1,0.0,0.0,0,0.4153935185185185,0.0640871524810791
9,isolation-Freezing-L1,0.0,0.0,0,0.41863425925925923,0.0680990219116211
10,isolation-Freezing-L1,0.0,0.0,0,0.41863425925925923,0.0622255802154541
11,isolation-Freezing-L1,0.0,0.0,0,0.4167824074074074,0.07809305191040039
12,isolation-Freezing-L1,0.0,0.0,0,0.4199074074074074,0.07984471321105957
13,isolation-Freezing-L1,0.0,0.0,0,0.4164351851851852,0.07140660285949707
14,isolation-Freezing-L1,0.0,0.0,0,0.4216435185185185,0.06992125511169434
15,isolation-Freezing-L1,0.0,0.0,0,0.42407407407407405,0.07793521881103516
16,isolation-Freezing-L1,0.0,0.0,0,0.4199074074074074,0.07853984832763672
17,isolation-Freezing-L1,0.0,0.0,0,0.41805555555555557,0.08241510391235352
18,isolation-Freezing-L1,0.0,0.0,0,0.4195601851851852,0.08292293548583984
19,isolation-Freezing-L1,0.0,0.0,0,0.42268518518518516,0.08737587928771973
20,isolation-Freezing-L1,0.0,0.0,0,0.4204861111111111,0.08185815811157227
21,isolation-Freezing-L1,0.0,0.0,0,0.4215277777777778,0.08283305168151855
22,isolation-Freezing-L1,0.0,0.0,0,0.4212962962962963,0.08167028427124023
23,isolation-Freezing-L1,0.0,0.0,0,0.4204861111111111,0.08379912376403809
24,isolation-Freezing-L1,0.0,0.0,0,0.4217592592592593,0.08701729774475098
25,isolation-Freezing-L1,0.0,0.0,0,0.4221064814814815,0.0786135196685791
26,isolation-Freezing-L1,0.0,0.0,0,0.4202546296296296,0.08216619491577148
27,isolation-Freezing-L1,0.0,0.0,0,0.41967592592592595,0.08394289016723633
28,isolation-Freezing-L1,0.0,0.0,0,0.42314814814814816,0.08075809478759766
29,isolation-Freezing-L1,0.0,0.0,0,0.41585648148148147,0.08478450775146484
30,isolation-Freezing-L1,0.0,0.0,0,0.4217592592592593,0.08142995834350586
