Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Accuracy,Tempo Processa Sensor
1,svm-Bias-L1,0.18056467498358503,0.31828703703703703,0.2304147465437788,0.7873842592592593,0.30972909927368164
2,svm-Bias-L1,0.09931630082763584,0.3194444444444444,0.15152346966785613,0.6422453703703703,0.2991366386413574
3,svm-Bias-L1,0.1746031746031746,0.3055555555555556,0.22222222222222224,0.7861111111111111,0.3116610050201416
4,svm-Bias-L1,0.08940158615717375,0.28703703703703703,0.13633864760857614,0.6363425925925926,0.30885815620422363
5,svm-Bias-L1,0.19294743845642048,0.33564814814814814,0.24503591043514994,0.7931712962962963,0.2997584342956543
6,svm-Bias-L1,0.10256410256410256,0.3194444444444444,0.15527426160337554,0.6524305555555555,0.3056178092956543
7,svm-Bias-L1,0.1774891774891775,0.33217592592592593,0.23135832325675135,0.7792824074074074,0.31189393997192383
8,svm-Bias-L1,0.09508660303994344,0.3113425925925926,0.14568101814243165,0.6348379629629629,0.30799412727355957
9,svm-Bias-L1,0.0965166908563135,0.30787037037037035,0.14696132596685083,0.6425925925925926,0.30677175521850586
10,svm-Bias-L1,0.19780927835051546,0.35532407407407407,0.25413907284768217,0.7914351851851852,0.29993247985839844
11,svm-Bias-L1,0.17532467532467533,0.3125,0.22462562396006655,0.7842592592592592,0.2999577522277832
12,svm-Bias-L1,0.18604651162790697,0.3333333333333333,0.2388059701492537,0.7875,0.3123753070831299
13,svm-Bias-L1,0.1773462783171521,0.31712962962962965,0.22748028227480285,0.7846064814814815,0.29955244064331055
14,svm-Bias-L1,0.17984189723320157,0.3159722222222222,0.2292191435768262,0.7875,0.3094143867492676
15,svm-Bias-L1,0.10178766873403867,0.3229166666666667,0.1547850208044383,0.647337962962963,0.3079371452331543
16,svm-Bias-L1,0.1911957950065703,0.3368055555555556,0.24392288348700752,0.7912037037037037,0.30082201957702637
17,svm-Bias-L1,0.17480211081794195,0.30671296296296297,0.2226890756302521,0.7858796296296297,0.29779505729675293
18,svm-Bias-L1,0.1761998685075608,0.3101851851851852,0.22473794549266246,0.7859953703703704,0.30816054344177246
19,svm-Bias-L1,0.09834254143646409,0.3090277777777778,0.14920368818105617,0.6475694444444444,0.29706764221191406
20,svm-Bias-L1,0.4114285714285714,1.0,0.582995951417004,0.8569444444444444,0.303020715713501
21,svm-Bias-L1,0.178714859437751,0.3090277777777778,0.22646310432569974,0.7888888888888889,0.31244325637817383
22,svm-Bias-L1,0.19627411842980705,0.3414351851851852,0.24926066751161804,0.7943287037037037,0.30439281463623047
23,svm-Bias-L1,0.10269482884195193,0.3263888888888889,0.1562326869806094,0.6474537037037037,0.31119465827941895
24,svm-Bias-L1,0.17889908256880735,0.3159722222222222,0.22845188284518828,0.7865740740740741,0.3125782012939453
25,svm-Bias-L1,0.1839841164791529,0.32175925925925924,0.23410526315789476,0.7894675925925926,0.2990694046020508
26,svm-Bias-L1,0.10684833273574758,0.3449074074074074,0.16315357240624145,0.6461805555555555,0.3129861354827881
27,svm-Bias-L1,0.16296296296296298,0.2800925925925926,0.20604512558535548,0.7841435185185185,0.30214548110961914
28,svm-Bias-L1,0.09749719835636907,0.3020833333333333,0.1474159841852584,0.6505787037037037,0.31005239486694336
29,svm-Bias-L1,0.1789405684754522,0.32060185185185186,0.2296849087893864,0.7849537037037037,0.2984049320220947
30,svm-Bias-L1,0.19251700680272107,0.3275462962962963,0.2425021422450728,0.7953703703703704,0.30728626251220703
