Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Accuracy,Tempo Processa Sensor
1,svm-Freezing-L2,0.0,0.0,0,0.4986111111111111,0.33779168128967285
2,svm-Freezing-L2,0.0,0.0,0,0.49907407407407406,0.32736921310424805
3,svm-Freezing-L2,0.0,0.0,0,0.4988425925925926,0.31449151039123535
4,svm-Freezing-L2,0.0,0.0,0,0.4982638888888889,0.28472352027893066
5,svm-Freezing-L2,0.0,0.0,0,0.49907407407407406,0.28681230545043945
6,svm-Freezing-L2,0.0,0.0,0,0.4980324074074074,0.3291165828704834
7,svm-Freezing-L2,0.0,0.0,0,0.4983796296296296,0.3243536949157715
8,svm-Freezing-L2,0.0,0.0,0,0.4982638888888889,0.31259822845458984
9,svm-Freezing-L2,0.0,0.0,0,0.4986111111111111,0.31650328636169434
10,svm-Freezing-L2,0.0,0.0,0,0.4988425925925926,0.31258106231689453
11,svm-Freezing-L2,0.0,0.0,0,0.49872685185185184,0.32857823371887207
12,svm-Freezing-L2,0.0,0.0,0,0.49907407407407406,0.2962026596069336
13,svm-Freezing-L2,0.0,0.0,0,0.4984953703703704,0.31853652000427246
14,svm-Freezing-L2,0.0,0.0,0,0.4984953703703704,0.2994201183319092
15,svm-Freezing-L2,0.0,0.0,0,0.4988425925925926,0.3002767562866211
16,svm-Freezing-L2,0.0,0.0,0,0.4983796296296296,0.2969167232513428
17,svm-Freezing-L2,0.0,0.0,0,0.49895833333333334,0.3115870952606201
18,svm-Freezing-L2,0.0,0.0,0,0.4988425925925926,0.3756222724914551
19,svm-Freezing-L2,0.0,0.0,0,0.4984953703703704,0.3297555446624756
20,svm-Freezing-L2,0.0,0.0,0,0.4982638888888889,0.3788602352142334
21,svm-Freezing-L2,0.0,0.0,0,0.49907407407407406,0.37325048446655273
22,svm-Freezing-L2,0.0,0.0,0,0.4988425925925926,0.3587336540222168
23,svm-Freezing-L2,0.0,0.0,0,0.4983796296296296,0.33815598487854004
24,svm-Freezing-L2,0.0,0.0,0,0.4984953703703704,0.34508609771728516
25,svm-Freezing-L2,0.0,0.0,0,0.49895833333333334,0.3327610492706299
26,svm-Freezing-L2,0.0,0.0,0,0.49780092592592595,0.3476083278656006
27,svm-Freezing-L2,0.0,0.0,0,0.49895833333333334,0.3172726631164551
28,svm-Freezing-L2,0.0,0.0,0,0.49907407407407406,0.3002920150756836
29,svm-Freezing-L2,0.0,0.0,0,0.49930555555555556,0.2997548580169678
30,svm-Freezing-L2,0.0,0.0,0,0.49918981481481484,0.3003673553466797
