Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Accuracy,Tempo Processa Sensor
1,svm-LossAccuracy-L2,0.8717948717948718,0.03935185185185185,0.0753045404208195,0.8067129629629629,0.2952463626861572
2,svm-LossAccuracy-L2,0.4931740614334471,0.33449074074074076,0.3986206896551724,0.7981481481481482,0.3388381004333496
3,svm-LossAccuracy-L2,0.8695652173913043,0.034722222222222224,0.0667779632721202,0.8059027777777777,0.2998831272125244
4,svm-LossAccuracy-L2,0.8674698795180723,0.041666666666666664,0.07951408061844285,0.8070601851851852,0.29233384132385254
5,svm-LossAccuracy-L2,0.9176470588235294,0.04513888888888889,0.08604522890237176,0.8082175925925926,0.2884066104888916
6,svm-LossAccuracy-L2,0.8051948051948052,0.03587962962962963,0.06869806094182826,0.8054398148148149,0.2997548580169678
7,svm-LossAccuracy-L2,0.896551724137931,0.04513888888888889,0.0859504132231405,0.8079861111111111,0.29981064796447754
8,svm-LossAccuracy-L2,0.8522727272727273,0.043402777777777776,0.08259911894273127,0.8071759259259259,0.29978251457214355
9,svm-LossAccuracy-L2,0.8714285714285714,0.03530092592592592,0.06785317018909899,0.8060185185185185,0.297243595123291
10,svm-LossAccuracy-L2,0.8805970149253731,0.03414351851851852,0.06573816155988858,0.8059027777777777,0.3010101318359375
11,svm-LossAccuracy-L2,0.8958333333333334,0.04976851851851852,0.09429824561403509,0.8087962962962963,0.30134105682373047
12,svm-LossAccuracy-L2,0.927710843373494,0.04456018518518518,0.08503589177250137,0.8082175925925926,0.3000342845916748
13,svm-LossAccuracy-L2,0.13973063973063973,0.048032407407407406,0.0714900947459087,0.750462962962963,0.31073474884033203
14,svm-LossAccuracy-L2,0.84,0.036458333333333336,0.06988352745424292,0.8059027777777777,0.2940487861633301
15,svm-LossAccuracy-L2,0.48646209386281586,0.3119212962962963,0.38011283497884335,0.7965277777777777,0.3045361042022705
16,svm-LossAccuracy-L2,0.8695652173913043,0.046296296296296294,0.08791208791208792,0.8078703703703703,0.302138090133667
17,svm-LossAccuracy-L2,0.922077922077922,0.041087962962962965,0.07867036011080332,0.8075231481481482,0.30141258239746094
18,svm-LossAccuracy-L2,0.5103092783505154,0.34375,0.4107883817427386,0.8027777777777778,0.31012463569641113
19,svm-LossAccuracy-L2,0.898876404494382,0.046296296296296294,0.08805723720418272,0.8082175925925926,0.2946896553039551
20,svm-LossAccuracy-L2,0.8860759493670886,0.04050925925925926,0.0774764803541782,0.8070601851851852,0.33903074264526367
21,svm-LossAccuracy-L2,0.9113924050632911,0.041666666666666664,0.07969009407858328,0.8075231481481482,0.3179488182067871
22,svm-LossAccuracy-L2,0.8846153846153846,0.03993055555555555,0.07641196013289035,0.8069444444444445,0.30214476585388184
23,svm-LossAccuracy-L2,0.8461538461538461,0.03819444444444445,0.07308970099667775,0.80625,0.30211710929870605
24,svm-LossAccuracy-L2,0.8285714285714286,0.03356481481481482,0.06451612903225808,0.805324074074074,0.30000734329223633
25,svm-LossAccuracy-L2,0.8918918918918919,0.03819444444444445,0.07325194228634851,0.8067129629629629,0.2973611354827881
26,svm-LossAccuracy-L2,0.09813874788494077,0.03356481481481482,0.050021561017680044,0.7450231481481482,0.3091464042663574
27,svm-LossAccuracy-L2,0.9090909090909091,0.04050925925925926,0.07756232686980609,0.8072916666666666,0.30131006240844727
28,svm-LossAccuracy-L2,0.9012345679012346,0.04224537037037037,0.08070757324488669,0.8075231481481482,0.30536532402038574
29,svm-LossAccuracy-L2,0.08843537414965986,0.03009259259259259,0.04490500863557858,0.7439814814814815,0.30656003952026367
30,svm-LossAccuracy-L2,0.12203389830508475,0.041666666666666664,0.06212251941328731,0.7483796296296297,0.30701208114624023
