Arquivo Grupo 1, Arquivo Grupo 2, Resultado, p-valor
/home/kathiani/PycharmProjects/Algoritmos_Validacao_AjusteMatrizConfusao/src/resultados-ajustes/resumo/F1-Measure-isolation-Bias-L1-.csv, /home/kathiani/PycharmProjects/Algoritmos_Validacao_AjusteMatrizConfusao/src/resultados-ajustes/resumo/F1-Measure-svm-Bias-L1-.csv, Distribuições Diferentes, 0.000000000030199
Arquivo Grupo 1, Arquivo Grupo 2, Resultado, p-valor
/home/kathiani/PycharmProjects/Algoritmos_Validacao_AjusteMatrizConfusao/src/resultados-ajustes/resumo/F1-Measure-isolation-Freezing-L1-.csv, /home/kathiani/PycharmProjects/Algoritmos_Validacao_AjusteMatrizConfusao/src/resultados-ajustes/resumo/F1-Measure-svm-Freezing-L1-.csv, Distribuições Diferentes, 0.000000000030199
Arquivo Grupo 1, Arquivo Grupo 2, Resultado, p-valor
Arquivo Grupo 1, Arquivo Grupo 2, Resultado, p-valor
/home/kathiani/PycharmProjects/Algoritmos_Validacao_AjusteMatrizConfusao/src/resultados-ajustes/resumo/F1-Measure-isolation-LossAccuracy-L1-.csv, /home/kathiani/PycharmProjects/Algoritmos_Validacao_AjusteMatrizConfusao/src/resultados-ajustes/resumo/F1-Measure-svm-LossAccuracy-L1-.csv, Distribuições Diferentes, 0.000000000030199
Arquivo Grupo 1, Arquivo Grupo 2, Resultado, p-valor
/home/kathiani/PycharmProjects/Algoritmos_Validacao_AjusteMatrizConfusao/src/resultados-ajustes/resumo/F1-Measure-isolation-Noise-L1-.csv, /home/kathiani/PycharmProjects/Algoritmos_Validacao_AjusteMatrizConfusao/src/resultados-ajustes/resumo/F1-Measure-svm-Noise-L1-.csv, Distribuições Diferentes, 0.000000000030199
Arquivo Grupo 1, Arquivo Grupo 2, Resultado, p-valor
/home/kathiani/PycharmProjects/Algoritmos_Validacao_AjusteMatrizConfusao/src/resultados-ajustes/resumo/F1-Measure-svm-Freezing-L1-.csv, /home/kathiani/PycharmProjects/Algoritmos_Validacao_AjusteMatrizConfusao/src/resultados-ajustes/resumo/F1-Measure-diversidade-Freezing-L1-.csv, Distribuições Diferentes, 0.000000000030199
Arquivo Grupo 1, Arquivo Grupo 2, Resultado, p-valor
/home/kathiani/PycharmProjects/Algoritmos_Validacao_AjusteMatrizConfusao/src/resultados-ajustes/resumo/F1-Measure-svm-LossAccuracy-L1-.csv, /home/kathiani/PycharmProjects/Algoritmos_Validacao_AjusteMatrizConfusao/src/resultados-ajustes/resumo/F1-Measure-diversidade-LossAccuracy-L1-.csv, Distribuições Diferentes, 0.000000000030199
Arquivo Grupo 1, Arquivo Grupo 2, Resultado, p-valor
/home/kathiani/PycharmProjects/Algoritmos_Validacao_AjusteMatrizConfusao/src/resultados-ajustes/resumo/F1-Measure-isolation-Noise-L1-.csv, /home/kathiani/PycharmProjects/Algoritmos_Validacao_AjusteMatrizConfusao/src/resultados-ajustes/resumo/F1-Measure-diversidade-Noise-L1-.csv, Distribuições Diferentes, 0.000000000030199
Arquivo Grupo 1, Arquivo Grupo 2, Resultado, p-valor
/home/kathiani/PycharmProjects/Algoritmos_Validacao_AjusteMatrizConfusao/src/resultados-ajustes/resumo/F1-Measure-isolation-Bias-L2-.csv, /home/kathiani/PycharmProjects/Algoritmos_Validacao_AjusteMatrizConfusao/src/resultados-ajustes/resumo/F1-Measure-svm-Bias-L2-.csv, Distribuições Diferentes, 0.000000000030199
Arquivo Grupo 1, Arquivo Grupo 2, Resultado, p-valor
/home/kathiani/PycharmProjects/Algoritmos_Validacao_AjusteMatrizConfusao/src/resultados-ajustes/resumo/F1-Measure-isolation-Freezing-L2-.csv, /home/kathiani/PycharmProjects/Algoritmos_Validacao_AjusteMatrizConfusao/src/resultados-ajustes/resumo/F1-Measure-svm-Freezing-L2-.csv, Distribuições Diferentes, 0.000000000030199
