Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Tempo Processa Sensor
1,diversidade-Bias-L1,1.0,1.0,1.0,0.0014803409576416016
2,diversidade-Bias-L1,1.0,1.0,1.0,0.0015404224395751953
3,diversidade-Bias-L1,1.0,1.0,1.0,0.0014107227325439453
1,diversidade-Bias-L1,1.0,1.0,1.0,0.0014503002166748047
2,diversidade-Bias-L1,1.0,1.0,1.0,0.0015087127685546875
3,diversidade-Bias-L1,1.0,1.0,1.0,0.0013742446899414062
1,diversidade-Bias-L1,1.0,1.0,1.0,0.0014460086822509766
2,diversidade-Bias-L1,1.0,1.0,1.0,0.0014431476593017578
3,diversidade-Bias-L1,1.0,1.0,1.0,0.0014147758483886719
1,diversidade-Bias-L1,1.0,1.0,1.0,0.001373291015625
2,diversidade-Bias-L1,1.0,1.0,1.0,0.0014014244079589844
3,diversidade-Bias-L1,1.0,1.0,1.0,0.001420736312866211
1,diversidade-Bias-L1,1.0,1.0,1.0,0.001645803451538086
2,diversidade-Bias-L1,1.0,1.0,1.0,0.0014019012451171875
3,diversidade-Bias-L1,1.0,1.0,1.0,0.0014979839324951172
1,diversidade-Bias-L1,1.0,1.0,1.0,0.001483917236328125
2,diversidade-Bias-L1,1.0,1.0,1.0,0.0015692710876464844
3,diversidade-Bias-L1,1.0,1.0,1.0,0.0014777183532714844
1,diversidade-Bias-L1,1.0,1.0,1.0,0.001445770263671875
2,diversidade-Bias-L1,1.0,1.0,1.0,0.0014545917510986328
3,diversidade-Bias-L1,1.0,1.0,1.0,0.0014541149139404297
1,diversidade-Bias-L1,1.0,1.0,1.0,0.0014657974243164062
2,diversidade-Bias-L1,1.0,1.0,1.0,0.0015397071838378906
3,diversidade-Bias-L1,1.0,1.0,1.0,0.0014412403106689453
