Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Tempo Processa Sensor
1,diversidade-Drift-L1,1.0,1.0,1.0,0.0014390945434570312
2,diversidade-Drift-L1,0.9375,1.0,0.967741935483871,0.0014405250549316406
3,diversidade-Drift-L1,1.0,1.0,1.0,0.0014116764068603516
1,diversidade-Drift-L1,1.0,1.0,1.0,0.0014684200286865234
2,diversidade-Drift-L1,0.9375,1.0,0.967741935483871,0.001402139663696289
3,diversidade-Drift-L1,1.0,1.0,1.0,0.0014088153839111328
1,diversidade-Drift-L1,1.0,1.0,1.0,0.0014789104461669922
2,diversidade-Drift-L1,0.9375,1.0,0.967741935483871,0.0014994144439697266
3,diversidade-Drift-L1,1.0,1.0,1.0,0.0014574527740478516
1,diversidade-Drift-L1,1.0,1.0,1.0,0.001402139663696289
2,diversidade-Drift-L1,0.9375,1.0,0.967741935483871,0.0014119148254394531
3,diversidade-Drift-L1,1.0,1.0,1.0,0.001434326171875
1,diversidade-Drift-L1,0.9375,1.0,0.967741935483871,0.0014066696166992188
2,diversidade-Drift-L1,1.0,1.0,1.0,0.0013959407806396484
3,diversidade-Drift-L1,1.0,1.0,1.0,0.0013973712921142578
1,diversidade-Drift-L1,0.9375,1.0,0.967741935483871,0.0014569759368896484
2,diversidade-Drift-L1,1.0,1.0,1.0,0.0013852119445800781
3,diversidade-Drift-L1,1.0,1.0,1.0,0.0014009475708007812
1,diversidade-Drift-L1,1.0,1.0,1.0,0.0014150142669677734
2,diversidade-Drift-L1,1.0,1.0,1.0,0.0014591217041015625
3,diversidade-Drift-L1,0.9895833333333334,1.0,0.9947643979057591,0.0014624595642089844
1,diversidade-Drift-L1,1.0,1.0,1.0,0.0014505386352539062
2,diversidade-Drift-L1,1.0,1.0,1.0,0.0014319419860839844
3,diversidade-Drift-L1,0.9895833333333334,1.0,0.9947643979057591,0.0014238357543945312
