Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Tempo Processa Sensor
1,diversidade-Freezing-L1,0.5,1.0,0.6666666666666666,0.0014908313751220703
2,diversidade-Freezing-L1,0.5,1.0,0.6666666666666666,0.0014085769653320312
3,diversidade-Freezing-L1,0.5,1.0,0.6666666666666666,0.0015146732330322266
1,diversidade-Freezing-L1,0.5,1.0,0.6666666666666666,0.0014100074768066406
2,diversidade-Freezing-L1,0.5,1.0,0.6666666666666666,0.0013973712921142578
3,diversidade-Freezing-L1,0.5,1.0,0.6666666666666666,0.0014235973358154297
1,diversidade-Freezing-L1,0.5,1.0,0.6666666666666666,0.001461029052734375
2,diversidade-Freezing-L1,0.5,1.0,0.6666666666666666,0.0014367103576660156
3,diversidade-Freezing-L1,0.5,1.0,0.6666666666666666,0.0014653205871582031
1,diversidade-Freezing-L1,0.5,1.0,0.6666666666666666,0.0013928413391113281
2,diversidade-Freezing-L1,0.5,1.0,0.6666666666666666,0.0014047622680664062
3,diversidade-Freezing-L1,0.5,1.0,0.6666666666666666,0.0013966560363769531
1,diversidade-Freezing-L1,0.5,1.0,0.6666666666666666,0.0013990402221679688
2,diversidade-Freezing-L1,0.5,1.0,0.6666666666666666,0.0014319419860839844
3,diversidade-Freezing-L1,0.5,1.0,0.6666666666666666,0.0014417171478271484
1,diversidade-Freezing-L1,0.5,1.0,0.6666666666666666,0.0014138221740722656
2,diversidade-Freezing-L1,0.5,1.0,0.6666666666666666,0.0014538764953613281
3,diversidade-Freezing-L1,0.5,1.0,0.6666666666666666,0.0014178752899169922
1,diversidade-Freezing-L1,0.5,1.0,0.6666666666666666,0.0014204978942871094
2,diversidade-Freezing-L1,0.5,1.0,0.6666666666666666,0.0014734268188476562
3,diversidade-Freezing-L1,0.5,1.0,0.6666666666666666,0.0014040470123291016
1,diversidade-Freezing-L1,0.5,1.0,0.6666666666666666,0.0014286041259765625
2,diversidade-Freezing-L1,0.5,1.0,0.6666666666666666,0.001415252685546875
3,diversidade-Freezing-L1,0.5,1.0,0.6666666666666666,0.001430511474609375
