Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Tempo Processa Sensor
1,diversidade-LossAccuracy-L1,0.75,1.0,0.8571428571428571,0.0015652179718017578
2,diversidade-LossAccuracy-L1,0.75,1.0,0.8571428571428571,0.00141143798828125
3,diversidade-LossAccuracy-L1,0.7894736842105263,1.0,0.8823529411764706,0.001445770263671875
1,diversidade-LossAccuracy-L1,0.75,1.0,0.8571428571428571,0.0015017986297607422
2,diversidade-LossAccuracy-L1,0.75,1.0,0.8571428571428571,0.0014133453369140625
3,diversidade-LossAccuracy-L1,0.7894736842105263,1.0,0.8823529411764706,0.0014109611511230469
1,diversidade-LossAccuracy-L1,0.75,1.0,0.8571428571428571,0.0014765262603759766
2,diversidade-LossAccuracy-L1,0.75,1.0,0.8571428571428571,0.0014660358428955078
3,diversidade-LossAccuracy-L1,0.7894736842105263,1.0,0.8823529411764706,0.0014851093292236328
1,diversidade-LossAccuracy-L1,0.75,1.0,0.8571428571428571,0.001547098159790039
2,diversidade-LossAccuracy-L1,0.75,1.0,0.8571428571428571,0.0014252662658691406
3,diversidade-LossAccuracy-L1,0.7894736842105263,1.0,0.8823529411764706,0.0014798641204833984
1,diversidade-LossAccuracy-L1,0.75,1.0,0.8571428571428571,0.001539468765258789
2,diversidade-LossAccuracy-L1,0.75,1.0,0.8571428571428571,0.0014111995697021484
3,diversidade-LossAccuracy-L1,0.75,1.0,0.8571428571428571,0.0015552043914794922
1,diversidade-LossAccuracy-L1,0.75,1.0,0.8571428571428571,0.0015120506286621094
2,diversidade-LossAccuracy-L1,0.75,1.0,0.8571428571428571,0.0013918876647949219
3,diversidade-LossAccuracy-L1,0.75,1.0,0.8571428571428571,0.0014286041259765625
1,diversidade-LossAccuracy-L1,0.95,1.0,0.9743589743589743,0.0015969276428222656
2,diversidade-LossAccuracy-L1,0.9595959595959596,1.0,0.979381443298969,0.0014729499816894531
3,diversidade-LossAccuracy-L1,0.95,1.0,0.9743589743589743,0.001451253890991211
1,diversidade-LossAccuracy-L1,0.95,1.0,0.9743589743589743,0.0014913082122802734
2,diversidade-LossAccuracy-L1,0.9595959595959596,1.0,0.979381443298969,0.0014655590057373047
3,diversidade-LossAccuracy-L1,0.95,1.0,0.9743589743589743,0.0014214515686035156
