Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Tempo Processa Sensor
1,isolation-Bias-L1,0.8333333333333334,1.0,0.9090909090909091,0.04345965385437012
2,isolation-Bias-L1,0.7777777777777778,0.9333333333333333,0.8484848484848485,0.043174028396606445
3,isolation-Bias-L1,0.8333333333333334,1.0,0.9090909090909091,0.04282784461975098
1,isolation-Bias-L1,0.8333333333333334,1.0,0.9090909090909091,0.043363094329833984
2,isolation-Bias-L1,0.7777777777777778,0.9333333333333333,0.8484848484848485,0.04332470893859863
3,isolation-Bias-L1,0.8333333333333334,1.0,0.9090909090909091,0.04316520690917969
1,isolation-Bias-L1,0.8333333333333334,1.0,0.9090909090909091,0.04381132125854492
2,isolation-Bias-L1,0.7777777777777778,0.9333333333333333,0.8484848484848485,0.04364657402038574
3,isolation-Bias-L1,0.8333333333333334,1.0,0.9090909090909091,0.04334712028503418
1,isolation-Bias-L1,0.8333333333333334,1.0,0.9090909090909091,0.043694496154785156
2,isolation-Bias-L1,0.7777777777777778,0.9333333333333333,0.8484848484848485,0.04373002052307129
3,isolation-Bias-L1,0.8333333333333334,1.0,0.9090909090909091,0.04292631149291992
1,isolation-Bias-L1,0.7894736842105263,1.0,0.8823529411764706,0.04325366020202637
2,isolation-Bias-L1,0.7894736842105263,1.0,0.8823529411764706,0.04320883750915527
3,isolation-Bias-L1,0.7368421052631579,0.9333333333333333,0.8235294117647058,0.043057918548583984
1,isolation-Bias-L1,0.7894736842105263,1.0,0.8823529411764706,0.043909311294555664
2,isolation-Bias-L1,0.7894736842105263,1.0,0.8823529411764706,0.044663190841674805
3,isolation-Bias-L1,0.7368421052631579,0.9333333333333333,0.8235294117647058,0.0491030216217041
1,isolation-Bias-L1,1.0,1.0,1.0,0.044156789779663086
2,isolation-Bias-L1,1.0,1.0,1.0,0.04387259483337402
3,isolation-Bias-L1,1.0,1.0,1.0,0.0437467098236084
1,isolation-Bias-L1,1.0,1.0,1.0,0.04444003105163574
2,isolation-Bias-L1,1.0,1.0,1.0,0.045737504959106445
3,isolation-Bias-L1,1.0,1.0,1.0,0.0472564697265625
