Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Tempo Processa Sensor
1,svm-Freezing-L1,0.5,1.0,0.6666666666666666,0.00031256675720214844
2,svm-Freezing-L1,0.5,1.0,0.6666666666666666,0.00031828880310058594
3,svm-Freezing-L1,0.5,1.0,0.6666666666666666,0.00031280517578125
1,svm-Freezing-L1,0.5,1.0,0.6666666666666666,0.0003139972686767578
2,svm-Freezing-L1,0.5,1.0,0.6666666666666666,0.00031375885009765625
3,svm-Freezing-L1,0.5,1.0,0.6666666666666666,0.0003135204315185547
1,svm-Freezing-L1,0.5,1.0,0.6666666666666666,0.0003654956817626953
2,svm-Freezing-L1,0.5,1.0,0.6666666666666666,0.00031828880310058594
3,svm-Freezing-L1,0.5,1.0,0.6666666666666666,0.00031375885009765625
1,svm-Freezing-L1,0.5,1.0,0.6666666666666666,0.0003132820129394531
2,svm-Freezing-L1,0.5,1.0,0.6666666666666666,0.0003082752227783203
3,svm-Freezing-L1,0.5,1.0,0.6666666666666666,0.0003063678741455078
1,svm-Freezing-L1,0.0,0.0,0.0,0.000316619873046875
2,svm-Freezing-L1,0.5,1.0,0.6666666666666666,0.00031876564025878906
3,svm-Freezing-L1,0.0,0.0,0.0,0.00033402442932128906
1,svm-Freezing-L1,0.0,0.0,0.0,0.0003218650817871094
2,svm-Freezing-L1,0.5,1.0,0.6666666666666666,0.0003447532653808594
3,svm-Freezing-L1,0.0,0.0,0.0,0.00034689903259277344
1,svm-Freezing-L1,0.5,1.0,0.6666666666666666,0.00037932395935058594
2,svm-Freezing-L1,0.5,1.0,0.6666666666666666,0.0003724098205566406
3,svm-Freezing-L1,0.5,1.0,0.6666666666666666,0.0003566741943359375
1,svm-Freezing-L1,0.5,1.0,0.6666666666666666,0.0003936290740966797
2,svm-Freezing-L1,0.5,1.0,0.6666666666666666,0.0004019737243652344
3,svm-Freezing-L1,0.5,1.0,0.6666666666666666,0.00039196014404296875
