Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Tempo Processa Sensor
1,svm-Noise-L1,0.8235294117647058,0.9333333333333333,0.8749999999999999,0.00031876564025878906
2,svm-Noise-L1,0.8823529411764706,1.0,0.9375,0.0003173351287841797
3,svm-Noise-L1,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.0003299713134765625
1,svm-Noise-L1,0.8235294117647058,0.9333333333333333,0.8749999999999999,0.0003192424774169922
2,svm-Noise-L1,0.8823529411764706,1.0,0.9375,0.0003712177276611328
3,svm-Noise-L1,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.00032210350036621094
1,svm-Noise-L1,0.8235294117647058,0.9333333333333333,0.8749999999999999,0.0003197193145751953
2,svm-Noise-L1,0.8823529411764706,1.0,0.9375,0.00031757354736328125
3,svm-Noise-L1,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.000339508056640625
1,svm-Noise-L1,0.8235294117647058,0.9333333333333333,0.8749999999999999,0.0003173351287841797
2,svm-Noise-L1,0.8823529411764706,1.0,0.9375,0.00033164024353027344
3,svm-Noise-L1,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.0003190040588378906
1,svm-Noise-L1,0.8333333333333334,1.0,0.9090909090909091,0.00037980079650878906
2,svm-Noise-L1,0.8235294117647058,0.9333333333333333,0.8749999999999999,0.0003528594970703125
3,svm-Noise-L1,0.9285714285714286,0.8666666666666667,0.896551724137931,0.0003516674041748047
1,svm-Noise-L1,0.8333333333333334,1.0,0.9090909090909091,0.0003833770751953125
2,svm-Noise-L1,0.8235294117647058,0.9333333333333333,0.8749999999999999,0.0003235340118408203
3,svm-Noise-L1,0.9285714285714286,0.8666666666666667,0.896551724137931,0.0003294944763183594
1,svm-Noise-L1,1.0,1.0,1.0,0.00037670135498046875
2,svm-Noise-L1,1.0,1.0,1.0,0.0003802776336669922
3,svm-Noise-L1,1.0,1.0,1.0,0.000370025634765625
1,svm-Noise-L1,1.0,1.0,1.0,0.0003743171691894531
2,svm-Noise-L1,1.0,1.0,1.0,0.0003769397735595703
3,svm-Noise-L1,1.0,1.0,1.0,0.0003674030303955078
