Dado,Label,Predição,Avaliação
42,correto,P-correto,VP
43,correto,P-incorreto,FP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
41,correto,P-correto,VP
-13,incorreto,P-correto,FN
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
41,correto,P-correto,VP
41,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
43,correto,P-incorreto,FP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
41,correto,P-correto,VP
42,correto,P-correto,VP
-30,incorreto,P-incorreto,VN
-144,incorreto,P-correto,FN
42,correto,P-correto,VP
43,correto,P-incorreto,FP
42,correto,P-correto,VP
41,correto,P-correto,VP
33,incorreto,P-correto,FN
41,correto,P-correto,VP
41,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
41,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
43,correto,P-incorreto,FP
42,correto,P-correto,VP
43,correto,P-incorreto,FP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
-87,incorreto,P-incorreto,VN
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
43,correto,P-incorreto,FP
41,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
43,correto,P-incorreto,FP
43,correto,P-incorreto,FP
42,correto,P-correto,VP
42,correto,P-correto,VP
43,correto,P-incorreto,FP
42,correto,P-correto,VP
42,correto,P-correto,VP
-488,incorreto,P-correto,FN
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
549,incorreto,P-correto,FN
42,correto,P-correto,VP
-41,incorreto,P-correto,FN
42,correto,P-correto,VP
-1034,incorreto,P-incorreto,VN
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
41,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
42,correto,P-correto,VP
43,correto,P-incorreto,FP
40,correto,P-incorreto,FP
42,correto,P-correto,VP
43,correto,P-incorreto,FP
43,correto,P-incorreto,FP
42,correto,P-correto,VP
193,incorreto,P-incorreto,VN
42,correto,P-correto,VP
42,correto,P-correto,VP
43,correto,P-incorreto,FP
