Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Accuracy,Tempo Processa Sensor
1,diversidade-Freezing-L1,0.0,0.0,0,0.4997685185185185,0.021046876907348633
2,diversidade-Freezing-L1,0,0.0,0,0.5,0.021044492721557617
3,diversidade-Freezing-L1,0.0,0.0,0,0.4997685185185185,0.020763397216796875
4,diversidade-Freezing-L1,0.0,0.0,0,0.4994212962962963,0.02092432975769043
5,diversidade-Freezing-L1,0.6666666666666666,0.000925925925925926,0.001849283402681461,0.5002314814814814,0.02093029022216797
6,diversidade-Freezing-L1,0.0,0.0,0,0.4994212962962963,0.021106958389282227
7,diversidade-Freezing-L1,0.0,0.0,0,0.49953703703703706,0.02105093002319336
8,diversidade-Freezing-L1,0.0,0.0,0,0.4996527777777778,0.021181821823120117
9,diversidade-Freezing-L1,0.0,0.0,0,0.4996527777777778,0.021831750869750977
10,diversidade-Freezing-L1,0.8,0.000925925925925926,0.0018497109826589597,0.5003472222222223,0.0240023136138916
11,diversidade-Freezing-L1,0.5555555555555556,0.0011574074074074073,0.0023100023100023096,0.5001157407407407,0.0213015079498291
12,diversidade-Freezing-L1,0.0,0.0,0,0.4996527777777778,0.021462678909301758
13,diversidade-Freezing-L1,0.0,0.0,0,0.4996527777777778,0.021213054656982422
14,diversidade-Freezing-L1,0.5555555555555556,0.0011574074074074073,0.0023100023100023096,0.5001157407407407,0.0215303897857666
15,diversidade-Freezing-L1,0.0,0.0,0,0.4996527777777778,0.021547317504882812
16,diversidade-Freezing-L1,0.6666666666666666,0.000925925925925926,0.001849283402681461,0.5002314814814814,0.02185201644897461
17,diversidade-Freezing-L1,0.7142857142857143,0.0011574074074074073,0.00231107002542177,0.5003472222222223,0.0215299129486084
18,diversidade-Freezing-L1,1.0,0.000925925925925926,0.0018501387604070304,0.500462962962963,0.022005081176757812
19,diversidade-Freezing-L1,0.8,0.000925925925925926,0.0018497109826589597,0.5003472222222223,0.021361112594604492
20,diversidade-Freezing-L1,0.0,0.0,0,0.49953703703703706,0.021106719970703125
21,diversidade-Freezing-L1,0.45454545454545453,0.0011574074074074073,0.0023089355806972986,0.4998842592592593,0.0210874080657959
22,diversidade-Freezing-L1,0.0,0.0,0,0.4996527777777778,0.02097010612487793
23,diversidade-Freezing-L1,0.0,0.0,0,0.49953703703703706,0.024985313415527344
24,diversidade-Freezing-L1,0.0,0.0,0,0.4996527777777778,0.024358272552490234
25,diversidade-Freezing-L1,0.6666666666666666,0.000925925925925926,0.001849283402681461,0.5002314814814814,0.02447819709777832
26,diversidade-Freezing-L1,0.4,0.000925925925925926,0.0018475750577367205,0.4997685185185185,0.02427220344543457
27,diversidade-Freezing-L1,0.5,0.000925925925925926,0.0018484288354898338,0.5,0.023874282836914062
28,diversidade-Freezing-L1,0.0,0.0,0,0.4996527777777778,0.021106958389282227
29,diversidade-Freezing-L1,0.0,0.0,0,0.4998842592592593,0.02177906036376953
30,diversidade-Freezing-L1,1.0,0.0011574074074074073,0.002312138728323699,0.5005787037037037,0.024643659591674805
