Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Accuracy,Tempo Processa Sensor
1,isolation-Bias-L2,0.0,0.0,0,0.7,0.0518498420715332
1,isolation-Bias-L2,0.0,0.0,0,0.7,0.043245553970336914
1,isolation-Bias-L2,0.96843853820598,0.33738425925925924,0.5004291845493561,0.8652777777777778,0.07242465019226074
2,isolation-Bias-L2,0.9753694581280788,0.34375,0.5083440308087291,0.8670138888888889,0.07340788841247559
3,isolation-Bias-L2,0.9621993127147767,0.32407407407407407,0.48484848484848486,0.8622685185185185,0.07219052314758301
4,isolation-Bias-L2,0.9611307420494699,0.3148148148148148,0.4742807323452485,0.8604166666666667,0.07216715812683105
5,isolation-Bias-L2,0.9693877551020408,0.3298611111111111,0.49222797927461137,0.8638888888888889,0.0747077465057373
6,isolation-Bias-L2,0.9390018484288355,0.29398148148148145,0.4477743499338915,0.8549768518518519,0.07301759719848633
7,isolation-Bias-L2,0.959409594095941,0.30092592592592593,0.45814977973568277,0.8576388888888888,0.0731821060180664
8,isolation-Bias-L2,0.9620253164556962,0.30787037037037035,0.4664620780359491,0.8591435185185186,0.0721731185913086
9,isolation-Bias-L2,0.9716446124763705,0.2974537037037037,0.45547186530793093,0.8577546296296297,0.07211828231811523
10,isolation-Bias-L2,0.9648506151142355,0.3177083333333333,0.478014801915542,0.8612268518518519,0.0724797248840332
11,isolation-Bias-L2,0.9728260869565217,0.3107638888888889,0.4710526315789474,0.8604166666666667,0.07171487808227539
12,isolation-Bias-L2,0.9787234042553191,0.3194444444444444,0.481675392670157,0.8625,0.07288789749145508
13,isolation-Bias-L2,0.9780775716694773,0.33564814814814814,0.49978457561395956,0.865625,0.0740666389465332
14,isolation-Bias-L2,0.9637023593466425,0.3072916666666667,0.4659938569548047,0.8591435185185186,0.07652115821838379
15,isolation-Bias-L2,0.9718045112781954,0.2991898148148148,0.45752212389380525,0.8581018518518518,0.07608795166015625
16,isolation-Bias-L2,0.9672977624784854,0.32523148148148145,0.48679081853616285,0.8628472222222222,0.07638263702392578
17,isolation-Bias-L2,0.9726775956284153,0.3090277777777778,0.4690382081686429,0.8600694444444444,0.07433128356933594
18,isolation-Bias-L2,0.9758812615955473,0.30439814814814814,0.4640494044993383,0.859375,0.07498502731323242
19,isolation-Bias-L2,0.969147005444646,0.3090277777777778,0.4686265906099166,0.859837962962963,0.07274246215820312
20,isolation-Bias-L2,0.967128027681661,0.32349537037037035,0.4848222029488291,0.8625,0.0731043815612793
21,isolation-Bias-L2,0.9726962457337884,0.3298611111111111,0.4926534140017286,0.8641203703703704,0.07539725303649902
22,isolation-Bias-L2,0.9679595278246206,0.33217592592592593,0.4946143903489875,0.8642361111111111,0.08510851860046387
23,isolation-Bias-L2,0.9523809523809523,0.3125,0.47058823529411764,0.859375,0.07448101043701172
24,isolation-Bias-L2,0.969811320754717,0.2974537037037037,0.4552701505757307,0.8576388888888888,0.07271432876586914
25,isolation-Bias-L2,0.975736568457539,0.3258101851851852,0.48850325379609544,0.8635416666666667,0.07632827758789062
26,isolation-Bias-L2,0.9598603839441536,0.31828703703703703,0.47805302042590175,0.8609953703703703,0.07337403297424316
27,isolation-Bias-L2,0.9702276707530648,0.32060185185185186,0.48194867333623315,0.8621527777777778,0.0755167007446289
28,isolation-Bias-L2,0.9673539518900344,0.3258101851851852,0.48744588744588746,0.8629629629629629,0.07373881340026855
29,isolation-Bias-L2,0.9737335834896811,0.3003472222222222,0.4590888987173817,0.8584490740740741,0.07204556465148926
30,isolation-Bias-L2,0.9797047970479705,0.3072916666666667,0.46784140969163,0.8601851851851852,0.07186102867126465
