Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Accuracy,Tempo Processa Sensor
1,isolation-Freezing-L1,0.0,0.0,0,0.45,0.046915531158447266
1,isolation-Freezing-L1,0.0,0.0,0,0.45,0.04323244094848633
1,isolation-Freezing-L1,0.0,0.0,0,0.41689814814814813,0.11462950706481934
2,isolation-Freezing-L1,0.0,0.0,0,0.42430555555555555,0.0687265396118164
3,isolation-Freezing-L1,0.0,0.0,0,0.4234953703703704,0.07701516151428223
4,isolation-Freezing-L1,0.0,0.0,0,0.42106481481481484,0.06697940826416016
5,isolation-Freezing-L1,0.0,0.0,0,0.4219907407407407,0.06260943412780762
6,isolation-Freezing-L1,0.0,0.0,0,0.4216435185185185,0.06343436241149902
7,isolation-Freezing-L1,0.0,0.0,0,0.4134259259259259,0.1453380584716797
8,isolation-Freezing-L1,0.0,0.0,0,0.4153935185185185,0.0909128189086914
9,isolation-Freezing-L1,0.0,0.0,0,0.41863425925925923,0.06775426864624023
10,isolation-Freezing-L1,0.0,0.0,0,0.41863425925925923,0.06239914894104004
11,isolation-Freezing-L1,0.0,0.0,0,0.4167824074074074,0.06268644332885742
12,isolation-Freezing-L1,0.0,0.0,0,0.4199074074074074,0.0640418529510498
13,isolation-Freezing-L1,0.0,0.0,0,0.4164351851851852,0.06724929809570312
14,isolation-Freezing-L1,0.0,0.0,0,0.4216435185185185,0.061986446380615234
15,isolation-Freezing-L1,0.0,0.0,0,0.42407407407407405,0.06280732154846191
16,isolation-Freezing-L1,0.0,0.0,0,0.4199074074074074,0.06235909461975098
17,isolation-Freezing-L1,0.0,0.0,0,0.41805555555555557,0.06156659126281738
18,isolation-Freezing-L1,0.0,0.0,0,0.4195601851851852,0.06844544410705566
19,isolation-Freezing-L1,0.0,0.0,0,0.42268518518518516,0.07496213912963867
20,isolation-Freezing-L1,0.0,0.0,0,0.4204861111111111,0.06512022018432617
21,isolation-Freezing-L1,0.0,0.0,0,0.4215277777777778,0.06215620040893555
22,isolation-Freezing-L1,0.0,0.0,0,0.4212962962962963,0.10424661636352539
23,isolation-Freezing-L1,0.0,0.0,0,0.4204861111111111,0.1241605281829834
24,isolation-Freezing-L1,0.0,0.0,0,0.4217592592592593,0.07166123390197754
25,isolation-Freezing-L1,0.0,0.0,0,0.4221064814814815,0.06957268714904785
26,isolation-Freezing-L1,0.0,0.0,0,0.4202546296296296,0.06367135047912598
27,isolation-Freezing-L1,0.0,0.0,0,0.41967592592592595,0.06403207778930664
28,isolation-Freezing-L1,0.0,0.0,0,0.42314814814814816,0.06251072883605957
29,isolation-Freezing-L1,0.0,0.0,0,0.41585648148148147,0.06305217742919922
30,isolation-Freezing-L1,0.0,0.0,0,0.4217592592592593,0.06210947036743164
