Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Accuracy,Tempo Processa Sensor
1,isolation-LossAccuracy-L2,0.0,0.0,0,0.65,0.04813432693481445
1,isolation-LossAccuracy-L2,0.0,0.0,0,0.65,0.04322528839111328
1,isolation-LossAccuracy-L2,0.1908177905308465,0.07696759259259259,0.10969072164948453,0.7501157407407407,0.06853961944580078
2,isolation-LossAccuracy-L2,0.9865384615384616,0.296875,0.456405693950178,0.8585648148148148,0.06652307510375977
3,isolation-LossAccuracy-L2,0.1729106628242075,0.06944444444444445,0.09909165978530142,0.7474537037037037,0.0654153823852539
4,isolation-LossAccuracy-L2,0.19705882352941176,0.0775462962962963,0.1112956810631229,0.7523148148148148,0.06578588485717773
5,isolation-LossAccuracy-L2,0.19285714285714287,0.078125,0.1112026359143328,0.7502314814814814,0.06519699096679688
6,isolation-LossAccuracy-L2,0.1906116642958748,0.0775462962962963,0.11024269847799259,0.7496527777777777,0.06621694564819336
7,isolation-LossAccuracy-L2,0.19940915805022155,0.078125,0.11226611226611227,0.7528935185185185,0.06851792335510254
8,isolation-LossAccuracy-L2,0.20059435364041606,0.078125,0.11245314452311536,0.7533564814814815,0.06689929962158203
9,isolation-LossAccuracy-L2,0.17682020802377416,0.06886574074074074,0.0991253644314869,0.7496527777777777,0.06669449806213379
10,isolation-LossAccuracy-L2,0.9516129032258065,0.03414351851851852,0.0659217877094972,0.8064814814814815,0.06532669067382812
11,isolation-LossAccuracy-L2,0.9247311827956989,0.04976851851851852,0.09445359692476663,0.8091435185185185,0.06545591354370117
12,isolation-LossAccuracy-L2,0.21233859397417504,0.08564814814814815,0.12206185567010311,0.7535879629629629,0.06655502319335938
13,isolation-LossAccuracy-L2,0.9825708061002179,0.26099537037037035,0.4124371284865111,0.8512731481481481,0.07114529609680176
14,isolation-LossAccuracy-L2,0.9402985074626866,0.036458333333333336,0.0701949860724234,0.8068287037037037,0.06735754013061523
15,isolation-LossAccuracy-L2,0.9837728194726166,0.2806712962962963,0.4367402071139127,0.8552083333333333,0.0689089298248291
16,isolation-LossAccuracy-L2,0.9411764705882353,0.046296296296296294,0.0882515168229454,0.8086805555555555,0.06737256050109863
17,isolation-LossAccuracy-L2,0.20784883720930233,0.08275462962962964,0.11837748344370862,0.7534722222222222,0.06656932830810547
18,isolation-LossAccuracy-L2,0.9869158878504672,0.3055555555555556,0.4666372072470172,0.8603009259259259,0.06633353233337402
19,isolation-LossAccuracy-L2,0.9518072289156626,0.045717592592592594,0.0872446162341248,0.8086805555555555,0.0703129768371582
20,isolation-LossAccuracy-L2,0.2011577424023155,0.08043981481481481,0.11492352211657708,0.752199074074074,0.0695958137512207
21,isolation-LossAccuracy-L2,0.22436849925705796,0.08738425925925926,0.12578092461474386,0.7570601851851851,0.07680797576904297
22,isolation-LossAccuracy-L2,0.21503759398496242,0.08275462962962964,0.11951525282072713,0.7561342592592593,0.06651830673217773
23,isolation-LossAccuracy-L2,0.9154929577464789,0.03761574074074074,0.07226236798221235,0.8068287037037037,0.06599640846252441
24,isolation-LossAccuracy-L2,0.19363762102351315,0.08101851851851852,0.11423908608731131,0.7487268518518518,0.10294938087463379
25,isolation-LossAccuracy-L2,0.20089955022488756,0.0775462962962963,0.11189979123173277,0.7538194444444445,0.13776946067810059
26,isolation-LossAccuracy-L2,0.9633911368015414,0.28935185185185186,0.4450378282153983,0.8556712962962963,0.07098245620727539
27,isolation-LossAccuracy-L2,0.19196428571428573,0.07465277777777778,0.10750000000000001,0.7520833333333333,0.06947898864746094
28,isolation-LossAccuracy-L2,0.9358974358974359,0.04224537037037037,0.08084163898117387,0.8078703703703703,0.06700253486633301
29,isolation-LossAccuracy-L2,0.9899598393574297,0.28530092592592593,0.44294699011680144,0.8564814814814815,0.06705737113952637
30,isolation-LossAccuracy-L2,0.9849137931034483,0.2644675925925926,0.41697080291970806,0.8520833333333333,0.06965804100036621
