Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Accuracy,Tempo Processa Sensor
1,isolation-Noise-L2,1.0,0.2,0.33333333333333337,0.8,0.04420757293701172
1,isolation-Noise-L2,1.0,0.2,0.33333333333333337,0.8,0.04449176788330078
1,isolation-Noise-L2,1.0,0.4930555555555556,0.6604651162790698,0.8986111111111111,0.0815896987915039
2,isolation-Noise-L2,1.0,0.4809027777777778,0.64947245017585,0.8961805555555555,0.09113693237304688
3,isolation-Noise-L2,1.0,0.48900462962962965,0.6568208317139526,0.897800925925926,0.08720016479492188
4,isolation-Noise-L2,1.0,0.4930555555555556,0.6604651162790698,0.8986111111111111,0.08123254776000977
5,isolation-Noise-L2,1.0,0.4710648148148148,0.6404405979543666,0.8942129629629629,0.10545873641967773
6,isolation-Noise-L2,1.0,0.47280092592592593,0.6420432220039293,0.8945601851851852,0.17629504203796387
7,isolation-Noise-L2,1.0,0.49537037037037035,0.6625386996904025,0.899074074074074,0.10123872756958008
8,isolation-Noise-L2,1.0,0.47164351851851855,0.6409752261108926,0.8943287037037037,0.08999752998352051
9,isolation-Noise-L2,1.0,0.4976851851851852,0.6646058732612056,0.899537037037037,0.08251714706420898
10,isolation-Noise-L2,1.0,0.48148148148148145,0.65,0.8962962962962963,0.09476995468139648
11,isolation-Noise-L2,1.0,0.47858796296296297,0.647358121330724,0.8957175925925925,0.08696365356445312
12,isolation-Noise-L2,1.0,0.4739583333333333,0.6431095406360424,0.8947916666666667,0.08651185035705566
13,isolation-Noise-L2,1.0,0.47511574074074076,0.6441741859552766,0.8950231481481481,0.08675551414489746
14,isolation-Noise-L2,1.0,0.4866898148148148,0.6547294667185675,0.897337962962963,0.0859978199005127
15,isolation-Noise-L2,1.0,0.47974537037037035,0.6484161126319906,0.8959490740740741,0.08201336860656738
16,isolation-Noise-L2,1.0,0.47164351851851855,0.6409752261108926,0.8943287037037037,0.08063793182373047
17,isolation-Noise-L2,1.0,0.4913194444444444,0.6589057043073341,0.8982638888888889,0.08358287811279297
18,isolation-Noise-L2,1.0,0.4849537037037037,0.6531566640685893,0.8969907407407407,0.08200645446777344
19,isolation-Noise-L2,1.0,0.4878472222222222,0.6557759626604434,0.8975694444444444,0.0811917781829834
20,isolation-Noise-L2,1.0,0.47511574074074076,0.6441741859552766,0.8950231481481481,0.08019328117370605
21,isolation-Noise-L2,1.0,0.4756944444444444,0.6447058823529411,0.8951388888888889,0.0829463005065918
22,isolation-Noise-L2,1.0,0.48726851851851855,0.6552529182879377,0.8974537037037037,0.08192062377929688
23,isolation-Noise-L2,1.0,0.47627314814814814,0.6452371618972952,0.8952546296296297,0.08231520652770996
24,isolation-Noise-L2,1.0,0.4878472222222222,0.6557759626604434,0.8975694444444444,0.08326435089111328
25,isolation-Noise-L2,1.0,0.49363425925925924,0.6609841146842309,0.8987268518518519,0.08136439323425293
26,isolation-Noise-L2,1.0,0.4913194444444444,0.6589057043073341,0.8982638888888889,0.08242154121398926
27,isolation-Noise-L2,1.0,0.48726851851851855,0.6552529182879377,0.8974537037037037,0.08086133003234863
28,isolation-Noise-L2,1.0,0.4837962962962963,0.6521060842433697,0.8967592592592593,0.0816504955291748
29,isolation-Noise-L2,1.0,0.4947916666666667,0.662020905923345,0.8989583333333333,0.0832359790802002
30,isolation-Noise-L2,1.0,0.4895833333333333,0.6573426573426574,0.8979166666666667,0.08141279220581055
