Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Accuracy,Tempo Processa Sensor
1,svm-Freezing-L1,0,0.0,0,0.5,0.00032258033752441406
1,svm-Freezing-L1,0,0.0,0,0.5,0.00034546852111816406
1,svm-Freezing-L1,0.0,0.0,0,0.49907407407407406,0.29346299171447754
2,svm-Freezing-L1,0.0,0.0,0,0.4988425925925926,0.2829625606536865
3,svm-Freezing-L1,0.0,0.0,0,0.4994212962962963,0.29251742362976074
4,svm-Freezing-L1,0.0,0.0,0,0.4988425925925926,0.2890000343322754
5,svm-Freezing-L1,0.0,0.0,0,0.49907407407407406,0.28638720512390137
6,svm-Freezing-L1,0.0,0.0,0,0.4982638888888889,0.2922353744506836
7,svm-Freezing-L1,0.0,0.0,0,0.4980324074074074,0.2909214496612549
8,svm-Freezing-L1,0.0,0.0,0,0.4979166666666667,0.288865327835083
9,svm-Freezing-L1,0.0,0.0,0,0.49907407407407406,0.2892591953277588
10,svm-Freezing-L1,0.0,0.0,0,0.4988425925925926,0.28672051429748535
11,svm-Freezing-L1,0.0,0.0,0,0.4984953703703704,0.2871205806732178
12,svm-Freezing-L1,0.0,0.0,0,0.4981481481481482,0.29519224166870117
13,svm-Freezing-L1,0.0,0.0,0,0.49907407407407406,0.28232693672180176
14,svm-Freezing-L1,0.0,0.0,0,0.49895833333333334,0.2932422161102295
15,svm-Freezing-L1,0.0,0.0,0,0.4982638888888889,0.29131078720092773
16,svm-Freezing-L1,0.0,0.0,0,0.4984953703703704,0.28467655181884766
17,svm-Freezing-L1,0.0,0.0,0,0.49907407407407406,0.28417444229125977
18,svm-Freezing-L1,0.0,0.0,0,0.4988425925925926,0.29076552391052246
19,svm-Freezing-L1,0.0,0.0,0,0.49895833333333334,0.2845768928527832
20,svm-Freezing-L1,0.0,0.0,0,0.4988425925925926,0.2859492301940918
21,svm-Freezing-L1,0.0,0.0,0,0.4988425925925926,0.29259777069091797
22,svm-Freezing-L1,0.0,0.0,0,0.49895833333333334,0.2859487533569336
23,svm-Freezing-L1,0.0,0.0,0,0.4983796296296296,0.2895326614379883
24,svm-Freezing-L1,0.0,0.0,0,0.49872685185185184,0.29213404655456543
25,svm-Freezing-L1,0.0,0.0,0,0.49907407407407406,0.2853720188140869
26,svm-Freezing-L1,0.0,0.0,0,0.4979166666666667,0.2927556037902832
27,svm-Freezing-L1,0.0,0.0,0,0.4984953703703704,0.2870900630950928
28,svm-Freezing-L1,0.0,0.0,0,0.49872685185185184,0.2928202152252197
29,svm-Freezing-L1,0.0,0.0,0,0.4982638888888889,0.2794210910797119
30,svm-Freezing-L1,0.0,0.0,0,0.49907407407407406,0.2901034355163574
