Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Accuracy,Tempo Processa Sensor
1,svm-LossAccuracy-L1,0,0.0,0,0.75,0.0003826618194580078
1,svm-LossAccuracy-L1,0,0.0,0,0.75,0.000370025634765625
1,svm-LossAccuracy-L1,0.813953488372093,0.04050925925925926,0.07717750826901874,0.903125,0.2914855480194092
2,svm-LossAccuracy-L1,0.84,0.04861111111111111,0.09190371991247265,0.9039351851851852,0.2949202060699463
3,svm-LossAccuracy-L1,0.8571428571428571,0.034722222222222224,0.06674082313681869,0.9028935185185185,0.2951662540435791
4,svm-LossAccuracy-L1,0.7692307692307693,0.034722222222222224,0.0664451827242525,0.9024305555555555,0.28989744186401367
5,svm-LossAccuracy-L1,0.8461538461538461,0.03819444444444445,0.07308970099667775,0.903125,0.2918062210083008
6,svm-LossAccuracy-L1,0.7833333333333333,0.05439814814814815,0.10173160173160173,0.9039351851851852,0.29191040992736816
7,svm-LossAccuracy-L1,0.7169811320754716,0.04398148148148148,0.08287895310796074,0.9026620370370371,0.2963290214538574
8,svm-LossAccuracy-L1,0.7301587301587301,0.05324074074074074,0.09924487594390508,0.9033564814814815,0.2915976047515869
9,svm-LossAccuracy-L1,0.9318181818181818,0.047453703703703706,0.09030837004405287,0.9043981481481481,0.29239559173583984
10,svm-LossAccuracy-L1,0.966789667896679,0.30324074074074076,0.4616740088105727,0.9292824074074074,0.30481576919555664
11,svm-LossAccuracy-L1,0.7551020408163265,0.04282407407407408,0.08105147864184009,0.9028935185185185,0.2881922721862793
12,svm-LossAccuracy-L1,0.7391304347826086,0.03935185185185185,0.07472527472527472,0.9025462962962963,0.2973780632019043
13,svm-LossAccuracy-L1,0.813953488372093,0.04050925925925926,0.07717750826901874,0.903125,0.2822601795196533
14,svm-LossAccuracy-L1,0.84,0.04861111111111111,0.09190371991247265,0.9039351851851852,0.2981278896331787
15,svm-LossAccuracy-L1,0.76,0.04398148148148148,0.08315098468271336,0.9030092592592592,0.29596781730651855
16,svm-LossAccuracy-L1,0.9535864978902954,0.26157407407407407,0.410535876475931,0.9248842592592592,0.30724477767944336
17,svm-LossAccuracy-L1,0.78125,0.028935185185185185,0.055803571428571425,0.9020833333333333,0.2865734100341797
18,svm-LossAccuracy-L1,0.9619771863117871,0.29282407407407407,0.4489795918367347,0.928125,0.3062601089477539
19,svm-LossAccuracy-L1,0.9645669291338582,0.2835648148148148,0.4382826475849732,0.9273148148148148,0.3066983222961426
20,svm-LossAccuracy-L1,0.7948717948717948,0.03587962962962963,0.06866002214839424,0.9026620370370371,0.28752756118774414
21,svm-LossAccuracy-L1,0.8297872340425532,0.04513888888888889,0.08562019758507135,0.903587962962963,0.2991654872894287
22,svm-LossAccuracy-L1,0.7857142857142857,0.03819444444444445,0.07284768211920531,0.9027777777777778,0.28800511360168457
23,svm-LossAccuracy-L1,0.7450980392156863,0.04398148148148148,0.08306010928961749,0.9028935185185185,0.2934403419494629
24,svm-LossAccuracy-L1,0.8,0.041666666666666664,0.07920792079207921,0.903125,0.29332399368286133
25,svm-LossAccuracy-L1,0.9699248120300752,0.2986111111111111,0.45663716814159294,0.9289351851851851,0.3090062141418457
26,svm-LossAccuracy-L1,0.9446366782006921,0.3159722222222222,0.47354726799653074,0.9297453703703704,0.3042771816253662
27,svm-LossAccuracy-L1,0.9471544715447154,0.26967592592592593,0.41981981981981986,0.9254629629629629,0.296248197555542
28,svm-LossAccuracy-L1,0.8,0.046296296296296294,0.087527352297593,0.9034722222222222,0.29741525650024414
29,svm-LossAccuracy-L1,0.7,0.04050925925925926,0.07658643326039387,0.9023148148148148,0.2813374996185303
30,svm-LossAccuracy-L1,0.8,0.037037037037037035,0.07079646017699115,0.9027777777777778,0.29448533058166504
