Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Accuracy,Tempo Processa Sensor
1,svm-Noise-L1,0.6666666666666666,0.4,0.5,0.8,0.000335693359375
1,svm-Noise-L1,0.6666666666666666,0.4,0.5,0.8,0.00036978721618652344
1,svm-Noise-L1,0.10299625468164794,0.9548611111111112,0.18593644354293443,0.1638888888888889,0.3089301586151123
2,svm-Noise-L1,0.10427187116145763,0.8842592592592593,0.18654620925405935,0.22881944444444444,0.30484676361083984
3,svm-Noise-L1,0.10763420555705422,0.9236111111111112,0.19280019328340178,0.22662037037037036,0.306077241897583
4,svm-Noise-L1,0.988173455978975,0.8703703703703703,0.9255384615384614,0.9859953703703703,0.30655860900878906
5,svm-Noise-L1,0.9921568627450981,0.8784722222222222,0.9318600368324125,0.9871527777777778,0.29688334465026855
6,svm-Noise-L1,0.10812271928639006,0.9259259259259259,0.19363427326636817,0.22881944444444444,0.3066251277923584
7,svm-Noise-L1,0.10474090407938258,0.8796296296296297,0.18719211822660098,0.2361111111111111,0.31151628494262695
8,svm-Noise-L1,0.9769959404600812,0.8356481481481481,0.9008109794135996,0.9815972222222222,0.3012561798095703
9,svm-Noise-L1,0.9960526315789474,0.8761574074074074,0.9322660098522167,0.9872685185185185,0.4439828395843506
10,svm-Noise-L1,0.13856459330143542,0.8379629629629629,0.23780587945475448,0.46284722222222224,0.3729121685028076
11,svm-Noise-L1,0.23054503060332265,0.9155092592592593,0.3683352735739232,0.6859953703703704,0.3701493740081787
12,svm-Noise-L1,0.10429447852760736,0.8854166666666666,0.18660812294182216,0.228125,0.30790185928344727
13,svm-Noise-L1,0.10409856675886346,0.9583333333333334,0.18779768655023812,0.1710648148148148,0.29160475730895996
14,svm-Noise-L1,0.9895150720838795,0.8738425925925926,0.9280885064535955,0.9864583333333333,0.30052685737609863
15,svm-Noise-L1,0.574169741697417,0.9004629629629629,0.701216764308247,0.9232638888888889,0.30397748947143555
16,svm-Noise-L1,0.1344623200677392,0.9189814814814815,0.234598906780913,0.40034722222222224,0.295513391494751
17,svm-Noise-L1,0.23306311522872034,0.9317129629629629,0.3728578045391385,0.6865740740740741,0.3007786273956299
18,svm-Noise-L1,0.9869281045751634,0.8738425925925926,0.9269490484960099,0.9862268518518519,0.2988884449005127
19,svm-Noise-L1,0.9881578947368421,0.8692129629629629,0.9248768472906405,0.9858796296296296,0.2884402275085449
20,svm-Noise-L1,0.989501312335958,0.8726851851851852,0.9274292742927428,0.9863425925925926,0.2965273857116699
21,svm-Noise-L1,0.5600292825768668,0.8854166666666666,0.6860986547085202,0.9189814814814815,0.30473875999450684
22,svm-Noise-L1,0.9881422924901185,0.8680555555555556,0.9242144177449169,0.9857638888888889,0.29561829566955566
23,svm-Noise-L1,0.10575088579994549,0.8981481481481481,0.18922214094123385,0.23032407407407407,0.3143653869628906
24,svm-Noise-L1,0.3936810431293882,0.9085648148148148,0.549335199440168,0.850925925925926,0.30957984924316406
25,svm-Noise-L1,0.9894736842105263,0.8703703703703703,0.9261083743842365,0.9861111111111112,0.30250096321105957
26,svm-Noise-L1,0.14475431606905712,0.8831018518518519,0.24873675631621844,0.46655092592592595,0.30637145042419434
27,svm-Noise-L1,0.1350939563230066,0.9236111111111112,0.2357111209570226,0.4010416666666667,0.2949488162994385
28,svm-Noise-L1,0.9870466321243523,0.8819444444444444,0.9315403422982884,0.987037037037037,0.30362820625305176
29,svm-Noise-L1,0.372173058013766,0.8761574074074074,0.5224292615596965,0.8398148148148148,0.30716848373413086
30,svm-Noise-L1,0.1361478467277043,0.9293981481481481,0.23750369713102631,0.40324074074074073,0.30417776107788086
