Dado,Label,Predição,Avaliação
22.0,incorreto,P-correto,FN
21.998147290412227,correto,P-correto,VP
21.99629458082445,correto,P-correto,VP
21.994441871236685,correto,P-correto,VP
21.99258916164891,correto,P-correto,VP
21.99073645206114,correto,P-correto,VP
21.98888374247337,correto,P-correto,VP
21.9870310328856,correto,P-correto,VP
21.985178323297824,correto,P-correto,VP
21.98332561371005,correto,P-correto,VP
56.57923832690904,incorreto,P-correto,FN
-125.47065380411372,incorreto,P-correto,FN
-26.329452936037665,incorreto,P-correto,FN
21.97591477535896,correto,P-correto,VP
21.97406206577119,correto,P-correto,VP
21.97220935618342,correto,P-correto,VP
21.970356646595647,correto,P-correto,VP
21.968503937007878,correto,P-correto,VP
21.9666512274201,correto,P-correto,VP
21.964798517832328,correto,P-correto,VP
21.96294580824456,correto,P-correto,VP
21.961093098656782,correto,P-correto,VP
21.959240389069013,correto,P-correto,VP
21.95738767948124,correto,P-correto,VP
21.95553496989347,correto,P-correto,VP
21.953682260305698,correto,P-correto,VP
21.951829550717925,correto,P-correto,VP
161.84819112535803,incorreto,P-correto,FN
21.948124131542382,correto,P-correto,VP
21.94627142195461,correto,P-correto,VP
21.94441871236684,correto,P-correto,VP
21.942566002779063,correto,P-correto,VP
21.94071329319129,correto,P-correto,VP
21.93886058360352,correto,P-correto,VP
-361.0084160711076,incorreto,P-correto,FN
21.93515516442797,correto,P-correto,VP
21.9333024548402,correto,P-correto,VP
21.931449745252436,correto,P-correto,VP
21.92959703566466,correto,P-correto,VP
-209.7185700455073,incorreto,P-correto,FN
21.925891616489118,correto,P-correto,VP
21.924038906901345,correto,P-correto,VP
329.34189255722805,incorreto,P-correto,FN
21.9203334877258,correto,P-correto,VP
21.918480778138026,correto,P-correto,VP
21.916628068550256,correto,P-correto,VP
178.31564877319244,incorreto,P-correto,FN
21.91292264937471,correto,P-correto,VP
21.911069939786938,correto,P-correto,VP
21.909217230199165,correto,P-correto,VP
21.907364520611395,correto,P-correto,VP
21.905511811023626,correto,P-correto,VP
-43.47408882580008,incorreto,P-correto,FN
-299.4386923052635,incorreto,P-correto,FN
21.899953682260307,correto,P-correto,VP
21.89810097267253,correto,P-correto,VP
21.89624826308476,correto,P-correto,VP
21.894395553496988,correto,P-correto,VP
21.89254284390922,correto,P-correto,VP
21.89069013432145,correto,P-correto,VP
187.73739905882675,incorreto,P-correto,FN
21.8869847151459,correto,P-correto,VP
677.1774778673829,incorreto,P-correto,FN
21.88327929597036,correto,P-correto,VP
21.881426586382585,correto,P-correto,VP
21.87957387679481,correto,P-correto,VP
697.7592516444081,incorreto,P-correto,FN
21.87586845761927,correto,P-correto,VP
21.874015748031496,correto,P-correto,VP
21.872163038443723,correto,P-correto,VP
21.87031032885595,correto,P-correto,VP
21.86845761926818,correto,P-correto,VP
21.866604909680408,correto,P-correto,VP
21.864752200092635,correto,P-correto,VP
21.862899490504866,correto,P-correto,VP
803.0890702615998,incorreto,P-correto,FN
21.85919407132932,correto,P-correto,VP
21.857341361741547,correto,P-correto,VP
-349.267113399768,incorreto,P-correto,FN
21.853635942566005,correto,P-correto,VP
21.85178323297823,correto,P-correto,VP
21.84993052339046,correto,P-correto,VP
21.84807781380269,correto,P-correto,VP
21.846225104214916,correto,P-correto,VP
21.844372394627143,correto,P-correto,VP
21.84251968503937,correto,P-correto,VP
21.8406669754516,correto,P-correto,VP
21.838814265863824,correto,P-correto,VP
-494.88266674289935,incorreto,P-correto,FN
21.83510884668828,correto,P-correto,VP
21.83325613710051,correto,P-correto,VP
21.831403427512736,correto,P-correto,VP
21.829550717924967,correto,P-correto,VP
21.827698008337197,correto,P-correto,VP
21.82584529874942,correto,P-correto,VP
21.823992589161648,correto,P-correto,VP
21.822139879573875,correto,P-correto,VP
21.820287169986106,correto,P-correto,VP
21.818434460398333,correto,P-correto,VP
21.81658175081056,correto,P-correto,VP
21.814729041222787,correto,P-correto,VP
-1091.3657198851631,incorreto,P-correto,FN
21.811023622047244,correto,P-correto,VP
21.80917091245947,correto,P-correto,VP
21.8073182028717,correto,P-correto,VP
-105.30484590509155,incorreto,P-correto,FN
21.80361278369616,correto,P-correto,VP
21.801760074108383,correto,P-correto,VP
21.79990736452061,correto,P-correto,VP
21.79805465493284,correto,P-correto,VP
21.796201945345068,correto,P-correto,VP
-133.37452378565962,incorreto,P-correto,FN
21.79249652616952,correto,P-correto,VP
21.79064381658175,correto,P-correto,VP
21.78879110699398,correto,P-correto,VP
21.786938397406207,correto,P-correto,VP
21.785085687818437,correto,P-correto,VP
21.78323297823066,correto,P-correto,VP
21.78138026864289,correto,P-correto,VP
21.77952755905512,correto,P-correto,VP
21.777674849467346,correto,P-correto,VP
21.775822139879573,correto,P-correto,VP
21.773969430291803,correto,P-correto,VP
21.77211672070403,correto,P-correto,VP
21.770264011116257,correto,P-correto,VP
21.768411301528484,correto,P-correto,VP
1336.726977425601,incorreto,P-correto,FN
21.764705882352946,correto,P-correto,VP
21.76285317276517,correto,P-correto,VP
21.7610004631774,correto,P-correto,VP
21.759147753589623,correto,P-correto,VP
21.757295044001854,correto,P-correto,VP
21.75544233441408,correto,P-correto,VP
557.2859108904577,incorreto,P-correto,FN
21.75173691523853,correto,P-correto,VP
-594.9633706780556,incorreto,P-correto,FN
21.748031496062996,correto,P-correto,VP
21.74617878647522,correto,P-correto,VP
-132.01677198224064,incorreto,P-correto,FN
21.74247336729968,correto,P-correto,VP
21.740620657711904,correto,P-correto,VP
21.73876794812413,correto,P-correto,VP
21.73691523853636,correto,P-correto,VP
21.73506252894859,correto,P-correto,VP
21.733209819360816,correto,P-correto,VP
21.731357109773043,correto,P-correto,VP
552.2501161549991,incorreto,P-correto,FN
21.727651690597497,correto,P-correto,VP
21.725798981009728,correto,P-correto,VP
21.723946271421955,correto,P-correto,VP
21.722093561834185,correto,P-correto,VP
21.72024085224641,correto,P-correto,VP
21.71838814265864,correto,P-correto,VP
-285.57925469101343,incorreto,P-correto,FN
-2868.6475184601263,incorreto,P-correto,FN
21.71283001389532,correto,P-correto,VP
1105.0519304196166,incorreto,P-correto,FN
21.70912459471978,correto,P-correto,VP
21.707271885132005,correto,P-correto,VP
21.705419175544236,correto,P-correto,VP
21.703566465956463,correto,P-correto,VP
-106.6513421296558,incorreto,P-correto,FN
21.69986104678092,correto,P-correto,VP
21.698008337193144,correto,P-correto,VP
21.69615562760537,correto,P-correto,VP
21.6943029180176,correto,P-correto,VP
21.69245020842983,correto,P-correto,VP
21.690597498842056,correto,P-correto,VP
21.688744789254283,correto,P-correto,VP
21.686892079666517,correto,P-correto,VP
21.68503937007874,correto,P-correto,VP
1516.664854923942,incorreto,P-correto,FN
21.681333950903195,correto,P-correto,VP
21.679481241315425,correto,P-correto,VP
21.67762853172765,correto,P-correto,VP
-4016.8374627673456,incorreto,P-correto,FN
21.673923112552107,correto,P-correto,VP
21.672070402964334,correto,P-correto,VP
21.670217693376564,correto,P-correto,VP
