Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Tempo Processa Sensor
1,diversidade-Bias-L2,1.0,1.0,1.0,0.030234813690185547
2,diversidade-Bias-L2,1.0,1.0,1.0,0.03034377098083496
3,diversidade-Bias-L2,1.0,1.0,1.0,0.03410911560058594
4,diversidade-Bias-L2,1.0,1.0,1.0,0.03091716766357422
5,diversidade-Bias-L2,1.0,1.0,1.0,0.03116321563720703
6,diversidade-Bias-L2,1.0,1.0,1.0,0.03114771842956543
7,diversidade-Bias-L2,1.0,1.0,1.0,0.030778169631958008
8,diversidade-Bias-L2,1.0,1.0,1.0,0.0307309627532959
9,diversidade-Bias-L2,1.0,1.0,1.0,0.030327796936035156
10,diversidade-Bias-L2,1.0,1.0,1.0,0.030200719833374023
11,diversidade-Bias-L2,1.0,1.0,1.0,0.04324793815612793
12,diversidade-Bias-L2,1.0,1.0,1.0,0.030623674392700195
13,diversidade-Bias-L2,1.0,1.0,1.0,0.03020191192626953
14,diversidade-Bias-L2,1.0,1.0,1.0,0.0301816463470459
15,diversidade-Bias-L2,1.0,1.0,1.0,0.030306100845336914
16,diversidade-Bias-L2,1.0,1.0,1.0,0.030244112014770508
17,diversidade-Bias-L2,1.0,1.0,1.0,0.04713940620422363
18,diversidade-Bias-L2,1.0,1.0,1.0,0.07756686210632324
19,diversidade-Bias-L2,1.0,1.0,1.0,0.06750321388244629
20,diversidade-Bias-L2,1.0,1.0,1.0,0.037453651428222656
21,diversidade-Bias-L2,1.0,1.0,1.0,0.033331871032714844
22,diversidade-Bias-L2,1.0,1.0,1.0,0.031839609146118164
23,diversidade-Bias-L2,1.0,1.0,1.0,0.03803253173828125
24,diversidade-Bias-L2,1.0,1.0,1.0,0.03212928771972656
25,diversidade-Bias-L2,1.0,1.0,1.0,0.03371238708496094
26,diversidade-Bias-L2,1.0,1.0,1.0,0.0378267765045166
27,diversidade-Bias-L2,1.0,1.0,1.0,0.030388593673706055
28,diversidade-Bias-L2,1.0,1.0,1.0,0.03032231330871582
29,diversidade-Bias-L2,1.0,1.0,1.0,0.03664255142211914
30,diversidade-Bias-L2,1.0,1.0,1.0,0.03177332878112793
