Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Tempo Processa Sensor
1,diversidade-Drift-L1,1.0,1.0,1.0,0.03384661674499512
2,diversidade-Drift-L1,1.0,1.0,1.0,0.03293418884277344
3,diversidade-Drift-L1,1.0,1.0,1.0,0.03323626518249512
4,diversidade-Drift-L1,0.9998993660058367,1.0,0.9999496804709908,0.032453060150146484
5,diversidade-Drift-L1,1.0,1.0,1.0,0.03501462936401367
6,diversidade-Drift-L1,1.0,1.0,1.0,0.03560972213745117
7,diversidade-Drift-L1,1.0,1.0,1.0,0.034798383712768555
8,diversidade-Drift-L1,1.0,1.0,1.0,0.033380746841430664
9,diversidade-Drift-L1,0.9998993660058367,1.0,0.9999496804709908,0.033448219299316406
10,diversidade-Drift-L1,0.9998993660058367,1.0,0.9999496804709908,0.0330502986907959
11,diversidade-Drift-L1,1.0,1.0,1.0,0.032935142517089844
12,diversidade-Drift-L1,1.0,1.0,1.0,0.032735347747802734
13,diversidade-Drift-L1,0.9998993660058367,1.0,0.9999496804709908,0.03371858596801758
14,diversidade-Drift-L1,1.0,1.0,1.0,0.03316473960876465
15,diversidade-Drift-L1,1.0,1.0,1.0,0.03349590301513672
16,diversidade-Drift-L1,1.0,1.0,1.0,0.03335928916931152
17,diversidade-Drift-L1,1.0,1.0,1.0,0.03167104721069336
18,diversidade-Drift-L1,1.0,1.0,1.0,0.03180265426635742
19,diversidade-Drift-L1,1.0,1.0,1.0,0.03205561637878418
20,diversidade-Drift-L1,1.0,1.0,1.0,0.03057074546813965
21,diversidade-Drift-L1,0.9996981587684878,1.0,0.9998490566037737,0.031717777252197266
22,diversidade-Drift-L1,1.0,1.0,1.0,0.0315396785736084
23,diversidade-Drift-L1,1.0,1.0,1.0,0.031256914138793945
24,diversidade-Drift-L1,1.0,1.0,1.0,0.031182289123535156
25,diversidade-Drift-L1,0.9998993660058367,1.0,0.9999496804709908,0.03249812126159668
26,diversidade-Drift-L1,1.0,1.0,1.0,0.03574800491333008
27,diversidade-Drift-L1,1.0,1.0,1.0,0.03478193283081055
28,diversidade-Drift-L1,1.0,1.0,1.0,0.03325533866882324
29,diversidade-Drift-L1,1.0,1.0,1.0,0.03496217727661133
30,diversidade-Drift-L1,1.0,1.0,1.0,0.04127955436706543
