Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Tempo Processa Sensor
1,isolation-Bias-L2,0.9021705585845078,0.966710758377425,0.933326238493056,0.09788179397583008
2,isolation-Bias-L2,0.8931509666803784,0.9573412698412699,0.9241327942115343,0.1028144359588623
3,isolation-Bias-L2,0.9040222199362206,0.968694885361552,0.9352418453679562,0.10005545616149902
4,isolation-Bias-L2,0.8963176301172598,0.9605379188712522,0.9273172289028414,0.10634541511535645
5,isolation-Bias-L2,0.9006683804627249,0.9654982363315696,0.931957227217109,0.09781408309936523
6,isolation-Bias-L2,0.9065939718135995,0.9714506172839507,0.9379024104719843,0.10493993759155273
7,isolation-Bias-L2,0.9005321326238231,0.9700176366843033,0.9339842920823603,0.09893798828125
8,isolation-Bias-L2,0.9037037037037037,0.9682539682539683,0.9348659003831418,0.12071061134338379
9,isolation-Bias-L2,0.9046788426020932,0.9718915343915344,0.9370815176958233,0.10203361511230469
10,isolation-Bias-L2,0.9068092984982514,0.9717813051146384,0.9381717569437055,0.10336160659790039
11,isolation-Bias-L2,0.9015533381339368,0.9660493827160493,0.9326877028680891,0.10015749931335449
12,isolation-Bias-L2,0.9009840098400984,0.968915343915344,0.9337157425111535,0.10365462303161621
13,isolation-Bias-L2,0.9047765793528505,0.9708994708994709,0.9366725155527198,0.10201835632324219
14,isolation-Bias-L2,0.9013104013104013,0.9704585537918872,0.9346072186836518,0.09758925437927246
15,isolation-Bias-L2,0.9033021294105544,0.9679232804232805,0.9344968871388283,0.10176610946655273
16,isolation-Bias-L2,0.8978395061728395,0.9619708994708994,0.9287994891443166,0.10124397277832031
17,isolation-Bias-L2,0.9035637259936325,0.9697971781305115,0.9355095964697752,0.10102534294128418
18,isolation-Bias-L2,0.903826373174244,0.968584656084656,0.9350856656379696,0.09864330291748047
19,isolation-Bias-L2,0.904247660187185,0.9691358024691358,0.9355679702048417,0.09961128234863281
20,isolation-Bias-L2,0.900623021141865,0.9720017636684304,0.9349520224778667,0.10026431083679199
21,isolation-Bias-L2,0.9040222199362206,0.968694885361552,0.9352418453679562,0.09805560111999512
22,isolation-Bias-L2,0.901440329218107,0.9658289241622575,0.93252447850149,0.1021888256072998
23,isolation-Bias-L2,0.9049773755656109,0.9700176366843033,0.9363694403064481,0.1036837100982666
24,isolation-Bias-L2,0.9057360197368421,0.9712301587301587,0.9373404255319149,0.10004687309265137
25,isolation-Bias-L2,0.9016862544711293,0.97255291005291,0.9357798165137614,0.09887552261352539
26,isolation-Bias-L2,0.9039193498611254,0.968584656084656,0.935135422763795,0.09960293769836426
27,isolation-Bias-L2,0.8929562982005141,0.9572310405643739,0.9239772304091077,0.1034855842590332
28,isolation-Bias-L2,0.9014848950332821,0.9703483245149912,0.9346498911716302,0.10166811943054199
29,isolation-Bias-L2,0.9047423104618867,0.9694664902998237,0.9359868035970841,0.09776425361633301
30,isolation-Bias-L2,0.9082304526748971,0.9731040564373897,0.9395487441464453,0.10057663917541504
