Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Tempo Processa Sensor
1,isolation-Drift-L2,0.9333333333333333,1.0,0.9655172413793104,0.09327125549316406
2,isolation-Drift-L2,0.9329494035376388,1.0,0.9653117684613748,0.09564995765686035
3,isolation-Drift-L2,0.9326616634111237,1.0,0.9651577211553806,0.09816884994506836
4,isolation-Drift-L2,0.9333333333333333,1.0,0.9655172413793104,0.10051321983337402
5,isolation-Drift-L2,0.9333333333333333,1.0,0.9655172413793104,0.0982060432434082
6,isolation-Drift-L2,0.9332373212632445,1.0,0.9654658649497153,0.0944662094116211
7,isolation-Drift-L2,0.9333333333333333,1.0,0.9655172413793104,0.09608817100524902
8,isolation-Drift-L2,0.9333333333333333,1.0,0.9655172413793104,0.09643268585205078
9,isolation-Drift-L2,0.9333333333333333,1.0,0.9655172413793104,0.09995818138122559
10,isolation-Drift-L2,0.9333333333333333,1.0,0.9655172413793104,0.09420394897460938
11,isolation-Drift-L2,0.9333333333333333,1.0,0.9655172413793104,0.09559202194213867
12,isolation-Drift-L2,0.9331413289446616,1.0,0.9654144939874427,0.09470462799072266
13,isolation-Drift-L2,0.9330453563714903,1.0,0.9653631284916201,0.09589219093322754
14,isolation-Drift-L2,0.9333333333333333,1.0,0.9655172413793104,0.09653210639953613
15,isolation-Drift-L2,0.9331413289446616,1.0,0.9654144939874427,0.09415531158447266
16,isolation-Drift-L2,0.9333333333333333,1.0,0.9655172413793104,0.09306097030639648
17,isolation-Drift-L2,0.9330453563714903,1.0,0.9653631284916201,0.09863710403442383
18,isolation-Drift-L2,0.9332373212632445,1.0,0.9654658649497153,0.09311294555664062
19,isolation-Drift-L2,0.9333333333333333,1.0,0.9655172413793104,0.09632682800292969
20,isolation-Drift-L2,0.9325657894736842,1.0,0.9651063829787234,0.09743499755859375
21,isolation-Drift-L2,0.9333333333333333,1.0,0.9655172413793104,0.10212159156799316
22,isolation-Drift-L2,0.9332373212632445,1.0,0.9654658649497153,0.09752249717712402
23,isolation-Drift-L2,0.9333333333333333,1.0,0.9655172413793104,0.09230303764343262
24,isolation-Drift-L2,0.9333333333333333,1.0,0.9655172413793104,0.09332752227783203
25,isolation-Drift-L2,0.9330453563714903,1.0,0.9653631284916201,0.09335780143737793
26,isolation-Drift-L2,0.9332373212632445,1.0,0.9654658649497153,0.09629583358764648
27,isolation-Drift-L2,0.9332373212632445,1.0,0.9654658649497153,0.09756731986999512
28,isolation-Drift-L2,0.9332373212632445,1.0,0.9654658649497153,0.09644460678100586
29,isolation-Drift-L2,0.9333333333333333,1.0,0.9655172413793104,0.0977022647857666
30,isolation-Drift-L2,0.9332373212632445,1.0,0.9654658649497153,0.09698843955993652
