Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Tempo Processa Sensor
1,isolation-Freezing-L2,0.4444444444444444,0.8,0.5714285714285714,0.1087028980255127
2,isolation-Freezing-L2,0.4444444444444444,0.8,0.5714285714285714,0.09180879592895508
3,isolation-Freezing-L2,0.4444444444444444,0.8,0.5714285714285714,0.09066319465637207
4,isolation-Freezing-L2,0.4444444444444444,0.8,0.5714285714285714,0.09325933456420898
5,isolation-Freezing-L2,0.4444444444444444,0.8,0.5714285714285714,0.08705568313598633
6,isolation-Freezing-L2,0.4444444444444444,0.8,0.5714285714285714,0.08974766731262207
7,isolation-Freezing-L2,0.4444444444444444,0.8,0.5714285714285714,0.09466695785522461
8,isolation-Freezing-L2,0.4444444444444444,0.8,0.5714285714285714,0.08824276924133301
9,isolation-Freezing-L2,0.4444444444444444,0.8,0.5714285714285714,0.0929718017578125
10,isolation-Freezing-L2,0.4444444444444444,0.8,0.5714285714285714,0.09075570106506348
11,isolation-Freezing-L2,0.4444444444444444,0.8,0.5714285714285714,0.09665155410766602
12,isolation-Freezing-L2,0.4444444444444444,0.8,0.5714285714285714,0.08894038200378418
13,isolation-Freezing-L2,0.4444444444444444,0.8,0.5714285714285714,0.0901646614074707
14,isolation-Freezing-L2,0.4444444444444444,0.8,0.5714285714285714,0.09049391746520996
15,isolation-Freezing-L2,0.4444444444444444,0.8,0.5714285714285714,0.09200024604797363
16,isolation-Freezing-L2,0.4444444444444444,0.8,0.5714285714285714,0.09730911254882812
17,isolation-Freezing-L2,0.4444444444444444,0.8,0.5714285714285714,0.09181618690490723
18,isolation-Freezing-L2,0.4444444444444444,0.8,0.5714285714285714,0.09160995483398438
19,isolation-Freezing-L2,0.4444444444444444,0.8,0.5714285714285714,0.09030556678771973
20,isolation-Freezing-L2,0.4444444444444444,0.8,0.5714285714285714,0.08964943885803223
21,isolation-Freezing-L2,0.4444444444444444,0.8,0.5714285714285714,0.09308910369873047
22,isolation-Freezing-L2,0.4444444444444444,0.8,0.5714285714285714,0.08728361129760742
23,isolation-Freezing-L2,0.4444444444444444,0.8,0.5714285714285714,0.0886545181274414
24,isolation-Freezing-L2,0.4444444444444444,0.8,0.5714285714285714,0.09261131286621094
25,isolation-Freezing-L2,0.4444444444444444,0.8,0.5714285714285714,0.09144234657287598
26,isolation-Freezing-L2,0.4444444444444444,0.8,0.5714285714285714,0.09216833114624023
27,isolation-Freezing-L2,0.4444444444444444,0.8,0.5714285714285714,0.08832001686096191
28,isolation-Freezing-L2,0.4444444444444444,0.8,0.5714285714285714,0.09361100196838379
29,isolation-Freezing-L2,0.4444444444444444,0.8,0.5714285714285714,0.08817005157470703
30,isolation-Freezing-L2,0.4444444444444444,0.8,0.5714285714285714,0.09289693832397461
