Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Tempo Processa Sensor
1,isolation-Noise-L2,0.9259563965446318,0.9925044091710759,0.9580761864226431,0.10617589950561523
2,isolation-Noise-L2,0.925514403292181,0.9916225749559083,0.957428693060877,0.10358381271362305
3,isolation-Noise-L2,0.9267489711934156,0.9929453262786596,0.9587058322690506,0.1018681526184082
4,isolation-Noise-L2,0.9250231410058624,0.9914021164021164,0.9570630486831604,0.09993338584899902
5,isolation-Noise-L2,0.9239711934156378,0.9899691358024691,0.9558322690506599,0.10194182395935059
6,isolation-Noise-L2,0.9267941599835493,0.9936067019400353,0.9590381955527184,0.10094356536865234
7,isolation-Noise-L2,0.930254089085485,0.9968033509700176,0.9623796094290427,0.10017633438110352
8,isolation-Noise-L2,0.9260288065843622,0.9921737213403881,0.957960834397616,0.09619951248168945
9,isolation-Noise-L2,0.9254115226337448,0.9915123456790124,0.9573222647935292,0.10004234313964844
10,isolation-Noise-L2,0.9263374485596708,0.9925044091710759,0.9582801191996595,0.09784483909606934
11,isolation-Noise-L2,0.928916778109248,0.9953703703703703,0.960996115574948,0.11300492286682129
12,isolation-Noise-L2,0.9223570547099958,0.9886463844797179,0.9543519897850606,0.10109257698059082
13,isolation-Noise-L2,0.9226576159621516,0.9888668430335097,0.9546155892524607,0.09512639045715332
14,isolation-Noise-L2,0.922119341563786,0.9879850088183422,0.9539165602383993,0.09752178192138672
15,isolation-Noise-L2,0.9256325858876774,0.9919532627865961,0.9576460572523146,0.09705066680908203
16,isolation-Noise-L2,0.9247942386831276,0.9908509700176367,0.9566836951894423,0.0961616039276123
17,isolation-Noise-L2,0.9244933648801563,0.9906305114638448,0.9564199435960198,0.09790587425231934
18,isolation-Noise-L2,0.9262497428512652,0.9926146384479718,0.9582845589017772,0.10202956199645996
19,isolation-Noise-L2,0.9254191955560127,0.9916225749559083,0.9573777470334698,0.10082721710205078
20,isolation-Noise-L2,0.9260440238634026,0.9923941798941799,0.9580717250186229,0.10131144523620605
21,isolation-Noise-L2,0.921929644106151,0.9879850088183422,0.9538150473555389,0.09847259521484375
22,isolation-Noise-L2,0.9276748971193416,0.9939373897707231,0.9596636866751809,0.10036134719848633
23,isolation-Noise-L2,0.9265507663820595,0.9928350970017636,0.9585483956792422,0.09671640396118164
24,isolation-Noise-L2,0.9267640403209216,0.9931657848324515,0.9588166436096627,0.09647941589355469
25,isolation-Noise-L2,0.9254115226337448,0.9915123456790124,0.9573222647935292,0.10047507286071777
26,isolation-Noise-L2,0.9274691358024691,0.9937169312169312,0.9594508301404853,0.09981584548950195
27,isolation-Noise-L2,0.9248019751054418,0.9909611992945326,0.9567392114085032,0.10655665397644043
28,isolation-Noise-L2,0.9271604938271605,0.9933862433862434,0.9591315453384418,0.10088491439819336
29,isolation-Noise-L2,0.9263601769001337,0.9928350970017636,0.9584463953179037,0.1030125617980957
30,isolation-Noise-L2,0.922119341563786,0.9879850088183422,0.9539165602383993,0.09833478927612305
