Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Tempo Processa Sensor
1,svm-Bias-L2,0.8803454375195089,0.9326499118165785,0.9057431889953433,0.7076272964477539
2,svm-Bias-L2,0.8807472755578619,0.935405643738977,0.9072539691024751,0.6893761157989502
3,svm-Bias-L2,0.8702274364515797,0.9320987654320988,0.9001011229974986,0.7203800678253174
4,svm-Bias-L2,0.8720066061106524,0.9312169312169312,0.900639658848614,0.6773407459259033
5,svm-Bias-L2,0.8799376299376299,0.9330908289241623,0.9057350738283758,0.6796269416809082
6,svm-Bias-L2,0.881009240992628,0.9352954144620811,0.9073410682778165,0.6937990188598633
7,svm-Bias-L2,0.8798171808455386,0.933641975308642,0.9059307984384193,0.6986393928527832
8,svm-Bias-L2,0.8723797780517879,0.9358465608465608,0.9029993618379067,0.6795837879180908
9,svm-Bias-L2,0.8704482511026772,0.935405643738977,0.9017586738217949,0.6774048805236816
10,svm-Bias-L2,0.8805985659357789,0.9340828924162258,0.906552554158866,0.6711826324462891
11,svm-Bias-L2,0.8828425762147539,0.9352954144620811,0.9083123695338009,0.6742010116577148
12,svm-Bias-L2,0.8800829875518672,0.9351851851851852,0.9067977768277042,0.6682453155517578
13,svm-Bias-L2,0.8720882292310864,0.9326499118165785,0.9013529349099819,0.7041242122650146
14,svm-Bias-L2,0.8799625857410102,0.9333112874779541,0.9058521450732855,0.8559505939483643
15,svm-Bias-L2,0.8717816683831102,0.9330908289241623,0.9013949526142051,0.6821138858795166
16,svm-Bias-L2,0.880253849354973,0.9326499118165785,0.9056947120530936,0.6915421485900879
17,svm-Bias-L2,0.8713786726936511,0.9349647266313933,0.9020525364245454,0.6858980655670166
18,svm-Bias-L2,0.8792210482701471,0.935626102292769,0.9065470468866815,0.682520866394043
19,svm-Bias-L2,0.8805286710375689,0.9326499118165785,0.9058401584497618,0.6940925121307373
20,svm-Bias-L2,0.8873460012528711,0.9368386243386243,0.9114209115281501,0.6680927276611328
21,svm-Bias-L2,0.8786589163379697,0.9330908289241623,0.9050572008981077,0.6696140766143799
22,svm-Bias-L2,0.8715152762061517,0.9338624338624338,0.901612302453041,0.6710474491119385
23,svm-Bias-L2,0.8733786287831995,0.9351851851851852,0.903225806451613,0.6872563362121582
24,svm-Bias-L2,0.8714064914992272,0.9322089947089947,0.9007828726633648,0.705963134765625
25,svm-Bias-L2,0.8715492377420684,0.9326499118165785,0.9010649627263045,0.6920986175537109
26,svm-Bias-L2,0.8699320847911093,0.9318783068783069,0.8998403406067057,0.7182447910308838
27,svm-Bias-L2,0.8717420418254868,0.9327601410934744,0.9012194472549124,0.7488563060760498
28,svm-Bias-L2,0.8874960827326857,0.9365079365079365,0.9113435237329043,0.7334423065185547
29,svm-Bias-L2,0.8720354712311816,0.9322089947089947,0.9011188066062865,0.7009074687957764
30,svm-Bias-L2,0.879530584692076,0.933531746031746,0.9057269664723812,0.7935450077056885
