Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Tempo Processa Sensor
1,svm-Drift-L1,1.0,0.9791666666666666,0.9894736842105264,0.6599180698394775
2,svm-Drift-L1,1.0,0.9771537842190016,0.9884448969203359,0.6828501224517822
3,svm-Drift-L1,1.0,0.9770531400966184,0.9883934025656689,0.6751241683959961
4,svm-Drift-L1,0.999897066392177,0.9776570048309179,0.988651976998626,0.6416199207305908
5,svm-Drift-L1,1.0,0.9754428341384863,0.9875687792948848,0.6528503894805908
6,svm-Drift-L1,1.0,0.9825885668276972,0.9912178283161581,0.6607859134674072
7,svm-Drift-L1,1.0,0.9755434782608695,0.9876203576341127,0.6810884475708008
8,svm-Drift-L1,1.0,0.9830917874396136,0.9914738124238734,0.6829142570495605
9,svm-Drift-L1,0.9998968434082938,0.9755434782608695,0.9875700458481915,0.7347347736358643
10,svm-Drift-L1,0.9997944078947368,0.9788647342995169,0.989218877135883,0.6742630004882812
11,svm-Drift-L1,1.0,0.9785628019323671,0.9891652678162673,0.6826019287109375
12,svm-Drift-L1,1.0,0.9780595813204509,0.9889081103083341,0.9080784320831299
13,svm-Drift-L1,0.999793217535153,0.9732286634460547,0.9863321093431253,0.7252941131591797
14,svm-Drift-L1,1.0,0.9818840579710145,0.9908592321755028,0.8234875202178955
15,svm-Drift-L1,1.0,0.9754428341384863,0.9875687792948848,0.6428501605987549
16,svm-Drift-L1,1.0,0.9775563607085346,0.9886508219247799,0.646848201751709
17,svm-Drift-L1,0.9998972673104581,0.9795692431561996,0.9896288764616167,0.640531063079834
18,svm-Drift-L1,1.0,0.9782608695652174,0.989010989010989,0.6441431045532227
19,svm-Drift-L1,1.0,0.9825885668276972,0.9912178283161581,0.6377222537994385
20,svm-Drift-L1,1.0,0.9770531400966184,0.9883934025656689,0.6466646194458008
21,svm-Drift-L1,0.9997940267765191,0.9770531400966184,0.9882927822457499,0.648453950881958
22,svm-Drift-L1,1.0,0.9767512077294686,0.9882388880403239,0.6376461982727051
23,svm-Drift-L1,1.0,0.9798711755233495,0.9898332655551038,0.6854450702667236
24,svm-Drift-L1,1.0,0.9831924315619968,0.9915249936564324,0.6725070476531982
25,svm-Drift-L1,0.9998968221213372,0.975342190016103,0.9874668840432036,0.736767053604126
26,svm-Drift-L1,1.0,0.9839975845410628,0.991934256581951,0.6928575038909912
27,svm-Drift-L1,1.0,0.9803743961352657,0.9900899527366976,0.6969680786132812
28,svm-Drift-L1,1.0,0.9823872785829307,0.9911153982840026,0.6843850612640381
29,svm-Drift-L1,0.999896694214876,0.9741344605475041,0.9868474714518761,0.7165045738220215
30,svm-Drift-L1,1.0,0.9760466988727858,0.9878781705205256,0.680748701095581
