Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Tempo Processa Sensor
1,svm-LossAccuracy-L2,0.8426792879925918,0.9027777777777778,0.8716938960140492,0.6142230033874512
2,svm-LossAccuracy-L2,0.8411359193332647,0.9011243386243386,0.8700973870469906,0.6192443370819092
3,svm-LossAccuracy-L2,0.843280510393085,0.9033289241622575,0.8722724853645557,0.5977811813354492
4,svm-LossAccuracy-L2,0.841358024691358,0.9014550264550265,0.8703703703703705,0.5957813262939453
5,svm-LossAccuracy-L2,0.8440650072001645,0.9045414462081128,0.8732574225816749,0.5989928245544434
6,svm-LossAccuracy-L2,0.8400205761316872,0.9000220458553791,0.8689868028948489,0.5935220718383789
7,svm-LossAccuracy-L2,0.8394896594299825,0.8993606701940036,0.8683944441487946,0.5995228290557861
8,svm-LossAccuracy-L2,0.8414609053497942,0.9015652557319224,0.8704767986377182,0.6230530738830566
9,svm-LossAccuracy-L2,0.8417532667969956,0.9017857142857143,0.8707359906338141,0.7798044681549072
10,svm-LossAccuracy-L2,0.8415637860082305,0.9016754850088183,0.870583226905066,0.612565279006958
11,svm-LossAccuracy-L2,0.8414282774233381,0.9013447971781305,0.870356572645024,0.6189837455749512
12,svm-LossAccuracy-L2,0.8433995267002778,0.9035493827160493,0.8724389335320099,0.6045217514038086
13,svm-LossAccuracy-L2,0.8415963793458137,0.9018959435626103,0.8707034159838247,0.61326003074646
14,svm-LossAccuracy-L2,0.8417532667969956,0.9017857142857143,0.8707359906338141,0.6548449993133545
15,svm-LossAccuracy-L2,0.8426087851044132,0.9028880070546738,0.8717075506837653,0.6210606098175049
16,svm-LossAccuracy-L2,0.8378433995267003,0.8975970017636684,0.8666915012505987,0.6232950687408447
17,svm-LossAccuracy-L2,0.8444284391398292,0.9046516754850088,0.8735032728433826,0.6206471920013428
18,svm-LossAccuracy-L2,0.8397818481168965,0.8995811287477954,0.8686535391165514,0.6655435562133789
19,svm-LossAccuracy-L2,0.8409301368453544,0.9009038800705468,0.8698845191847161,0.6612124443054199
20,svm-LossAccuracy-L2,0.8400205761316872,0.9000220458553791,0.8689868028948489,0.6421670913696289
21,svm-LossAccuracy-L2,0.8398148148148148,0.8998015873015873,0.8687739463601531,0.5899996757507324
22,svm-LossAccuracy-L2,0.8413743442032713,0.9015652557319224,0.8704304794338318,0.5753574371337891
23,svm-LossAccuracy-L2,0.8405021609384647,0.900352733686067,0.869398616285258,0.5812427997589111
24,svm-LossAccuracy-L2,0.8415800843534615,0.9017857142857143,0.870643324642154,0.5744798183441162
25,svm-LossAccuracy-L2,0.8439139829200535,0.9041005291005291,0.8729711031876962,0.5750279426574707
26,svm-LossAccuracy-L2,0.8395061728395061,0.8994708994708994,0.8684546615581098,0.5781984329223633
27,svm-LossAccuracy-L2,0.8438271604938271,0.9041005291005291,0.8729246487867178,0.5831465721130371
28,svm-LossAccuracy-L2,0.8414445930651302,0.9014550264550265,0.8704166888404024,0.573361873626709
29,svm-LossAccuracy-L2,0.8421648317728161,0.9022266313932981,0.871161726358363,0.5654973983764648
30,svm-LossAccuracy-L2,0.842782179236547,0.9028880070546738,0.8718003299451866,0.5815207958221436
