Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Tempo Processa Sensor
1,svm-Noise-L1,0.9661243822075782,0.9443438003220612,0.9551099348534202,0.5985989570617676
2,svm-Noise-L1,0.935064935064935,0.45652173913043476,0.6135118685331711,0.6739175319671631
3,svm-Noise-L1,0.9664505505814552,0.9451489533011272,0.9556810665038417,0.6496963500976562
4,svm-Noise-L1,0.9659359884738088,0.9446457326892109,0.9551722383351142,0.5976033210754395
5,svm-Noise-L1,0.970790908155919,0.9499798711755234,0.960272648659647,0.5978207588195801
6,svm-Noise-L1,0.9680106973873689,0.9471618357487923,0.95747278461695,0.5948898792266846
7,svm-Noise-L1,0.9676954732510288,0.946658615136876,0.957061457061457,0.6569080352783203
8,svm-Noise-L1,0.9682000617474529,0.9468599033816425,0.9574110822775149,0.6498899459838867
9,svm-Noise-L1,0.9647010394154575,0.9434380032206119,0.9539510507301684,0.6638691425323486
10,svm-Noise-L1,0.9668758358193601,0.9459541062801933,0.9563005545098439,0.6957087516784668
11,svm-Noise-L1,0.9685314685314685,0.947866344605475,0.9580874872838251,0.6404759883880615
12,svm-Noise-L1,0.9666598065445565,0.945450885668277,0.9559377226009973,0.7241668701171875
13,svm-Noise-L1,0.9352083333333333,0.4517914653784219,0.6092562432138979,0.7309699058532715
14,svm-Noise-L1,0.9684026348291478,0.9469605475040258,0.9575615713413393,0.6470615863800049
15,svm-Noise-L1,0.9675959263450262,0.946658615136876,0.9570127689881467,0.7346823215484619
16,svm-Noise-L1,0.9665569047129039,0.9453502415458938,0.9558359621451104,0.8153684139251709
17,svm-Noise-L1,0.9676092544987146,0.947061191626409,0.9572249631249682,0.6555700302124023
18,svm-Noise-L1,0.9680938657883903,0.946658615136876,0.9572562589049461,0.6007285118103027
19,svm-Noise-L1,0.9664367342736538,0.9447463768115942,0.955468471677948,0.6814653873443604
20,svm-Noise-L1,0.9687307138448878,0.947866344605475,0.9581849628649913,0.7043070793151855
21,svm-Noise-L1,0.9661557452936941,0.9452495974235104,0.9555883400315408,0.6671164035797119
22,svm-Noise-L1,0.9658330760522795,0.9445450885668277,0.9550704727013688,0.6356000900268555
23,svm-Noise-L1,0.934150394682177,0.45259661835748793,0.6097627118644068,0.661712646484375
24,svm-Noise-L1,0.9683029741689821,0.9469605475040258,0.9575128479112603,0.6127462387084961
25,svm-Noise-L1,0.9664850416366814,0.9461553945249598,0.9562121751512994,0.5969932079315186
26,svm-Noise-L1,0.9670781893004116,0.9460547504025765,0.9564509564509565,0.5989325046539307
27,svm-Noise-L1,0.9651234567901235,0.9441425120772947,0.9545177045177046,0.6201074123382568
28,svm-Noise-L1,0.9682294879703887,0.9477657004830918,0.9578883124809278,0.663067102432251
29,svm-Noise-L1,0.9658611825192802,0.9453502415458938,0.9554956512893545,0.5709547996520996
30,svm-Noise-L1,0.931803830772469,0.4455515297906602,0.6028460543337645,0.6201815605163574
