Dado,Label,Predição,Avaliação
22.0,correto,P-correto,VP
21.998147290412227,correto,P-correto,VP
21.99629458082445,correto,P-correto,VP
21.994441871236685,correto,P-correto,VP
21.99258916164891,correto,P-correto,VP
21.99073645206114,correto,P-correto,VP
21.98888374247337,correto,P-correto,VP
21.9870310328856,correto,P-correto,VP
21.985178323297824,correto,P-correto,VP
21.98332561371005,correto,P-correto,VP
21.98147290412228,correto,P-correto,VP
21.979620194534508,correto,P-correto,VP
21.97776748494673,correto,P-correto,VP
21.97591477535896,correto,P-correto,VP
21.97406206577119,correto,P-correto,VP
21.97220935618342,correto,P-correto,VP
21.970356646595647,correto,P-correto,VP
31.5626689674203,incorreto,P-incorreto,VN
21.9666512274201,correto,P-correto,VP
21.964798517832328,correto,P-correto,VP
21.96294580824456,correto,P-correto,VP
30.309284523486998,incorreto,P-correto,FN
21.959240389069013,correto,P-correto,VP
21.95738767948124,correto,P-correto,VP
21.95553496989347,correto,P-correto,VP
21.953682260305698,correto,P-correto,VP
21.951829550717925,correto,P-correto,VP
21.94997684113015,correto,P-correto,VP
21.948124131542382,correto,P-correto,VP
21.94627142195461,correto,P-correto,VP
21.94441871236684,correto,P-correto,VP
21.942566002779063,correto,P-correto,VP
21.94071329319129,correto,P-correto,VP
21.93886058360352,correto,P-correto,VP
21.937007874015748,correto,P-correto,VP
21.93515516442797,correto,P-correto,VP
21.9333024548402,correto,P-correto,VP
21.931449745252436,correto,P-correto,VP
21.92959703566466,correto,P-correto,VP
21.927744326076887,correto,P-correto,VP
21.925891616489118,correto,P-correto,VP
21.924038906901345,correto,P-correto,VP
21.92218619731357,correto,P-correto,VP
21.9203334877258,correto,P-correto,VP
21.918480778138026,correto,P-correto,VP
21.916628068550256,correto,P-correto,VP
21.914775358962483,correto,P-correto,VP
21.91292264937471,correto,P-correto,VP
20.108422840557623,incorreto,P-correto,FN
21.909217230199165,correto,P-correto,VP
21.907364520611395,correto,P-correto,VP
21.905511811023626,correto,P-correto,VP
21.90365910143585,correto,P-correto,VP
21.90180639184808,correto,P-correto,VP
33.52489817404484,incorreto,P-correto,FN
28.22741513686385,incorreto,P-correto,FN
26.73223412753042,incorreto,P-incorreto,VN
21.894395553496988,correto,P-correto,VP
21.89254284390922,correto,P-correto,VP
21.89069013432145,correto,P-correto,VP
21.888837424733676,correto,P-correto,VP
11.640401521430164,incorreto,P-incorreto,VN
21.88513200555813,correto,P-correto,VP
21.88327929597036,correto,P-correto,VP
22.74334283686967,incorreto,P-correto,FN
21.87957387679481,correto,P-correto,VP
5.509004928764618,incorreto,P-incorreto,VN
21.87586845761927,correto,P-correto,VP
21.874015748031496,correto,P-correto,VP
14.563063258063249,incorreto,P-correto,FN
21.87031032885595,correto,P-correto,VP
43.38797256988498,incorreto,P-incorreto,VN
47.88561635415326,incorreto,P-incorreto,VN
21.864752200092635,correto,P-correto,VP
20.311274589792216,incorreto,P-correto,FN
21.861046780917093,correto,P-correto,VP
21.85919407132932,correto,P-correto,VP
21.857341361741547,correto,P-correto,VP
21.85548865215377,correto,P-correto,VP
21.853635942566005,correto,P-correto,VP
21.85178323297823,correto,P-correto,VP
20.10040699461094,incorreto,P-correto,FN
30.59427829490851,incorreto,P-correto,FN
21.846225104214916,correto,P-correto,VP
21.844372394627143,correto,P-correto,VP
21.84251968503937,correto,P-correto,VP
21.8406669754516,correto,P-correto,VP
14.97219550969634,incorreto,P-correto,FN
21.83696155627605,correto,P-correto,VP
21.83510884668828,correto,P-correto,VP
21.83325613710051,correto,P-correto,VP
21.831403427512736,correto,P-correto,VP
21.829550717924967,correto,P-correto,VP
21.827698008337197,correto,P-correto,VP
21.82584529874942,correto,P-correto,VP
6.853296112604342,incorreto,P-incorreto,VN
21.822139879573875,correto,P-correto,VP
21.820287169986106,correto,P-correto,VP
21.818434460398333,correto,P-correto,VP
21.81658175081056,correto,P-correto,VP
21.814729041222787,correto,P-correto,VP
21.812876331635017,correto,P-correto,VP
33.40350905906373,incorreto,P-correto,FN
21.80917091245947,correto,P-correto,VP
21.8073182028717,correto,P-correto,VP
21.80546549328393,correto,P-correto,VP
21.80361278369616,correto,P-correto,VP
21.801760074108383,correto,P-correto,VP
21.79990736452061,correto,P-correto,VP
21.79805465493284,correto,P-correto,VP
21.796201945345068,correto,P-correto,VP
21.79434923575729,correto,P-correto,VP
24.01881182099708,incorreto,P-incorreto,VN
21.79064381658175,correto,P-correto,VP
15.676813832318464,incorreto,P-incorreto,VN
21.786938397406207,correto,P-correto,VP
21.785085687818437,correto,P-correto,VP
21.78323297823066,correto,P-correto,VP
21.78138026864289,correto,P-correto,VP
21.77952755905512,correto,P-correto,VP
34.39141773500075,incorreto,P-incorreto,VN
21.775822139879573,correto,P-correto,VP
21.773969430291803,correto,P-correto,VP
21.77211672070403,correto,P-correto,VP
21.770264011116257,correto,P-correto,VP
21.768411301528484,correto,P-correto,VP
21.766558591940715,correto,P-correto,VP
19.413505139970027,incorreto,P-correto,FN
24.044920971684647,incorreto,P-incorreto,VN
21.7610004631774,correto,P-correto,VP
21.759147753589623,correto,P-correto,VP
21.757295044001854,correto,P-correto,VP
21.75544233441408,correto,P-correto,VP
21.753589624826308,correto,P-correto,VP
21.75173691523853,correto,P-correto,VP
21.74988420565077,correto,P-correto,VP
21.748031496062996,correto,P-correto,VP
21.74617878647522,correto,P-correto,VP
21.744326076887447,correto,P-correto,VP
21.74247336729968,correto,P-correto,VP
13.040064343613915,incorreto,P-incorreto,VN
21.73876794812413,correto,P-correto,VP
21.73691523853636,correto,P-correto,VP
21.73506252894859,correto,P-correto,VP
30.86298285541038,incorreto,P-correto,FN
21.731357109773043,correto,P-correto,VP
21.72950440018527,correto,P-correto,VP
7.746852670432306,incorreto,P-incorreto,VN
21.725798981009728,correto,P-correto,VP
21.723946271421955,correto,P-correto,VP
21.722093561834185,correto,P-correto,VP
21.72024085224641,correto,P-correto,VP
29.088738806981777,incorreto,P-incorreto,VN
21.716535433070867,correto,P-correto,VP
22.364404105961984,incorreto,P-correto,FN
21.71283001389532,correto,P-correto,VP
21.71097730430755,correto,P-correto,VP
21.70912459471978,correto,P-correto,VP
21.707271885132005,correto,P-correto,VP
21.705419175544236,correto,P-correto,VP
28.11888890474495,incorreto,P-correto,FN
21.70171375636869,correto,P-correto,VP
25.452957208344262,incorreto,P-correto,FN
10.384712772003931,incorreto,P-incorreto,VN
21.69615562760537,correto,P-correto,VP
21.6943029180176,correto,P-correto,VP
20.685475188371825,incorreto,P-correto,FN
7.679151998960675,incorreto,P-incorreto,VN
21.688744789254283,correto,P-correto,VP
21.686892079666517,correto,P-correto,VP
6.0952149667008655,incorreto,P-incorreto,VN
21.683186660490968,correto,P-correto,VP
21.681333950903195,correto,P-correto,VP
21.679481241315425,correto,P-correto,VP
9.821405273357357,incorreto,P-incorreto,VN
1.3615742535765172,incorreto,P-incorreto,VN
17.529929659170566,incorreto,P-correto,FN
21.672070402964334,correto,P-correto,VP
31.77256673125396,incorreto,P-incorreto,VN
21.66836498378879,correto,P-correto,VP
21.66651227420102,correto,P-correto,VP
21.664659564613245,correto,P-correto,VP
21.66280685502548,correto,P-correto,VP
21.660954145437703,correto,P-correto,VP
21.65910143584993,correto,P-correto,VP
21.65724872626216,correto,P-correto,VP
21.655396016674388,correto,P-correto,VP
30.56242376336874,incorreto,P-correto,FN
13.65107840740313,incorreto,P-incorreto,VN
11.82293894222783,incorreto,P-incorreto,VN
21.6479851783233,correto,P-correto,VP
21.646132468735527,correto,P-correto,VP
21.644279759147757,correto,P-correto,VP
36.15821037914989,incorreto,P-correto,FN
21.640574339972208,correto,P-correto,VP
21.63872163038444,correto,P-correto,VP
21.636868920796665,correto,P-correto,VP
21.63501621120889,correto,P-correto,VP
21.63316350162112,correto,P-correto,VP
21.63131079203335,correto,P-correto,VP
21.629458082445577,correto,P-correto,VP
16.727975452846188,incorreto,P-incorreto,VN
21.62575266327003,correto,P-correto,VP
21.623899953682265,correto,P-correto,VP
21.62204724409449,correto,P-correto,VP
15.870787762369837,incorreto,P-incorreto,VN
21.618341824918943,correto,P-correto,VP
21.616489115331174,correto,P-correto,VP
21.084289743376942,incorreto,P-correto,FN
21.612783696155628,correto,P-correto,VP
21.61093098656785,correto,P-correto,VP
21.60907827698008,correto,P-correto,VP
21.607225567392312,correto,P-correto,VP
21.60537285780454,correto,P-correto,VP
21.603520148216766,correto,P-correto,VP
21.601667438628997,correto,P-correto,VP
21.599814729041224,correto,P-correto,VP
21.59796201945345,correto,P-correto,VP
21.59610930986568,correto,P-correto,VP
26.020620951226903,incorreto,P-incorreto,VN
21.592403890690136,correto,P-correto,VP
21.590551181102363,correto,P-correto,VP
21.58869847151459,correto,P-correto,VP
21.586845761926817,correto,P-correto,VP
21.584993052339044,correto,P-correto,VP
21.583140342751275,correto,P-correto,VP
25.36120334287221,incorreto,P-correto,FN
21.57943492357573,correto,P-correto,VP
21.57758221398796,correto,P-correto,VP
49.80163723662504,incorreto,P-incorreto,VN
21.573876794812413,correto,P-correto,VP
21.57202408522464,correto,P-correto,VP
21.570171375636868,correto,P-correto,VP
21.568318666049095,correto,P-correto,VP
21.566465956461325,correto,P-correto,VP
40.61550484087405,incorreto,P-incorreto,VN
21.56276053728578,correto,P-correto,VP
21.56090782769801,correto,P-correto,VP
21.55905511811024,correto,P-correto,VP
21.557202408522464,correto,P-correto,VP
32.41678653944672,incorreto,P-correto,FN
21.55349698934692,correto,P-correto,VP
21.55164427975915,correto,P-correto,VP
5.008983721985761,incorreto,P-incorreto,VN
21.547938860583603,correto,P-correto,VP
17.985383135163087,incorreto,P-correto,FN
21.54423344140806,correto,P-correto,VP
21.542380731820288,correto,P-correto,VP
21.540528022232515,correto,P-correto,VP
21.53867531264474,correto,P-correto,VP
21.53682260305697,correto,P-incorreto,FP
21.5349698934692,correto,P-incorreto,FP
21.533117183881423,correto,P-incorreto,FP
21.531264474293653,correto,P-incorreto,FP
12.482783036866955,incorreto,P-incorreto,VN
12.342784676731842,incorreto,P-incorreto,VN
21.525706345530335,correto,P-incorreto,FP
12.148190888164155,incorreto,P-incorreto,VN
21.522000926354792,correto,P-incorreto,FP
21.520148216767023,correto,P-incorreto,FP
21.51829550717925,correto,P-incorreto,FP
21.51644279759148,correto,P-incorreto,FP
21.514590088003704,correto,P-incorreto,FP
33.93476675151195,incorreto,P-incorreto,VN
21.51088466882816,correto,P-incorreto,FP
21.50903195924039,correto,P-incorreto,FP
21.507179249652616,correto,P-incorreto,FP
21.505326540064846,correto,P-incorreto,FP
21.503473830477077,correto,P-incorreto,FP
21.5016211208893,correto,P-incorreto,FP
21.499768411301527,correto,P-incorreto,FP
21.49791570171376,correto,P-incorreto,FP
21.496062992125985,correto,P-incorreto,FP
21.49421028253821,correto,P-incorreto,FP
21.49235757295044,correto,P-incorreto,FP
21.490504863362663,correto,P-incorreto,FP
21.488652153774897,correto,P-incorreto,FP
21.486799444187124,correto,P-incorreto,FP
21.48494673459935,correto,P-incorreto,FP
21.483094025011575,correto,P-incorreto,FP
17.674066248411744,incorreto,P-correto,FN
21.47938860583604,correto,P-incorreto,FP
21.477535896248263,correto,P-incorreto,FP
21.47568318666049,correto,P-incorreto,FP
30.074118744361385,incorreto,P-correto,FN
21.471977767484947,correto,P-incorreto,FP
14.382391880627528,incorreto,P-correto,FN
21.4682723483094,correto,P-incorreto,FP
21.466419638721632,correto,P-incorreto,FP
