Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Tempo Processa Sensor
1,diversidade-Bias-L1,1.0,1.0,1.0,0.02155327796936035
2,diversidade-Bias-L1,1.0,0.9990997942386831,0.9995496944355099,0.022569894790649414
3,diversidade-Bias-L1,1.0,0.9997427983539094,0.9998713826366559,0.021307706832885742
4,diversidade-Bias-L1,1.0,0.9994855967078189,0.9997427321842037,0.02133798599243164
5,diversidade-Bias-L1,1.0,0.9996141975308642,0.9998070615473663,0.023896217346191406
6,diversidade-Bias-L1,1.0,0.9989711934156379,0.9994853319608853,0.024791717529296875
7,diversidade-Bias-L1,1.0,0.9990997942386831,0.9995496944355099,0.02500605583190918
8,diversidade-Bias-L1,1.0,0.9992283950617284,0.9996140486298727,0.024268388748168945
9,diversidade-Bias-L1,1.0,0.9992283950617284,0.9996140486298727,0.02466726303100586
10,diversidade-Bias-L1,1.0,0.9993569958847737,0.9996783945455715,0.02408766746520996
11,diversidade-Bias-L1,1.0,0.9993569958847737,0.9996783945455715,0.02228546142578125
12,diversidade-Bias-L1,1.0,0.9996141975308642,0.9998070615473663,0.021518707275390625
13,diversidade-Bias-L1,1.0,0.9994855967078189,0.9997427321842037,0.023656368255615234
14,diversidade-Bias-L1,1.0,0.9992283950617284,0.9996140486298727,0.025147199630737305
15,diversidade-Bias-L1,1.0,0.9997427983539094,0.9998713826366559,0.027211904525756836
16,diversidade-Bias-L1,1.0,0.9992283950617284,0.9996140486298727,0.030182838439941406
17,diversidade-Bias-L1,1.0,0.9993569958847737,0.9996783945455715,0.0272676944732666
18,diversidade-Bias-L1,1.0,0.9997427983539094,0.9998713826366559,0.026971101760864258
19,diversidade-Bias-L1,1.0,0.9992283950617284,0.9996140486298727,0.025556325912475586
20,diversidade-Bias-L1,1.0,0.9990997942386831,0.9995496944355099,0.024694442749023438
21,diversidade-Bias-L1,1.0,0.9992283950617284,0.9996140486298727,0.023215293884277344
22,diversidade-Bias-L1,1.0,0.9993569958847737,0.9996783945455715,0.0243072509765625
23,diversidade-Bias-L1,1.0,0.9988425925925926,0.9994209612044007,0.024856090545654297
24,diversidade-Bias-L1,1.0,0.9992283950617284,0.9996140486298727,0.022257089614868164
25,diversidade-Bias-L1,1.0,0.9994855967078189,0.9997427321842037,0.021527528762817383
26,diversidade-Bias-L1,1.0,0.9990997942386831,0.9995496944355099,0.02344536781311035
27,diversidade-Bias-L1,1.0,0.9990997942386831,0.9995496944355099,0.021680593490600586
28,diversidade-Bias-L1,1.0,0.9993569958847737,0.9996783945455715,0.02519679069519043
29,diversidade-Bias-L1,1.0,0.9993569958847737,0.9996783945455715,0.025193214416503906
30,diversidade-Bias-L1,1.0,0.9996141975308642,0.9998070615473663,0.024850130081176758
