Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Tempo Processa Sensor
1,diversidade-Drift-L2,0.9998553450021698,1.0,0.9999276672694395,0.022572040557861328
2,diversidade-Drift-L2,1.0,0.9995659722222222,0.9997829390058606,0.02327561378479004
3,diversidade-Drift-L2,0.9998552193426958,0.9991319444444444,0.9994934510456618,0.021888017654418945
4,diversidade-Drift-L2,1.0,0.9995659722222222,0.9997829390058606,0.022629737854003906
5,diversidade-Drift-L2,1.0,0.9985532407407407,0.9992760967134791,0.022066116333007812
6,diversidade-Drift-L2,0.9997105225068751,0.9992766203703703,0.9994935243470081,0.027645587921142578
7,diversidade-Drift-L2,1.0,0.9997106481481481,0.9998553031399219,0.022609233856201172
8,diversidade-Drift-L2,1.0,0.9986979166666666,0.9993485342019545,0.0228731632232666
9,diversidade-Drift-L2,0.9998552193426958,0.9991319444444444,0.9994934510456618,0.02325916290283203
10,diversidade-Drift-L2,1.0,0.9991319444444444,0.9995657837603126,0.02268695831298828
11,diversidade-Drift-L2,0.9998551983782218,0.9989872685185185,0.9994210450137502,0.02197408676147461
12,diversidade-Drift-L2,1.0,0.9992766203703703,0.9996381793183299,0.021770715713500977
13,diversidade-Drift-L2,1.0,0.9991319444444444,0.9995657837603126,0.02182769775390625
14,diversidade-Drift-L2,1.0,0.9992766203703703,0.9996381793183299,0.021799087524414062
15,diversidade-Drift-L2,0.9998551354483558,0.9985532407407407,0.9992037640246109,0.021630287170410156
16,diversidade-Drift-L2,0.9998552612534376,0.9994212962962963,0.9996382316764344,0.021472930908203125
17,diversidade-Drift-L2,0.9998551983782218,0.9989872685185185,0.9994210450137502,0.021868467330932617
18,diversidade-Drift-L2,1.0,0.9991319444444444,0.9995657837603126,0.021454572677612305
19,diversidade-Drift-L2,0.9998551983782218,0.9989872685185185,0.9994210450137502,0.021650314331054688
20,diversidade-Drift-L2,0.9998551564310545,0.9986979166666666,0.9992762015055009,0.02193284034729004
21,diversidade-Drift-L2,1.0,0.9994212962962963,0.9997105643994211,0.021656513214111328
22,diversidade-Drift-L2,0.9998551564310545,0.9986979166666666,0.9992762015055009,0.0214083194732666
23,diversidade-Drift-L2,0.9998551774076756,0.9988425925925926,0.9993486285011218,0.021858692169189453
24,diversidade-Drift-L2,0.9998552403011002,0.9992766203703703,0.9995658465991317,0.02154684066772461
25,diversidade-Drift-L2,0.9997102708967116,0.9984085648148148,0.9990589938472674,0.02443218231201172
26,diversidade-Drift-L2,1.0,0.9989872685185185,0.9994933777230947,0.024651527404785156
27,diversidade-Drift-L2,0.9998551774076756,0.9988425925925926,0.9993486285011218,0.024715662002563477
28,diversidade-Drift-L2,0.9998551983782218,0.9989872685185185,0.9994210450137502,0.023931026458740234
29,diversidade-Drift-L2,1.0,0.9989872685185185,0.9994933777230947,0.02338886260986328
30,diversidade-Drift-L2,1.0,0.9995659722222222,0.9997829390058606,0.022402524948120117
