Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Tempo Processa Sensor
1,diversidade-LossAccuracy-L2,0.8,1.0,0.888888888888889,0.021419525146484375
2,diversidade-LossAccuracy-L2,0.8072021512919444,0.9988425925925926,0.8928548334949886,0.02158379554748535
3,diversidade-LossAccuracy-L2,0.8008115942028986,0.9992766203703703,0.8891034305206925,0.021485090255737305
4,diversidade-LossAccuracy-L2,0.8009967547519703,0.9998553240740741,0.8894465894465895,0.021524906158447266
5,diversidade-LossAccuracy-L2,0.801276102088167,0.9992766203703703,0.8893896471800155,0.02129840850830078
6,diversidade-LossAccuracy-L2,0.8012753623188406,0.9998553240740741,0.8896183304370213,0.021582603454589844
7,diversidade-LossAccuracy-L2,0.8014381813964278,0.9997106481481481,0.8896613879232651,0.021504878997802734
8,diversidade-LossAccuracy-L2,0.801346019958227,0.9991319444444444,0.889375402446877,0.023233413696289062
9,diversidade-LossAccuracy-L2,0.8016241299303944,0.9997106481481481,0.8897759464331703,0.03004765510559082
10,diversidade-LossAccuracy-L2,0.8007884972170687,0.9991319444444444,0.8890319258496395,0.03053879737854004
11,diversidade-LossAccuracy-L2,0.801067161582183,0.9991319444444444,0.8892036309792054,0.026766061782836914
12,diversidade-LossAccuracy-L2,0.8014151490546341,0.9995659722222222,0.889589905362776,0.028106212615966797
13,diversidade-LossAccuracy-L2,0.8061689449702067,0.9982638888888888,0.8919914679076982,0.027777671813964844
14,diversidade-LossAccuracy-L2,0.8011831574063334,0.9992766203703703,0.8893323891070624,0.027149438858032227
15,diversidade-LossAccuracy-L2,0.8073458884080009,0.9985532407407407,0.8928271133820581,0.02628469467163086
16,diversidade-LossAccuracy-L2,0.8006721520454282,0.9995659722222222,0.8891319734894794,0.02365565299987793
17,diversidade-LossAccuracy-L2,0.8015780923648178,0.9994212962962963,0.8896329684481649,0.024382829666137695
18,diversidade-LossAccuracy-L2,0.8087201125175809,0.9982638888888888,0.8935508935508935,0.022447824478149414
19,diversidade-LossAccuracy-L2,0.800881363794503,0.9991319444444444,0.8890891535243,0.02339959144592285
20,diversidade-LossAccuracy-L2,0.8012062166550684,0.9994212962962963,0.8894038882451397,0.025933504104614258
21,diversidade-LossAccuracy-L2,0.8015541637671074,0.9998553240740741,0.8897901377623277,0.024983644485473633
22,diversidade-LossAccuracy-L2,0.8007187572455368,0.9992766203703703,0.8890462092933454,0.023250102996826172
23,diversidade-LossAccuracy-L2,0.8008582695430294,0.9989872685185185,0.8890176387279516,0.02242755889892578
24,diversidade-LossAccuracy-L2,0.8013452394758205,0.9997106481481481,0.8896041197296427,0.023973941802978516
25,diversidade-LossAccuracy-L2,0.8009742519137091,0.9991319444444444,0.8891463885670143,0.024738311767578125
26,diversidade-LossAccuracy-L2,0.8072063640617688,0.9982638888888888,0.8926261319534282,0.030292510986328125
27,diversidade-LossAccuracy-L2,0.8010204081632653,0.9994212962962963,0.8892893923789906,0.022868871688842773
28,diversidade-LossAccuracy-L2,0.800904452690167,0.9992766203703703,0.8891606591143151,0.023151397705078125
29,diversidade-LossAccuracy-L2,0.8067344791301297,0.9982638888888888,0.8923375363724538,0.02315235137939453
30,diversidade-LossAccuracy-L2,0.8062368605466013,0.9986979166666666,0.8922062815044591,0.02321028709411621
