Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Tempo Processa Sensor
1,isolation-Drift-L2,0.8887745917448888,1.0,0.9411123970317925,0.08160591125488281
2,isolation-Drift-L2,0.8888888888888888,1.0,0.9411764705882353,0.08199000358581543
3,isolation-Drift-L2,0.8887745917448888,1.0,0.9411123970317925,0.08217644691467285
4,isolation-Drift-L2,0.8887745917448888,1.0,0.9411123970317925,0.08207154273986816
5,isolation-Drift-L2,0.8884318766066838,1.0,0.9409202286958889,0.08128142356872559
6,isolation-Drift-L2,0.8888888888888888,1.0,0.9411764705882353,0.08104634284973145
7,isolation-Drift-L2,0.8888888888888888,1.0,0.9411764705882353,0.08130788803100586
8,isolation-Drift-L2,0.8884318766066838,1.0,0.9409202286958889,0.08067822456359863
9,isolation-Drift-L2,0.8888888888888888,1.0,0.9411764705882353,0.08136463165283203
10,isolation-Drift-L2,0.888317696954119,1.0,0.9408561900224596,0.08272051811218262
11,isolation-Drift-L2,0.8888888888888888,1.0,0.9411764705882353,0.08071565628051758
12,isolation-Drift-L2,0.8887745917448888,1.0,0.9411123970317925,0.08099126815795898
13,isolation-Drift-L2,0.8888888888888888,1.0,0.9411764705882353,0.0820016860961914
14,isolation-Drift-L2,0.8886603239907431,1.0,0.9410483321987747,0.08214592933654785
15,isolation-Drift-L2,0.8888888888888888,1.0,0.9411764705882353,0.08166193962097168
16,isolation-Drift-L2,0.8888888888888888,1.0,0.9411764705882353,0.08098912239074707
17,isolation-Drift-L2,0.8888888888888888,1.0,0.9411764705882353,0.08141183853149414
18,isolation-Drift-L2,0.8888888888888888,1.0,0.9411764705882353,0.08140206336975098
19,isolation-Drift-L2,0.8887745917448888,1.0,0.9411123970317925,0.08121681213378906
20,isolation-Drift-L2,0.8884318766066838,1.0,0.9409202286958889,0.08075594902038574
21,isolation-Drift-L2,0.8888888888888888,1.0,0.9411764705882353,0.08100724220275879
22,isolation-Drift-L2,0.8888888888888888,1.0,0.9411764705882353,0.08111095428466797
23,isolation-Drift-L2,0.8888888888888888,1.0,0.9411764705882353,0.08185458183288574
24,isolation-Drift-L2,0.8887745917448888,1.0,0.9411123970317925,0.0811159610748291
25,isolation-Drift-L2,0.8887745917448888,1.0,0.9411123970317925,0.08091950416564941
26,isolation-Drift-L2,0.8888888888888888,1.0,0.9411764705882353,0.08083939552307129
27,isolation-Drift-L2,0.8888888888888888,1.0,0.9411764705882353,0.08160710334777832
28,isolation-Drift-L2,0.8886603239907431,1.0,0.9410483321987747,0.08098936080932617
29,isolation-Drift-L2,0.8886603239907431,1.0,0.9410483321987747,0.08119511604309082
30,isolation-Drift-L2,0.8888888888888888,1.0,0.9411764705882353,0.08093976974487305
