Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Tempo Processa Sensor
1,isolation-Noise-L2,0.8875192604006163,1.0,0.9404081632653062,0.0812232494354248
2,isolation-Noise-L2,0.8851325393776411,1.0,0.9390666394945995,0.08172369003295898
3,isolation-Noise-L2,0.8867222578576011,1.0,0.9399605629972122,0.08054614067077637
4,isolation-Noise-L2,0.8875192604006163,1.0,0.9404081632653062,0.08116769790649414
5,isolation-Noise-L2,0.8832098134423716,1.0,0.937983444157959,0.08123397827148438
6,isolation-Noise-L2,0.8835485108014828,1.0,0.9381744146589752,0.0811300277709961
7,isolation-Noise-L2,0.8879753340184995,1.0,0.9406641262928688,0.08110165596008301
8,isolation-Noise-L2,0.8833226837060703,1.0,0.938047092352582,0.0810544490814209
9,isolation-Noise-L2,0.8884318766066838,1.0,0.9409202286958889,0.08117485046386719
10,isolation-Noise-L2,0.8852459016393442,1.0,0.9391304347826086,0.08091378211975098
11,isolation-Noise-L2,0.8846793805196468,1.0,0.9388115449915111,0.08205962181091309
12,isolation-Noise-L2,0.8837744533947065,1.0,0.9383017715332925,0.08157944679260254
13,isolation-Noise-L2,0.8840005115743701,1.0,0.9384291629896138,0.08092117309570312
14,isolation-Noise-L2,0.8862674701884857,1.0,0.9397049826660323,0.08096647262573242
15,isolation-Noise-L2,0.8849059019331712,1.0,0.938939074916797,0.08101439476013184
16,isolation-Noise-L2,0.8833226837060703,1.0,0.938047092352582,0.08144307136535645
17,isolation-Noise-L2,0.8871775125144398,1.0,0.9402162823913488,0.08094525337219238
18,isolation-Noise-L2,0.8859266854652653,1.0,0.9395133886094875,0.08057069778442383
19,isolation-Noise-L2,0.8864948056944979,1.0,0.9398327554558433,0.08106279373168945
20,isolation-Noise-L2,0.8840005115743701,1.0,0.9384291629896138,0.08075118064880371
21,isolation-Noise-L2,0.884113584036838,1.0,0.9384928716904276,0.0807187557220459
22,isolation-Noise-L2,0.8863811233649653,1.0,0.9397688647178789,0.08161687850952148
23,isolation-Noise-L2,0.8842266854291928,1.0,0.9385565890420259,0.08104085922241211
24,isolation-Noise-L2,0.8864948056944979,1.0,0.9398327554558433,0.08088898658752441
25,isolation-Noise-L2,0.8876332348786439,1.0,0.9404721409619703,0.08147144317626953
26,isolation-Noise-L2,0.8871775125144398,1.0,0.9402162823913488,0.08116459846496582
27,isolation-Noise-L2,0.8863811233649653,1.0,0.9397688647178789,0.0808875560760498
28,isolation-Noise-L2,0.8856996412096361,1.0,0.939385702636586,0.08093953132629395
29,isolation-Noise-L2,0.8878612716763006,1.0,0.9406001224739743,0.08100461959838867
30,isolation-Noise-L2,0.8868360277136259,1.0,0.9400244798041616,0.08107519149780273
