Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Tempo Processa Sensor
1,svm-Drift-L2,0.8855089205493518,0.9981192129629629,0.9384479357954159,0.7017078399658203
2,svm-Drift-L2,0.9085759451982611,0.9978298611111112,0.9511135627111632,0.7026407718658447
3,svm-Drift-L2,0.9122343935594562,1.0,0.9541031127061909,0.6873660087585449
4,svm-Drift-L2,0.8755829697607943,0.8420138888888888,0.8584703886717308,0.6978323459625244
5,svm-Drift-L2,0.7471423623138206,0.3120659722222222,0.4402490050005103,0.6749904155731201
6,svm-Drift-L2,0.9045555993173165,0.9968171296296297,0.9484479317227614,0.6626102924346924
7,svm-Drift-L2,0.8824282786885246,0.9968171296296297,0.9361413043478262,0.6745963096618652
8,svm-Drift-L2,0.8835485108014828,1.0,0.9381744146589752,0.6734867095947266
9,svm-Drift-L2,0.7428861788617886,0.3172743055555556,0.444647201946472,0.657524824142456
10,svm-Drift-L2,0.8993866631867414,0.9971064814814815,0.945728987993139,0.6811051368713379
11,svm-Drift-L2,0.9016864949666623,0.9978298611111112,0.9473250463567063,0.6621122360229492
12,svm-Drift-L2,0.8792895845875979,0.8451967592592593,0.8619061670109177,0.6799321174621582
13,svm-Drift-L2,0.8638860026718124,0.8420138888888888,0.8528097296505238,0.6982009410858154
14,svm-Drift-L2,0.889864428663654,0.9971064814814815,0.9404380159650679,0.6651322841644287
15,svm-Drift-L2,0.8856812933025404,0.9986979166666666,0.9388004895960833,0.6655187606811523
16,svm-Drift-L2,0.9069767441860465,0.9986979166666666,0.9506300351167113,0.6657726764678955
17,svm-Drift-L2,0.8713708659429437,0.9986979166666666,0.9306997438317379,0.6825649738311768
18,svm-Drift-L2,0.8697986577181208,0.84375,0.8565763384005287,0.6962459087371826
19,svm-Drift-L2,0.8680835010060363,0.9986979166666666,0.928821313240043,0.665144681930542
20,svm-Drift-L2,0.8692859841329807,0.9986979166666666,0.9295091900626136,0.6617481708526611
21,svm-Drift-L2,0.8714069591527988,1.0,0.931285367825384,0.6674678325653076
22,svm-Drift-L2,0.8728374794797323,1.0,0.9321016789157844,0.6757221221923828
23,svm-Drift-L2,0.8759365079365079,0.9979745370370371,0.9329816730912288,0.6613419055938721
24,svm-Drift-L2,0.5830296720458095,0.16203703703703703,0.2535944752632175,0.6675894260406494
25,svm-Drift-L2,0.535609756097561,0.15885416666666666,0.24503459049319348,0.6757147312164307
26,svm-Drift-L2,0.9094623089088034,0.9984085648148148,0.9518620689655172,0.6642060279846191
27,svm-Drift-L2,0.902014652014652,0.9975405092592593,0.9473756526518274,0.6625311374664307
28,svm-Drift-L2,0.9153754469606674,1.0,0.955818294959552,0.6773562431335449
29,svm-Drift-L2,0.8853552192869967,0.9988425925925926,0.9386811692726037,0.6589202880859375
30,svm-Drift-L2,0.88327147062588,0.9984085648148148,0.9373174872665535,0.6561698913574219
