Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Tempo Processa Sensor
1,svm-Freezing-L2,0.4993045897079277,0.9972222222222222,0.6654309545875811,0.33643460273742676
2,svm-Freezing-L2,0.4995366079703429,0.9981481481481481,0.6658431130327362,0.38715505599975586
3,svm-Freezing-L2,0.49942062572421786,0.9976851851851852,0.6656370656370657,0.3724980354309082
4,svm-Freezing-L2,0.4991304347826087,0.9965277777777778,0.6651216685979142,0.36841297149658203
5,svm-Freezing-L2,0.4995366079703429,0.9981481481481481,0.6658431130327362,0.34418296813964844
6,svm-Freezing-L2,0.4990142641772005,0.9960648148148148,0.6649153982847872,0.3474698066711426
7,svm-Freezing-L2,0.49918849988407143,0.9967592592592592,0.6652247798547815,0.3804960250854492
8,svm-Freezing-L2,0.4991304347826087,0.9965277777777778,0.6651216685979142,0.37279510498046875
9,svm-Freezing-L2,0.4993045897079277,0.9972222222222222,0.6654309545875811,0.40579891204833984
10,svm-Freezing-L2,0.49942062572421786,0.9976851851851852,0.6656370656370657,0.3422555923461914
11,svm-Freezing-L2,0.49936261443968016,0.9974537037037037,0.6655340180708935,0.37555813789367676
12,svm-Freezing-L2,0.4995366079703429,0.9981481481481481,0.6658431130327362,0.34952640533447266
13,svm-Freezing-L2,0.4992465515242842,0.9969907407407408,0.6653278751834403,0.3391857147216797
14,svm-Freezing-L2,0.4992465515242842,0.9969907407407408,0.6653278751834403,0.3257448673248291
15,svm-Freezing-L2,0.49942062572421786,0.9976851851851852,0.6656370656370657,0.3244152069091797
16,svm-Freezing-L2,0.49918849988407143,0.9967592592592592,0.6652247798547815,0.3158423900604248
17,svm-Freezing-L2,0.4994786235662148,0.9979166666666667,0.6657400972897846,0.3260025978088379
18,svm-Freezing-L2,0.49942062572421786,0.9976851851851852,0.6656370656370657,0.3222792148590088
19,svm-Freezing-L2,0.4992465515242842,0.9969907407407408,0.6653278751834403,0.3143000602722168
20,svm-Freezing-L2,0.4991304347826087,0.9965277777777778,0.6651216685979142,0.32776927947998047
21,svm-Freezing-L2,0.4995366079703429,0.9981481481481481,0.6658431130327362,0.31050944328308105
22,svm-Freezing-L2,0.49942062572421786,0.9976851851851852,0.6656370656370657,0.31797337532043457
23,svm-Freezing-L2,0.49918849988407143,0.9967592592592592,0.6652247798547815,0.3164248466491699
24,svm-Freezing-L2,0.4992465515242842,0.9969907407407408,0.6653278751834403,0.3628559112548828
25,svm-Freezing-L2,0.4994786235662148,0.9979166666666667,0.6657400972897846,0.34593868255615234
26,svm-Freezing-L2,0.49889803967057184,0.9956018518518519,0.664709064214512,0.32668256759643555
27,svm-Freezing-L2,0.4994786235662148,0.9979166666666667,0.6657400972897846,0.3227856159210205
28,svm-Freezing-L2,0.4995366079703429,0.9981481481481481,0.6658431130327362,0.3187098503112793
29,svm-Freezing-L2,0.4996525364836692,0.9986111111111111,0.6660490968040759,0.3259246349334717
30,svm-Freezing-L2,0.49959457894127185,0.9983796296296297,0.6659461128696055,0.3205678462982178
