Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Tempo Processa Sensor
1,svm-Noise-L2,0.014025245441795231,0.0014467592592592592,0.002622950819672131,0.49695491790771484
2,svm-Noise-L2,0.8873619316722322,0.9995659722222222,0.9401279085589876,0.48032283782958984
3,svm-Noise-L2,0.4439288476411446,0.08304398148148148,0.13991468616697134,0.4412052631378174
4,svm-Noise-L2,0.8877280958350745,0.9220196759259259,0.9045490029096587,0.42597103118896484
5,svm-Noise-L2,0.4337248322147651,0.0747974537037037,0.12759131293188547,0.45595574378967285
6,svm-Noise-L2,0.4651741293532338,0.08116319444444445,0.1382113821138211,0.48810601234436035
7,svm-Noise-L2,0.38799414348462663,0.07667824074074074,0.12805025368446485,0.4478147029876709
8,svm-Noise-L2,0.90271654103257,0.9182581018518519,0.9104209997848384,0.4388160705566406
9,svm-Noise-L2,0.44921875,0.08318865740740741,0.140380859375,0.4366014003753662
10,svm-Noise-L2,0.7768903088391906,0.42216435185185186,0.5470566179227596,0.46172022819519043
11,svm-Noise-L2,0.3445692883895131,0.0798611111111111,0.12966878083157152,0.5029261112213135
12,svm-Noise-L2,0.41363636363636364,0.07899305555555555,0.1326530612244898,0.5231719017028809
13,svm-Noise-L2,0.8020078081427775,0.41608796296296297,0.5479138883596876,0.4346961975097656
14,svm-Noise-L2,0.7993887190886357,0.4162326388888889,0.547426505565598,0.4420928955078125
15,svm-Noise-L2,0.8547297297297297,0.6588541666666666,0.7441176470588236,0.4556124210357666
16,svm-Noise-L2,0.9136014818735115,0.9989872685185185,0.954388389771942,0.40839290618896484
17,svm-Noise-L2,0.5865436787845903,0.15639467592592593,0.24694460308395202,0.5259213447570801
18,svm-Noise-L2,0.3808237677245105,0.08159722222222222,0.13439771237936377,0.4541165828704834
19,svm-Noise-L2,0.8516153268219384,0.6559606481481481,0.7410918600849951,0.5205576419830322
20,svm-Noise-L2,0.5424335378323109,0.1535011574074074,0.2392873252142535,0.43100404739379883
21,svm-Noise-L2,0.8991346290253937,0.9169560185185185,0.9079578826731608,0.4104335308074951
22,svm-Noise-L2,0.009879253567508232,0.0013020833333333333,0.0023009075802121947,0.4964587688446045
23,svm-Noise-L2,0.8513918629550321,0.5752314814814815,0.6865826282161975,0.4852914810180664
24,svm-Noise-L2,0.892049127343245,0.9982638888888888,0.94217245852393,0.42978739738464355
25,svm-Noise-L2,0.9046667618096189,0.9171006944444444,0.9108412960701199,0.43747758865356445
26,svm-Noise-L2,0.8869498267676119,1.0,0.9400884053043183,0.4283633232116699
27,svm-Noise-L2,0.004746835443037975,0.00043402777777777775,0.0007953340402969246,0.44686293601989746
28,svm-Noise-L2,0.9067507223535592,0.9988425925925926,0.9505713892330991,0.48134541511535645
29,svm-Noise-L2,0.9000521240552515,0.9992766203703703,0.9470725353078294,0.45006513595581055
30,svm-Noise-L2,0.8904498002319886,0.9995659722222222,0.9418580873832731,0.3985605239868164
