Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Accuracy,Tempo Processa Sensor
1,isolation-Freezing-L1,0.4546831608179753,0.8337962962962963,0.5884659369384088,0.41689814814814813,0.0649256706237793
2,isolation-Freezing-L1,0.459053343350864,0.8486111111111111,0.5958069234519746,0.42430555555555555,0.06361842155456543
3,isolation-Freezing-L1,0.458578769269332,0.8469907407407408,0.59500772420522,0.4234953703703704,0.06267237663269043
4,isolation-Freezing-L1,0.45715003769791407,0.8421296296296297,0.5926046587392083,0.42106481481481484,0.06543707847595215
5,isolation-Freezing-L1,0.4576952046196334,0.8439814814814814,0.5935210809050953,0.4219907407407407,0.0630788803100586
6,isolation-Freezing-L1,0.4574908953911842,0.843287037037037,0.5931775624847351,0.4216435185185185,0.06381034851074219
7,isolation-Freezing-L1,0.45261023821591484,0.8268518518518518,0.584998362266623,0.4134259259259259,0.06487727165222168
8,isolation-Freezing-L1,0.4537868251359211,0.830787037037037,0.5869654100907679,0.4153935185185185,0.06460094451904297
9,isolation-Freezing-L1,0.45571374574776363,0.8372685185185185,0.5901933588969568,0.41863425925925923,0.06306242942810059
10,isolation-Freezing-L1,0.45571374574776363,0.8372685185185185,0.5901933588969568,0.41863425925925923,0.06374645233154297
11,isolation-Freezing-L1,0.4546143163741952,0.8335648148148148,0.5883506249489421,0.4167824074074074,0.06365966796875
12,isolation-Freezing-L1,0.45646703573225966,0.8398148148148148,0.5914574502771437,0.4199074074074074,0.06347823143005371
13,isolation-Freezing-L1,0.45440767870674414,0.8328703703703704,0.5880045759110967,0.4164351851851852,0.06348514556884766
14,isolation-Freezing-L1,0.4574908953911842,0.843287037037037,0.5931775624847351,0.4216435185185185,0.06298518180847168
15,isolation-Freezing-L1,0.4589178356713427,0.8481481481481481,0.5955786736020806,0.42407407407407405,0.06372594833374023
16,isolation-Freezing-L1,0.45646703573225966,0.8398148148148148,0.5914574502771437,0.4199074074074074,0.06451630592346191
17,isolation-Freezing-L1,0.45537065052950076,0.8361111111111111,0.5896180215475024,0.41805555555555557,0.06304574012756348
18,isolation-Freezing-L1,0.4562617998741347,0.8391203703703703,0.591112922951488,0.4195601851851852,0.06254839897155762
19,isolation-Freezing-L1,0.45810336176618166,0.8453703703703703,0.5942076147087537,0.42268518518518516,0.06356406211853027
20,isolation-Freezing-L1,0.45680875141456057,0.8409722222222222,0.5920312881935959,0.4204861111111111,0.06361055374145508
21,isolation-Freezing-L1,0.45742275810097965,0.8430555555555556,0.5930630190522717,0.4215277777777778,0.06246042251586914
22,isolation-Freezing-L1,0.457286432160804,0.8425925925925926,0.5928338762214984,0.4212962962962963,0.06576299667358398
23,isolation-Freezing-L1,0.45680875141456057,0.8409722222222222,0.5920312881935959,0.4204861111111111,0.06531596183776855
24,isolation-Freezing-L1,0.4575590155700653,0.8435185185185186,0.5932920872679909,0.4217592592592593,0.06385278701782227
25,isolation-Freezing-L1,0.45776327350320073,0.844212962962963,0.5936355497680476,0.4221064814814815,0.06360411643981934
26,isolation-Freezing-L1,0.4566721167148786,0.8405092592592592,0.5918018091435091,0.4202546296296296,0.06499576568603516
27,isolation-Freezing-L1,0.4563302290460609,0.8393518518518519,0.591227784118702,0.41967592592592595,0.06307721138000488
28,isolation-Freezing-L1,0.4583751253761284,0.8462962962962963,0.5946649316851008,0.42314814814814816,0.06399178504943848
29,isolation-Freezing-L1,0.4540629344117275,0.8317129629629629,0.5874274503392463,0.41585648148148147,0.06448960304260254
30,isolation-Freezing-L1,0.4575590155700653,0.8435185185185186,0.5932920872679909,0.4217592592592593,0.0628042221069336
1,isolation-Freezing-L1,0.0,0.0,0,0.41689814814814813,0.06451106071472168
2,isolation-Freezing-L1,0.0,0.0,0,0.42430555555555555,0.07287073135375977
3,isolation-Freezing-L1,0.0,0.0,0,0.4234953703703704,0.06608390808105469
4,isolation-Freezing-L1,0.0,0.0,0,0.42106481481481484,0.06635022163391113
5,isolation-Freezing-L1,0.0,0.0,0,0.4219907407407407,0.06498146057128906
6,isolation-Freezing-L1,0.0,0.0,0,0.4216435185185185,0.06708979606628418
7,isolation-Freezing-L1,0.0,0.0,0,0.4134259259259259,0.06590414047241211
8,isolation-Freezing-L1,0.0,0.0,0,0.4153935185185185,0.0648491382598877
9,isolation-Freezing-L1,0.0,0.0,0,0.41863425925925923,0.0635383129119873
10,isolation-Freezing-L1,0.0,0.0,0,0.41863425925925923,0.06376123428344727
11,isolation-Freezing-L1,0.0,0.0,0,0.4167824074074074,0.06731796264648438
12,isolation-Freezing-L1,0.0,0.0,0,0.4199074074074074,0.06895112991333008
13,isolation-Freezing-L1,0.0,0.0,0,0.4164351851851852,0.0643773078918457
