Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Accuracy,Tempo Processa Sensor
1,isolation-Noise-L2,1.0,0.4930555555555556,0.6604651162790698,0.8986111111111111,0.08227133750915527
2,isolation-Noise-L2,1.0,0.4809027777777778,0.64947245017585,0.8961805555555555,0.08069825172424316
3,isolation-Noise-L2,1.0,0.48900462962962965,0.6568208317139526,0.897800925925926,0.08008527755737305
4,isolation-Noise-L2,1.0,0.4930555555555556,0.6604651162790698,0.8986111111111111,0.08172225952148438
5,isolation-Noise-L2,1.0,0.4710648148148148,0.6404405979543666,0.8942129629629629,0.0816798210144043
6,isolation-Noise-L2,1.0,0.47280092592592593,0.6420432220039293,0.8945601851851852,0.0803675651550293
7,isolation-Noise-L2,1.0,0.49537037037037035,0.6625386996904025,0.899074074074074,0.08208990097045898
8,isolation-Noise-L2,1.0,0.47164351851851855,0.6409752261108926,0.8943287037037037,0.08042478561401367
9,isolation-Noise-L2,1.0,0.4976851851851852,0.6646058732612056,0.899537037037037,0.0802006721496582
10,isolation-Noise-L2,1.0,0.48148148148148145,0.65,0.8962962962962963,0.08237624168395996
11,isolation-Noise-L2,1.0,0.47858796296296297,0.647358121330724,0.8957175925925925,0.08095598220825195
12,isolation-Noise-L2,1.0,0.4739583333333333,0.6431095406360424,0.8947916666666667,0.08005785942077637
13,isolation-Noise-L2,1.0,0.47511574074074076,0.6441741859552766,0.8950231481481481,0.08223509788513184
14,isolation-Noise-L2,1.0,0.4866898148148148,0.6547294667185675,0.897337962962963,0.08052778244018555
15,isolation-Noise-L2,1.0,0.47974537037037035,0.6484161126319906,0.8959490740740741,0.08231282234191895
16,isolation-Noise-L2,1.0,0.47164351851851855,0.6409752261108926,0.8943287037037037,0.08239436149597168
17,isolation-Noise-L2,1.0,0.4913194444444444,0.6589057043073341,0.8982638888888889,0.08063220977783203
18,isolation-Noise-L2,1.0,0.4849537037037037,0.6531566640685893,0.8969907407407407,0.08039522171020508
19,isolation-Noise-L2,1.0,0.4878472222222222,0.6557759626604434,0.8975694444444444,0.08223271369934082
20,isolation-Noise-L2,1.0,0.47511574074074076,0.6441741859552766,0.8950231481481481,0.08080077171325684
21,isolation-Noise-L2,1.0,0.4756944444444444,0.6447058823529411,0.8951388888888889,0.08016824722290039
22,isolation-Noise-L2,1.0,0.48726851851851855,0.6552529182879377,0.8974537037037037,0.08285379409790039
23,isolation-Noise-L2,1.0,0.47627314814814814,0.6452371618972952,0.8952546296296297,0.08083510398864746
24,isolation-Noise-L2,1.0,0.4878472222222222,0.6557759626604434,0.8975694444444444,0.08028531074523926
25,isolation-Noise-L2,1.0,0.49363425925925924,0.6609841146842309,0.8987268518518519,0.08368563652038574
26,isolation-Noise-L2,1.0,0.4913194444444444,0.6589057043073341,0.8982638888888889,0.0820152759552002
27,isolation-Noise-L2,1.0,0.48726851851851855,0.6552529182879377,0.8974537037037037,0.08058714866638184
28,isolation-Noise-L2,1.0,0.4837962962962963,0.6521060842433697,0.8967592592592593,0.08259177207946777
29,isolation-Noise-L2,1.0,0.4947916666666667,0.662020905923345,0.8989583333333333,0.08053112030029297
30,isolation-Noise-L2,1.0,0.4895833333333333,0.6573426573426574,0.8979166666666667,0.08010673522949219
1,isolation-Noise-L2,0.8875192604006163,1.0,0.9404081632653062,0.8986111111111111,0.09014010429382324
