Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Accuracy,Tempo Processa Sensor
1,svm-LossAccuracy-L2,0.8061200654052791,0.9985532407407407,0.8920770324415148,0.8067129629629629,0.3271675109863281
2,svm-LossAccuracy-L2,0.8460096411355115,0.9140625,0.8787204450625871,0.7981481481481482,0.3813915252685547
3,svm-LossAccuracy-L2,0.8053902695134757,0.9986979166666666,0.8916876574307304,0.8059027777777777,0.30381321907043457
4,svm-LossAccuracy-L2,0.8064742316232324,0.9984085648148148,0.8922360850733725,0.8070601851851852,0.3445088863372803
5,svm-LossAccuracy-L2,0.8071303331385155,0.9989872685185185,0.8928686881748238,0.8082175925925926,0.3353304862976074
6,svm-LossAccuracy-L2,0.8054420179843513,0.9978298611111112,0.8913731825525041,0.8054398148148149,0.3367593288421631
7,svm-LossAccuracy-L2,0.8070852332514907,0.9986979166666666,0.892725509214355,0.8079861111111111,0.30756092071533203
8,svm-LossAccuracy-L2,0.8067118802619271,0.9981192129629629,0.8922659079151577,0.8071759259259259,0.3057835102081299
9,svm-LossAccuracy-L2,0.8054842473745625,0.9986979166666666,0.89174525255135,0.8060185185185185,0.2989528179168701
10,svm-LossAccuracy-L2,0.805319024845445,0.9988425925925926,0.8917016467549241,0.8059027777777777,0.3227407932281494
11,svm-LossAccuracy-L2,0.8078183520599251,0.9985532407407407,0.8931159420289855,0.8087962962962963,0.3983643054962158
12,svm-LossAccuracy-L2,0.8070585485567372,0.9991319444444444,0.8928825392720926,0.8082175925925926,0.4302687644958496
13,svm-LossAccuracy-L2,0.7955505841411882,0.9260706018518519,0.8558630832999065,0.750462962962963,0.3214118480682373
14,svm-LossAccuracy-L2,0.8056042031523643,0.9982638888888888,0.8916456677650708,0.8059027777777777,0.3168010711669922
15,svm-LossAccuracy-L2,0.8421402018056293,0.9176793981481481,0.8782885627250069,0.7965277777777777,0.3225409984588623
16,svm-LossAccuracy-L2,0.8072063640617688,0.9982638888888888,0.8926261319534282,0.8078703703703703,0.324190616607666
17,svm-LossAccuracy-L2,0.8064930515006423,0.9991319444444444,0.8925363489499193,0.8075231481481482,0.3142387866973877
18,svm-LossAccuracy-L2,0.848314606741573,0.9175347222222222,0.8815679733110926,0.8027777777777778,0.4066436290740967
19,svm-LossAccuracy-L2,0.8072740030405801,0.9986979166666666,0.8928409752311971,0.8082175925925926,0.33388233184814453
20,svm-LossAccuracy-L2,0.8063310360939142,0.9986979166666666,0.8922639436437666,0.8070601851851852,0.3271749019622803
21,svm-LossAccuracy-L2,0.8065646536619554,0.9989872685185185,0.8925224584760552,0.8075231481481482,0.30308961868286133
22,svm-LossAccuracy-L2,0.8062368605466013,0.9986979166666666,0.8922062815044591,0.8069444444444445,0.31359004974365234
23,svm-LossAccuracy-L2,0.8058864751226349,0.9982638888888888,0.8918185343156262,0.80625,0.3083479404449463
24,svm-LossAccuracy-L2,0.8051341890315052,0.9982638888888888,0.8913577057227747,0.805324074074074,0.3474550247192383
25,svm-LossAccuracy-L2,0.8059771188419332,0.9988425925925926,0.8921049231166818,0.8067129629629629,0.33885931968688965
26,svm-LossAccuracy-L2,0.7925208100385142,0.9228877314814815,0.852750484593276,0.7450231481481482,0.38792991638183594
27,svm-LossAccuracy-L2,0.8063762699988322,0.9989872685185185,0.8924071082390953,0.8072916666666666,0.31052589416503906
28,svm-LossAccuracy-L2,0.8066362892861315,0.9988425925925926,0.8925085644108331,0.8075231481481482,0.31961917877197266
29,svm-LossAccuracy-L2,0.791852955787382,0.9224537037037037,0.8521785618818498,0.7439814814814815,0.31952714920043945
30,svm-LossAccuracy-L2,0.7942857142857143,0.9250578703703703,0.8546985697099317,0.7483796296296297,0.32848381996154785
1,svm-LossAccuracy-L2,0.8717948717948718,0.03935185185185185,0.0753045404208195,0.8067129629629629,0.3452789783477783
2,svm-LossAccuracy-L2,0.4931740614334471,0.33449074074074076,0.3986206896551724,0.7981481481481482,0.38472604751586914
3,svm-LossAccuracy-L2,0.8695652173913043,0.034722222222222224,0.0667779632721202,0.8059027777777777,0.38840746879577637
4,svm-LossAccuracy-L2,0.8674698795180723,0.041666666666666664,0.07951408061844285,0.8070601851851852,0.4102308750152588
5,svm-LossAccuracy-L2,0.9176470588235294,0.04513888888888889,0.08604522890237176,0.8082175925925926,0.3814828395843506
6,svm-LossAccuracy-L2,0.8051948051948052,0.03587962962962963,0.06869806094182826,0.8054398148148149,0.40137767791748047
7,svm-LossAccuracy-L2,0.896551724137931,0.04513888888888889,0.0859504132231405,0.8079861111111111,0.3991050720214844
8,svm-LossAccuracy-L2,0.8522727272727273,0.043402777777777776,0.08259911894273127,0.8071759259259259,0.38855648040771484
9,svm-LossAccuracy-L2,0.8714285714285714,0.03530092592592592,0.06785317018909899,0.8060185185185185,0.37433338165283203
10,svm-LossAccuracy-L2,0.8805970149253731,0.03414351851851852,0.06573816155988858,0.8059027777777777,0.3898320198059082
11,svm-LossAccuracy-L2,0.8958333333333334,0.04976851851851852,0.09429824561403509,0.8087962962962963,0.3909890651702881
12,svm-LossAccuracy-L2,0.927710843373494,0.04456018518518518,0.08503589177250137,0.8082175925925926,0.3842921257019043
13,svm-LossAccuracy-L2,0.13973063973063973,0.048032407407407406,0.0714900947459087,0.750462962962963,0.40058064460754395
14,svm-LossAccuracy-L2,0.84,0.036458333333333336,0.06988352745424292,0.8059027777777777,0.3761177062988281
15,svm-LossAccuracy-L2,0.48646209386281586,0.3119212962962963,0.38011283497884335,0.7965277777777777,0.39705634117126465
16,svm-LossAccuracy-L2,0.8695652173913043,0.046296296296296294,0.08791208791208792,0.8078703703703703,0.35656118392944336
17,svm-LossAccuracy-L2,0.922077922077922,0.041087962962962965,0.07867036011080332,0.8075231481481482,0.33516573905944824
18,svm-LossAccuracy-L2,0.5103092783505154,0.34375,0.4107883817427386,0.8027777777777778,0.3589341640472412
19,svm-LossAccuracy-L2,0.898876404494382,0.046296296296296294,0.08805723720418272,0.8082175925925926,0.3701491355895996
20,svm-LossAccuracy-L2,0.8860759493670886,0.04050925925925926,0.0774764803541782,0.8070601851851852,0.3530406951904297
21,svm-LossAccuracy-L2,0.9113924050632911,0.041666666666666664,0.07969009407858328,0.8075231481481482,0.35322022438049316
22,svm-LossAccuracy-L2,0.8846153846153846,0.03993055555555555,0.07641196013289035,0.8069444444444445,0.38300466537475586
23,svm-LossAccuracy-L2,0.8461538461538461,0.03819444444444445,0.07308970099667775,0.80625,0.37067556381225586
24,svm-LossAccuracy-L2,0.8285714285714286,0.03356481481481482,0.06451612903225808,0.805324074074074,0.32398462295532227
25,svm-LossAccuracy-L2,0.8918918918918919,0.03819444444444445,0.07325194228634851,0.8067129629629629,0.3265514373779297
26,svm-LossAccuracy-L2,0.09813874788494077,0.03356481481481482,0.050021561017680044,0.7450231481481482,0.33538269996643066
27,svm-LossAccuracy-L2,0.9090909090909091,0.04050925925925926,0.07756232686980609,0.8072916666666666,0.33083248138427734
28,svm-LossAccuracy-L2,0.9012345679012346,0.04224537037037037,0.08070757324488669,0.8075231481481482,0.35203075408935547
29,svm-LossAccuracy-L2,0.08843537414965986,0.03009259259259259,0.04490500863557858,0.7439814814814815,0.37032389640808105
30,svm-LossAccuracy-L2,0.12203389830508475,0.041666666666666664,0.06212251941328731,0.7483796296296297,0.3659372329711914
1,svm-LossAccuracy-L2,0.8717948717948718,0.03935185185185185,0.0753045404208195,0.8067129629629629,0.33661317825317383
2,svm-LossAccuracy-L2,0.4931740614334471,0.33449074074074076,0.3986206896551724,0.7981481481481482,0.3628957271575928
3,svm-LossAccuracy-L2,0.8695652173913043,0.034722222222222224,0.0667779632721202,0.8059027777777777,0.32064032554626465
4,svm-LossAccuracy-L2,0.8674698795180723,0.041666666666666664,0.07951408061844285,0.8070601851851852,0.3240182399749756
5,svm-LossAccuracy-L2,0.9176470588235294,0.04513888888888889,0.08604522890237176,0.8082175925925926,0.36047935485839844
6,svm-LossAccuracy-L2,0.8051948051948052,0.03587962962962963,0.06869806094182826,0.8054398148148149,0.35608744621276855
7,svm-LossAccuracy-L2,0.896551724137931,0.04513888888888889,0.0859504132231405,0.8079861111111111,0.35402989387512207
8,svm-LossAccuracy-L2,0.8522727272727273,0.043402777777777776,0.08259911894273127,0.8071759259259259,0.33670973777770996
9,svm-LossAccuracy-L2,0.8714285714285714,0.03530092592592592,0.06785317018909899,0.8060185185185185,0.3382234573364258
10,svm-LossAccuracy-L2,0.8805970149253731,0.03414351851851852,0.06573816155988858,0.8059027777777777,0.3459796905517578
11,svm-LossAccuracy-L2,0.8958333333333334,0.04976851851851852,0.09429824561403509,0.8087962962962963,0.34195423126220703
12,svm-LossAccuracy-L2,0.927710843373494,0.04456018518518518,0.08503589177250137,0.8082175925925926,0.35286974906921387
13,svm-LossAccuracy-L2,0.13973063973063973,0.048032407407407406,0.0714900947459087,0.750462962962963,0.3490610122680664
14,svm-LossAccuracy-L2,0.84,0.036458333333333336,0.06988352745424292,0.8059027777777777,0.33057451248168945
15,svm-LossAccuracy-L2,0.48646209386281586,0.3119212962962963,0.38011283497884335,0.7965277777777777,0.34388041496276855
16,svm-LossAccuracy-L2,0.8695652173913043,0.046296296296296294,0.08791208791208792,0.8078703703703703,0.32695770263671875
17,svm-LossAccuracy-L2,0.922077922077922,0.041087962962962965,0.07867036011080332,0.8075231481481482,0.33086228370666504
18,svm-LossAccuracy-L2,0.5103092783505154,0.34375,0.4107883817427386,0.8027777777777778,0.3555006980895996
19,svm-LossAccuracy-L2,0.898876404494382,0.046296296296296294,0.08805723720418272,0.8082175925925926,0.32866621017456055
20,svm-LossAccuracy-L2,0.8860759493670886,0.04050925925925926,0.0774764803541782,0.8070601851851852,0.33139634132385254
21,svm-LossAccuracy-L2,0.9113924050632911,0.041666666666666664,0.07969009407858328,0.8075231481481482,0.32393908500671387
22,svm-LossAccuracy-L2,0.8846153846153846,0.03993055555555555,0.07641196013289035,0.8069444444444445,0.33191466331481934
23,svm-LossAccuracy-L2,0.8461538461538461,0.03819444444444445,0.07308970099667775,0.80625,0.3311178684234619
24,svm-LossAccuracy-L2,0.8285714285714286,0.03356481481481482,0.06451612903225808,0.805324074074074,0.32993245124816895
25,svm-LossAccuracy-L2,0.8918918918918919,0.03819444444444445,0.07325194228634851,0.8067129629629629,0.3273310661315918
26,svm-LossAccuracy-L2,0.09813874788494077,0.03356481481481482,0.050021561017680044,0.7450231481481482,0.34024691581726074
27,svm-LossAccuracy-L2,0.9090909090909091,0.04050925925925926,0.07756232686980609,0.8072916666666666,0.3322758674621582
28,svm-LossAccuracy-L2,0.9012345679012346,0.04224537037037037,0.08070757324488669,0.8075231481481482,0.33391451835632324
29,svm-LossAccuracy-L2,0.08843537414965986,0.03009259259259259,0.04490500863557858,0.7439814814814815,0.3344912528991699
30,svm-LossAccuracy-L2,0.12203389830508475,0.041666666666666664,0.06212251941328731,0.7483796296296297,0.3400290012359619
