Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Accuracy,Tempo Processa Sensor
1,svm-Noise-L2,0.12930490727892013,0.5931712962962963,0.21232522009321594,0.11979166666666667,0.45932793617248535
2,svm-Noise-L2,0.9964871194379391,0.49247685185185186,0.659178931061193,0.8981481481481481,0.45113301277160645
3,svm-Noise-L2,0.13733496665305567,0.5839120370370371,0.22236914600550964,0.1832175925925926,0.41204190254211426
4,svm-Noise-L2,0.6310746064339493,0.5335648148148148,0.5782376920664785,0.8443287037037037,0.39727306365966797
5,svm-Noise-L2,0.14138023630504834,0.609375,0.22951176983435048,0.18171296296296297,0.42685604095458984
6,svm-Noise-L2,0.145682001614205,0.6267361111111112,0.23641126391617553,0.19027777777777777,0.46050167083740234
7,svm-Noise-L2,0.12262854000549904,0.5162037037037037,0.19817818262608308,0.16458333333333333,0.4174072742462158
8,svm-Noise-L2,0.6488502175264139,0.6041666666666666,0.6257117171111776,0.8554398148148148,0.4113161563873291
9,svm-Noise-L2,0.1389945652173913,0.5920138888888888,0.22513204225352115,0.1849537037037037,0.40583229064941406
10,svm-Noise-L2,0.18222768222768224,0.5150462962962963,0.2692075015124017,0.44074074074074077,0.4329969882965088
11,svm-Noise-L2,0.09633418584825235,0.3923611111111111,0.15468856947296372,0.1423611111111111,0.46927618980407715
12,svm-Noise-L2,0.130327868852459,0.5520833333333334,0.2108753315649867,0.1736111111111111,0.495225191116333
13,svm-Noise-L2,0.20142461416699645,0.5891203703703703,0.3002064287820702,0.45069444444444445,0.4026906490325928
14,svm-Noise-L2,0.19956357865502877,0.5821759259259259,0.297237405820653,0.4494212962962963,0.41644835472106934
15,svm-Noise-L2,0.28804347826086957,0.5520833333333334,0.3785714285714286,0.6375,0.4234278202056885
16,svm-Noise-L2,0.9935304990757856,0.6221064814814815,0.7651245551601423,0.9236111111111112,0.3802454471588135
17,svm-Noise-L2,0.14212152420185376,0.5590277777777778,0.2266275659824047,0.2369212962962963,0.4934256076812744
18,svm-Noise-L2,0.1132839782092471,0.4693287037037037,0.18251378417913808,0.15914351851851852,0.4264693260192871
19,svm-Noise-L2,0.28287092882991555,0.5428240740740741,0.3719270420301348,0.6333333333333333,0.4840359687805176
20,svm-Noise-L2,0.1246259724715739,0.4820601851851852,0.19805040418449835,0.21921296296296297,0.3994002342224121
21,svm-Noise-L2,0.6392206159648021,0.5885416666666666,0.6128351913226876,0.8512731481481481,0.38250041007995605
22,svm-Noise-L2,0.10687022900763359,0.47800925925925924,0.17468541820873426,0.09664351851851852,0.46593427658081055
23,svm-Noise-L2,0.26045340050377835,0.5983796296296297,0.362934362934363,0.5798611111111112,0.46007442474365234
24,svm-Noise-L2,0.9867403314917127,0.5167824074074074,0.6783137105962781,0.9019675925925926,0.40062713623046875
25,svm-Noise-L2,0.6491120636864667,0.6134259259259259,0.6307646533769712,0.8563657407407408,0.4110598564147949
26,svm-Noise-L2,1.0,0.49016203703703703,0.657864077669903,0.8980324074074074,0.40102481842041016
27,svm-Noise-L2,0.13723776223776224,0.6359953703703703,0.225760065735415,0.1275462962962963,0.42987680435180664
28,svm-Noise-L2,0.9922027290448343,0.5891203703703703,0.7392883079157588,0.9168981481481482,0.47481513023376465
29,svm-Noise-L2,0.994824016563147,0.5561342592592593,0.7134372680029696,0.9106481481481481,0.42762279510498047
30,svm-Noise-L2,0.996594778660613,0.5081018518518519,0.6730548102721349,0.9012731481481482,0.38663697242736816
1,svm-Noise-L2,0.014025245441795231,0.0014467592592592592,0.002622950819672131,0.11979166666666667,0.48744702339172363
2,svm-Noise-L2,0.8873619316722322,0.9995659722222222,0.9401279085589876,0.8981481481481481,0.4769759178161621
3,svm-Noise-L2,0.4439288476411446,0.08304398148148148,0.13991468616697134,0.1832175925925926,0.43969154357910156
4,svm-Noise-L2,0.8877280958350745,0.9220196759259259,0.9045490029096587,0.8443287037037037,0.42451047897338867
5,svm-Noise-L2,0.4337248322147651,0.0747974537037037,0.12759131293188547,0.18171296296296297,0.45541834831237793
6,svm-Noise-L2,0.4651741293532338,0.08116319444444445,0.1382113821138211,0.19027777777777777,0.4865696430206299
7,svm-Noise-L2,0.38799414348462663,0.07667824074074074,0.12805025368446485,0.16458333333333333,0.44585108757019043
8,svm-Noise-L2,0.90271654103257,0.9182581018518519,0.9104209997848384,0.8554398148148148,0.43958067893981934
9,svm-Noise-L2,0.44921875,0.08318865740740741,0.140380859375,0.1849537037037037,0.43358349800109863
10,svm-Noise-L2,0.7768903088391906,0.42216435185185186,0.5470566179227596,0.44074074074074077,0.4697439670562744
11,svm-Noise-L2,0.3445692883895131,0.0798611111111111,0.12966878083157152,0.1423611111111111,0.4979970455169678
12,svm-Noise-L2,0.41363636363636364,0.07899305555555555,0.1326530612244898,0.1736111111111111,0.5342309474945068
13,svm-Noise-L2,0.8020078081427775,0.41608796296296297,0.5479138883596876,0.45069444444444445,0.4329187870025635
14,svm-Noise-L2,0.7993887190886357,0.4162326388888889,0.547426505565598,0.4494212962962963,0.4439668655395508
15,svm-Noise-L2,0.8547297297297297,0.6588541666666666,0.7441176470588236,0.6375,0.4514889717102051
16,svm-Noise-L2,0.9136014818735115,0.9989872685185185,0.954388389771942,0.9236111111111112,0.40980982780456543
17,svm-Noise-L2,0.5865436787845903,0.15639467592592593,0.24694460308395202,0.2369212962962963,0.5227274894714355
