Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Tempo Processa Sensor
1,diversidade-Bias-L1,1.0,1.0,1.0,0.02264571189880371
2,diversidade-Bias-L1,1.0,0.9990997942386831,0.9995496944355099,0.021381378173828125
3,diversidade-Bias-L1,1.0,0.9997427983539094,0.9998713826366559,0.02168440818786621
4,diversidade-Bias-L1,1.0,0.9994855967078189,0.9997427321842037,0.02151036262512207
5,diversidade-Bias-L1,1.0,0.9996141975308642,0.9998070615473663,0.021284103393554688
6,diversidade-Bias-L1,1.0,0.9989711934156379,0.9994853319608853,0.021622180938720703
7,diversidade-Bias-L1,1.0,0.9990997942386831,0.9995496944355099,0.021393299102783203
8,diversidade-Bias-L1,1.0,0.9992283950617284,0.9996140486298727,0.022136688232421875
9,diversidade-Bias-L1,1.0,0.9992283950617284,0.9996140486298727,0.02273869514465332
10,diversidade-Bias-L1,1.0,0.9993569958847737,0.9996783945455715,0.022958993911743164
11,diversidade-Bias-L1,1.0,0.9993569958847737,0.9996783945455715,0.021764039993286133
12,diversidade-Bias-L1,1.0,0.9996141975308642,0.9998070615473663,0.02149510383605957
13,diversidade-Bias-L1,1.0,0.9994855967078189,0.9997427321842037,0.021473169326782227
14,diversidade-Bias-L1,1.0,0.9992283950617284,0.9996140486298727,0.0217592716217041
15,diversidade-Bias-L1,1.0,0.9997427983539094,0.9998713826366559,0.021467208862304688
16,diversidade-Bias-L1,1.0,0.9992283950617284,0.9996140486298727,0.021689414978027344
17,diversidade-Bias-L1,1.0,0.9993569958847737,0.9996783945455715,0.021416664123535156
18,diversidade-Bias-L1,1.0,0.9997427983539094,0.9998713826366559,0.021841764450073242
19,diversidade-Bias-L1,1.0,0.9992283950617284,0.9996140486298727,0.022101640701293945
20,diversidade-Bias-L1,1.0,0.9990997942386831,0.9995496944355099,0.021589279174804688
21,diversidade-Bias-L1,1.0,0.9992283950617284,0.9996140486298727,0.02203226089477539
22,diversidade-Bias-L1,1.0,0.9993569958847737,0.9996783945455715,0.022111177444458008
23,diversidade-Bias-L1,1.0,0.9988425925925926,0.9994209612044007,0.021552085876464844
24,diversidade-Bias-L1,1.0,0.9992283950617284,0.9996140486298727,0.0212860107421875
25,diversidade-Bias-L1,1.0,0.9994855967078189,0.9997427321842037,0.021380186080932617
26,diversidade-Bias-L1,1.0,0.9990997942386831,0.9995496944355099,0.02135944366455078
27,diversidade-Bias-L1,1.0,0.9990997942386831,0.9995496944355099,0.02176356315612793
28,diversidade-Bias-L1,1.0,0.9993569958847737,0.9996783945455715,0.021381378173828125
29,diversidade-Bias-L1,1.0,0.9993569958847737,0.9996783945455715,0.02284979820251465
30,diversidade-Bias-L1,1.0,0.9996141975308642,0.9998070615473663,0.021616458892822266
