Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Tempo Processa Sensor
1,diversidade-Drift-L2,0.9998553450021698,1.0,0.9999276672694395,0.021594762802124023
2,diversidade-Drift-L2,1.0,0.9995659722222222,0.9997829390058606,0.021398544311523438
3,diversidade-Drift-L2,0.9998552193426958,0.9991319444444444,0.9994934510456618,0.021410703659057617
4,diversidade-Drift-L2,1.0,0.9995659722222222,0.9997829390058606,0.02158665657043457
5,diversidade-Drift-L2,1.0,0.9985532407407407,0.9992760967134791,0.02149343490600586
6,diversidade-Drift-L2,0.9997105225068751,0.9992766203703703,0.9994935243470081,0.04141640663146973
7,diversidade-Drift-L2,1.0,0.9997106481481481,0.9998553031399219,0.0484011173248291
8,diversidade-Drift-L2,1.0,0.9986979166666666,0.9993485342019545,0.03097081184387207
9,diversidade-Drift-L2,0.9998552193426958,0.9991319444444444,0.9994934510456618,0.025538921356201172
10,diversidade-Drift-L2,1.0,0.9991319444444444,0.9995657837603126,0.022696971893310547
11,diversidade-Drift-L2,0.9998551983782218,0.9989872685185185,0.9994210450137502,0.024796724319458008
12,diversidade-Drift-L2,1.0,0.9992766203703703,0.9996381793183299,0.023576974868774414
13,diversidade-Drift-L2,1.0,0.9991319444444444,0.9995657837603126,0.02314615249633789
14,diversidade-Drift-L2,1.0,0.9992766203703703,0.9996381793183299,0.02283334732055664
15,diversidade-Drift-L2,0.9998551354483558,0.9985532407407407,0.9992037640246109,0.039608001708984375
16,diversidade-Drift-L2,0.9998552612534376,0.9994212962962963,0.9996382316764344,0.025136947631835938
17,diversidade-Drift-L2,0.9998551983782218,0.9989872685185185,0.9994210450137502,0.02297210693359375
18,diversidade-Drift-L2,1.0,0.9991319444444444,0.9995657837603126,0.02390575408935547
19,diversidade-Drift-L2,0.9998551983782218,0.9989872685185185,0.9994210450137502,0.02611565589904785
20,diversidade-Drift-L2,0.9998551564310545,0.9986979166666666,0.9992762015055009,0.027943134307861328
21,diversidade-Drift-L2,1.0,0.9994212962962963,0.9997105643994211,0.026845693588256836
22,diversidade-Drift-L2,0.9998551564310545,0.9986979166666666,0.9992762015055009,0.026041746139526367
23,diversidade-Drift-L2,0.9998551774076756,0.9988425925925926,0.9993486285011218,0.02364349365234375
24,diversidade-Drift-L2,0.9998552403011002,0.9992766203703703,0.9995658465991317,0.025545120239257812
25,diversidade-Drift-L2,0.9997102708967116,0.9984085648148148,0.9990589938472674,0.024964094161987305
26,diversidade-Drift-L2,1.0,0.9989872685185185,0.9994933777230947,0.024895429611206055
27,diversidade-Drift-L2,0.9998551774076756,0.9988425925925926,0.9993486285011218,0.02477240562438965
28,diversidade-Drift-L2,0.9998551983782218,0.9989872685185185,0.9994210450137502,0.02455592155456543
29,diversidade-Drift-L2,1.0,0.9989872685185185,0.9994933777230947,0.0247042179107666
30,diversidade-Drift-L2,1.0,0.9995659722222222,0.9997829390058606,0.023941755294799805
