Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Tempo Processa Sensor
1,diversidade-Freezing-L1,0.4998842324612179,0.999537037037037,0.6664608735916037,0.021717548370361328
2,diversidade-Freezing-L1,0.5,1.0,0.6666666666666666,0.021470069885253906
3,diversidade-Freezing-L1,0.4998842324612179,0.999537037037037,0.6664608735916037,0.021451711654663086
4,diversidade-Freezing-L1,0.49971048060220036,0.9988425925925926,0.6661520648398302,0.02146291732788086
5,diversidade-Freezing-L1,0.5001158211721103,0.999537037037037,0.6666666666666667,0.021354198455810547
6,diversidade-Freezing-L1,0.49971048060220036,0.9988425925925926,0.6661520648398302,0.021557331085205078
7,diversidade-Freezing-L1,0.4997684113015285,0.9990740740740741,0.6662550169805496,0.021347999572753906
8,diversidade-Freezing-L1,0.4998263285863147,0.9993055555555556,0.6663579532299143,0.02140045166015625
9,diversidade-Freezing-L1,0.4998263285863147,0.9993055555555556,0.6663579532299143,0.021506547927856445
10,diversidade-Freezing-L1,0.5001737116386797,0.9997685185185186,0.6667695870320339,0.021352529525756836
11,diversidade-Freezing-L1,0.500057930714865,0.9990740740740741,0.6665122384371863,0.021332740783691406
12,diversidade-Freezing-L1,0.4998263285863147,0.9993055555555556,0.6663579532299143,0.021369457244873047
13,diversidade-Freezing-L1,0.4998263285863147,0.9993055555555556,0.6663579532299143,0.0217745304107666
14,diversidade-Freezing-L1,0.500057930714865,0.9990740740740741,0.6665122384371863,0.021709918975830078
15,diversidade-Freezing-L1,0.4998263285863147,0.9993055555555556,0.6663579532299143,0.02134418487548828
16,diversidade-Freezing-L1,0.5001158211721103,0.999537037037037,0.6666666666666667,0.02158045768737793
17,diversidade-Freezing-L1,0.5001737518823121,0.999537037037037,0.6667181347950282,0.021424293518066406
18,diversidade-Freezing-L1,0.5002315886984715,1.0,0.6668724915097252,0.021487712860107422
19,diversidade-Freezing-L1,0.5001737116386797,0.9997685185185186,0.6667695870320339,0.02195119857788086
20,diversidade-Freezing-L1,0.4997684113015285,0.9990740740740741,0.6662550169805496,0.021402597427368164
21,diversidade-Freezing-L1,0.49994205585815277,0.9986111111111111,0.6663062784771024,0.02135610580444336
22,diversidade-Freezing-L1,0.4998263285863147,0.9993055555555556,0.6663579532299143,0.021218061447143555
23,diversidade-Freezing-L1,0.4997684113015285,0.9990740740740741,0.6662550169805496,0.0215604305267334
24,diversidade-Freezing-L1,0.4998263285863147,0.9993055555555556,0.6663579532299143,0.02149510383605957
25,diversidade-Freezing-L1,0.5001158211721103,0.999537037037037,0.6666666666666667,0.022123336791992188
26,diversidade-Freezing-L1,0.4998841251448436,0.9986111111111111,0.6662548262548262,0.022044658660888672
27,diversidade-Freezing-L1,0.5,0.9990740740740741,0.6664607782581841,0.024736404418945312
28,diversidade-Freezing-L1,0.4998263285863147,0.9993055555555556,0.6663579532299143,0.021552085876464844
29,diversidade-Freezing-L1,0.4999421229308948,0.9997685185185186,0.6665637780692955,0.02136087417602539
30,diversidade-Freezing-L1,0.5002895193977996,1.0,0.6669239675800849,0.021225690841674805
