Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Tempo Processa Sensor
1,diversidade-Noise-L2,0.9514108740536821,1.0,0.9751005149185301,0.024462223052978516
2,diversidade-Noise-L2,0.9521445317887188,0.9988425925925926,0.9749346889783237,0.0277712345123291
3,diversidade-Noise-L2,0.9508535242290749,0.9992766203703703,0.9744638826185101,0.02481532096862793
4,diversidade-Noise-L2,0.9548217739707101,0.9998553240740741,0.9768197879858658,0.022975444793701172
5,diversidade-Noise-L2,0.9574438591627391,0.9992766203703703,0.9779130681013734,0.023138761520385742
6,diversidade-Noise-L2,0.955085682697623,0.9998553240740741,0.9769578739044388,0.023050546646118164
7,diversidade-Noise-L2,0.9538928768636112,0.9997106481481481,0.9762644814919469,0.023075342178344727
8,diversidade-Noise-L2,0.9565096952908587,0.9991319444444444,0.9773563543730541,0.02409648895263672
9,diversidade-Noise-L2,0.9502200220022002,0.9997106481481481,0.9743372814438804,0.02315545082092285
10,diversidade-Noise-L2,0.9530775600331217,0.9991319444444444,0.9755615199886989,0.02342057228088379
11,diversidade-Noise-L2,0.9559800664451827,0.9991319444444444,0.9770797962648556,0.023215055465698242
12,diversidade-Noise-L2,0.9519151281344723,0.9995659722222222,0.9751587861679605,0.023319244384765625
13,diversidade-Noise-L2,0.9556786703601108,0.9982638888888888,0.9765072176620436,0.023244142532348633
14,diversidade-Noise-L2,0.9529525386313465,0.9992766203703703,0.9755649717514124,0.02362227439880371
15,diversidade-Noise-L2,0.9505577744112381,0.9985532407407407,0.9739645805404642,0.023157358169555664
16,diversidade-Noise-L2,0.9525713497862953,0.9995659722222222,0.9755030003529827,0.023119688034057617
17,diversidade-Noise-L2,0.952959028831563,0.9994212962962963,0.975637313749029,0.02335643768310547
18,diversidade-Noise-L2,0.9527754763877382,0.9982638888888888,0.9749894022891056,0.023120641708374023
19,diversidade-Noise-L2,0.9528145695364238,0.9991319444444444,0.9754237288135593,0.023067474365234375
20,diversidade-Noise-L2,0.9481196815811145,0.9994212962962963,0.9730948020848007,0.02303171157836914
21,diversidade-Noise-L2,0.9546898742920293,0.9998553240740741,0.976750759663628,0.021964073181152344
22,diversidade-Noise-L2,0.9509844416907614,0.9992766203703703,0.9745326278659612,0.022841453552246094
23,diversidade-Noise-L2,0.9547842920353983,0.9989872685185185,0.9763857466063348,0.022025108337402344
24,diversidade-Noise-L2,0.955211501244125,0.9997106481481481,0.9769546161459071,0.021841049194335938
25,diversidade-Noise-L2,0.9547905433430112,0.9991319444444444,0.976458112407211,0.021895647048950195
26,diversidade-Noise-L2,0.9546209186496957,0.9982638888888888,0.975954738330976,0.022286653518676758
27,diversidade-Noise-L2,0.947209653092006,0.9994212962962963,0.972615276311158,0.021506547927856445
28,diversidade-Noise-L2,0.954269135120199,0.9992766203703703,0.9762544169611308,0.02175593376159668
29,diversidade-Noise-L2,0.9530386740331491,0.9982638888888888,0.9751271905031091,0.021869182586669922
30,diversidade-Noise-L2,0.9535847492747617,0.9986979166666666,0.9756200975196099,0.021672964096069336
