Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Tempo Processa Sensor
1,isolation-Bias-L1,0.9294441782462866,0.9978137860082305,0.9624162738774498,0.07561373710632324
2,isolation-Bias-L1,0.9295470884255931,0.9976851851851852,0.9624116114625977,0.07628870010375977
3,isolation-Bias-L1,0.9282296650717703,0.9979423868312757,0.9618244918195338,0.07502603530883789
4,isolation-Bias-L1,0.9264214046822743,0.9974279835390947,0.9606143175625464,0.07556557655334473
5,isolation-Bias-L1,0.9311420345489443,0.9981995884773662,0.9635054617676266,0.07792854309082031
6,isolation-Bias-L1,0.9295133061615919,0.9971707818930041,0.9621541134135749,0.08196806907653809
7,isolation-Bias-L1,0.9306823642479577,0.9962705761316872,0.962360248447205,0.0827949047088623
8,isolation-Bias-L1,0.9286998202516477,0.996656378600823,0.9614788164505923,0.07813239097595215
9,isolation-Bias-L1,0.9284517827231396,0.9979423868312757,0.9619437213338292,0.0752096176147461
10,isolation-Bias-L1,0.933020683020683,0.9978137860082305,0.9643301019139946,0.07601118087768555
11,isolation-Bias-L1,0.9288452323909918,0.9971707818930041,0.9617960803770775,0.07524752616882324
12,isolation-Bias-L1,0.9308606409794743,0.9972993827160493,0.9629353697150307,0.07616353034973145
13,isolation-Bias-L1,0.9293159218881035,0.9975565843621399,0.962227873224586,0.07537674903869629
14,isolation-Bias-L1,0.9292723791287697,0.998585390946502,0.962682866352591,0.07475090026855469
15,isolation-Bias-L1,0.9298813376483279,0.9976851851851852,0.9625907314349526,0.07524275779724121
16,isolation-Bias-L1,0.9311877026540171,0.9971707818930041,0.9630503632863441,0.07515287399291992
17,isolation-Bias-L1,0.928314983245572,0.9975565843621399,0.9616910488470122,0.07550907135009766
18,isolation-Bias-L1,0.9286313016405221,0.9972993827160493,0.9617411793886028,0.07586503028869629
19,isolation-Bias-L1,0.9285628814167763,0.9979423868312757,0.9620033471765945,0.07547712326049805
20,isolation-Bias-L1,0.9281272422865343,0.998070987654321,0.9618292229520387,0.07492852210998535
21,isolation-Bias-L1,0.9286141336840846,0.9987139917695473,0.9623892434475493,0.07588028907775879
22,isolation-Bias-L1,0.9316352276823261,0.9971707818930041,0.9632896453195852,0.07484936714172363
23,isolation-Bias-L1,0.9301236643054388,0.9962705761316872,0.9620614715926731,0.07553315162658691
24,isolation-Bias-L1,0.9291706615532119,0.9970421810699589,0.9619106699751862,0.07567763328552246
25,isolation-Bias-L1,0.9298119535273686,0.9983281893004116,0.9628527131782946,0.07496428489685059
26,isolation-Bias-L1,0.9319220591772913,0.9963991769547325,0.9630826600372904,0.07556867599487305
27,isolation-Bias-L1,0.9256869772998805,0.9963991769547325,0.9597423510466988,0.07522344589233398
28,isolation-Bias-L1,0.9278708133971292,0.9975565843621399,0.9614526524541398,0.07509756088256836
29,isolation-Bias-L1,0.9295402712759573,0.9958847736625515,0.9615695039423854,0.07633662223815918
30,isolation-Bias-L1,0.9302939412117577,0.9971707818930041,0.9625721556700391,0.07490968704223633
