Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Tempo Processa Sensor
1,isolation-Drift-L1,1.0,1.0,1.0,0.08366608619689941
2,isolation-Drift-L1,1.0,1.0,1.0,0.08252239227294922
3,isolation-Drift-L1,1.0,1.0,1.0,0.08318257331848145
4,isolation-Drift-L1,0.9998714157129999,1.0,0.9999357037227545,0.0825495719909668
5,isolation-Drift-L1,1.0,1.0,1.0,0.08392620086669922
6,isolation-Drift-L1,0.9998714157129999,1.0,0.9999357037227545,0.08533835411071777
7,isolation-Drift-L1,0.999742864489586,1.0,0.9998714157129999,0.08521509170532227
8,isolation-Drift-L1,1.0,1.0,1.0,0.08339977264404297
9,isolation-Drift-L1,0.9996143463170073,1.0,0.9998071359691417,0.08281111717224121
10,isolation-Drift-L1,0.9998714157129999,1.0,0.9999357037227545,0.08267426490783691
11,isolation-Drift-L1,1.0,1.0,1.0,0.08332991600036621
12,isolation-Drift-L1,0.9998714157129999,1.0,0.9999357037227545,0.08340120315551758
13,isolation-Drift-L1,1.0,1.0,1.0,0.08549666404724121
14,isolation-Drift-L1,1.0,1.0,1.0,0.08433079719543457
15,isolation-Drift-L1,0.9998714157129999,1.0,0.9999357037227545,0.08439087867736816
16,isolation-Drift-L1,0.9998714157129999,1.0,0.9999357037227545,0.08145713806152344
17,isolation-Drift-L1,1.0,1.0,1.0,0.08217692375183105
18,isolation-Drift-L1,0.9998714157129999,1.0,0.9999357037227545,0.08293271064758301
19,isolation-Drift-L1,0.9998714157129999,1.0,0.9999357037227545,0.08246612548828125
20,isolation-Drift-L1,1.0,1.0,1.0,0.08305501937866211
21,isolation-Drift-L1,1.0,1.0,1.0,0.08205413818359375
22,isolation-Drift-L1,1.0,1.0,1.0,0.08278250694274902
23,isolation-Drift-L1,1.0,1.0,1.0,0.08313274383544922
24,isolation-Drift-L1,1.0,1.0,1.0,0.08431482315063477
25,isolation-Drift-L1,0.9998714157129999,1.0,0.9999357037227545,0.08897614479064941
26,isolation-Drift-L1,0.9998714157129999,1.0,0.9999357037227545,0.08939337730407715
27,isolation-Drift-L1,0.9998714157129999,1.0,0.9999357037227545,0.09086179733276367
28,isolation-Drift-L1,1.0,1.0,1.0,0.08713364601135254
29,isolation-Drift-L1,0.9998714157129999,1.0,0.9999357037227545,0.08324384689331055
30,isolation-Drift-L1,1.0,1.0,1.0,0.08735060691833496
