Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Tempo Processa Sensor
1,isolation-Noise-L2,0.8875192604006163,1.0,0.9404081632653062,0.0852346420288086
2,isolation-Noise-L2,0.8851325393776411,1.0,0.9390666394945995,0.0857846736907959
3,isolation-Noise-L2,0.8867222578576011,1.0,0.9399605629972122,0.08472967147827148
4,isolation-Noise-L2,0.8875192604006163,1.0,0.9404081632653062,0.0849764347076416
5,isolation-Noise-L2,0.8832098134423716,1.0,0.937983444157959,0.084686279296875
6,isolation-Noise-L2,0.8835485108014828,1.0,0.9381744146589752,0.0850076675415039
7,isolation-Noise-L2,0.8879753340184995,1.0,0.9406641262928688,0.0861513614654541
8,isolation-Noise-L2,0.8833226837060703,1.0,0.938047092352582,0.08571410179138184
9,isolation-Noise-L2,0.8884318766066838,1.0,0.9409202286958889,0.08706283569335938
10,isolation-Noise-L2,0.8852459016393442,1.0,0.9391304347826086,0.08768892288208008
11,isolation-Noise-L2,0.8846793805196468,1.0,0.9388115449915111,0.09407830238342285
12,isolation-Noise-L2,0.8837744533947065,1.0,0.9383017715332925,0.08578848838806152
13,isolation-Noise-L2,0.8840005115743701,1.0,0.9384291629896138,0.08458137512207031
14,isolation-Noise-L2,0.8862674701884857,1.0,0.9397049826660323,0.08582711219787598
15,isolation-Noise-L2,0.8849059019331712,1.0,0.938939074916797,0.08711099624633789
16,isolation-Noise-L2,0.8833226837060703,1.0,0.938047092352582,0.09533882141113281
17,isolation-Noise-L2,0.8871775125144398,1.0,0.9402162823913488,0.08814835548400879
18,isolation-Noise-L2,0.8859266854652653,1.0,0.9395133886094875,0.09002017974853516
19,isolation-Noise-L2,0.8864948056944979,1.0,0.9398327554558433,0.08942222595214844
20,isolation-Noise-L2,0.8840005115743701,1.0,0.9384291629896138,0.0851130485534668
21,isolation-Noise-L2,0.884113584036838,1.0,0.9384928716904276,0.09132790565490723
22,isolation-Noise-L2,0.8863811233649653,1.0,0.9397688647178789,0.08708453178405762
23,isolation-Noise-L2,0.8842266854291928,1.0,0.9385565890420259,0.08515405654907227
24,isolation-Noise-L2,0.8864948056944979,1.0,0.9398327554558433,0.08569550514221191
25,isolation-Noise-L2,0.8876332348786439,1.0,0.9404721409619703,0.09405779838562012
26,isolation-Noise-L2,0.8871775125144398,1.0,0.9402162823913488,0.09991717338562012
27,isolation-Noise-L2,0.8863811233649653,1.0,0.9397688647178789,0.12704896926879883
28,isolation-Noise-L2,0.8856996412096361,1.0,0.939385702636586,0.08666706085205078
29,isolation-Noise-L2,0.8878612716763006,1.0,0.9406001224739743,0.08475875854492188
30,isolation-Noise-L2,0.8868360277136259,1.0,0.9400244798041616,0.08569025993347168
