Sensor,Grupo de Execução,Precision,Recall,F1-Measure,Tempo Processa Sensor
1,svm-Drift-L1,0.9988439306358381,1.0,0.9994216310005783,0.3766798973083496
2,svm-Drift-L1,0.9988412514484357,0.9976851851851852,0.998262883613202,0.3718547821044922
3,svm-Drift-L1,0.9988439306358381,1.0,0.9994216310005783,0.377211332321167
4,svm-Drift-L1,0.9991006038802518,1.0,0.9995500996207982,0.37515830993652344
5,svm-Drift-L1,0.998970928736815,0.9987139917695473,0.9988424437299036,0.37458252906799316
6,svm-Drift-L1,0.9985850270131207,0.9983281893004116,0.9984565916398714,0.36903882026672363
7,svm-Drift-L1,0.9984579799537394,0.832690329218107,0.9080709627655845,0.3791637420654297
8,svm-Drift-L1,0.9988439306358381,1.0,0.9994216310005783,0.379518985748291
9,svm-Drift-L1,0.9993565821644576,0.9987139917695473,0.9990351836367144,0.3737208843231201
10,svm-Drift-L1,0.9987156434626252,1.0,0.9993574090733839,0.37377190589904785
11,svm-Drift-L1,0.9978160328879754,0.9988425925925926,0.9983290488431877,0.37702369689941406
12,svm-Drift-L1,0.9988439306358381,1.0,0.9994216310005783,0.38484716415405273
13,svm-Drift-L1,0.9979437090348284,0.998585390946502,0.9982644468727903,0.383192777633667
14,svm-Drift-L1,0.998712667353244,0.9976851851851852,0.9981986618630984,0.3814249038696289
15,svm-Drift-L1,0.9983286191823091,0.998585390946502,0.9984569885559985,0.37944793701171875
16,svm-Drift-L1,0.9982028241335045,1.0,0.9991006038802518,0.37480640411376953
17,svm-Drift-L1,0.9980719794344473,0.998585390946502,0.998328619182309,0.39530181884765625
18,svm-Drift-L1,0.9984591679506933,1.0,0.9992289899768697,0.4473843574523926
19,svm-Drift-L1,0.998586118251928,0.9990997942386831,0.998842890203137,0.4178941249847412
20,svm-Drift-L1,0.9992289899768697,1.0,0.9996143463170073,0.39493870735168457
21,svm-Drift-L1,0.9993574090733839,1.0,0.999678601272739,0.37668609619140625
22,svm-Drift-L1,0.9984591679506933,1.0,0.9992289899768697,0.38400888442993164
23,svm-Drift-L1,0.9992276004119465,0.9981995884773662,0.9987133299022132,0.39995527267456055
24,svm-Drift-L1,0.9981975022531222,0.9970421810699589,0.9976195071736473,0.41362452507019043
25,svm-Drift-L1,0.9988419969119917,0.9983281893004116,0.9985850270131206,0.4088127613067627
26,svm-Drift-L1,0.998968540484786,0.9963991769547325,0.9976822044810714,0.4009702205657959
27,svm-Drift-L1,0.997942651407998,0.998070987654321,0.9980068154053879,0.4138343334197998
28,svm-Drift-L1,0.9988425925925926,0.9988425925925926,0.9988425925925926,0.401472806930542
29,svm-Drift-L1,0.9984555984555985,0.9976851851851852,0.9980702431493631,0.4499194622039795
30,svm-Drift-L1,0.9989693377995362,0.9971707818930041,0.9980692495816708,0.39249205589294434
