Dado,Label,Predição,Avaliação
22.0,correto,P-correto,VP
17.659430119451727,incorreto,P-correto,FN
21.99629458082445,correto,P-correto,VP
21.994441871236685,correto,P-correto,VP
21.99258916164891,correto,P-correto,VP
21.99073645206114,correto,P-correto,VP
21.98888374247337,correto,P-correto,VP
21.9870310328856,correto,P-correto,VP
45.25756260803922,incorreto,P-correto,FN
21.98332561371005,correto,P-correto,VP
21.98147290412228,correto,P-correto,VP
-196.89264254713132,incorreto,P-correto,FN
21.97776748494673,correto,P-correto,VP
40.35243733024825,incorreto,P-correto,FN
21.97406206577119,correto,P-correto,VP
21.97220935618342,correto,P-correto,VP
21.970356646595647,correto,P-correto,VP
25.87482155990039,incorreto,P-correto,FN
191.4402326025419,incorreto,P-correto,FN
19.17062485535537,incorreto,P-correto,FN
21.96294580824456,correto,P-correto,VP
-71.97307916592703,incorreto,P-correto,FN
21.959240389069013,correto,P-correto,VP
21.95738767948124,correto,P-correto,VP
102.55344094279562,incorreto,P-correto,FN
21.953682260305698,correto,P-correto,VP
-333.79730544906243,incorreto,P-correto,FN
21.94997684113015,correto,P-correto,VP
21.948124131542382,correto,P-correto,VP
199.1754973511509,incorreto,P-correto,FN
32.5932855620199,incorreto,P-correto,FN
21.942566002779063,correto,P-correto,VP
21.94071329319129,correto,P-correto,VP
-67.95140435323532,incorreto,P-correto,FN
21.937007874015748,correto,P-correto,VP
-305.09919459815467,incorreto,P-correto,FN
21.9333024548402,correto,P-correto,VP
21.931449745252436,correto,P-correto,VP
1099.7331497389084,incorreto,P-correto,FN
21.927744326076887,correto,P-correto,VP
21.925891616489118,correto,P-correto,VP
21.924038906901345,correto,P-correto,VP
21.92218619731357,correto,P-correto,VP
197.57466574390247,incorreto,P-correto,FN
21.918480778138026,correto,P-correto,VP
-454.3660092154936,incorreto,P-correto,FN
745.7331792098237,incorreto,P-correto,FN
21.91292264937471,correto,P-correto,VP
-357.50025126719976,incorreto,P-correto,FN
21.909217230199165,correto,P-correto,VP
21.907364520611395,correto,P-correto,VP
21.905511811023626,correto,P-correto,VP
-115.26384331906242,incorreto,P-correto,FN
21.90180639184808,correto,P-correto,VP
21.899953682260307,correto,P-correto,VP
21.89810097267253,correto,P-correto,VP
21.89624826308476,correto,P-correto,VP
21.894395553496988,correto,P-correto,VP
21.89254284390922,correto,P-correto,VP
21.89069013432145,correto,P-correto,VP
21.888837424733676,correto,P-correto,VP
21.8869847151459,correto,P-correto,VP
21.88513200555813,correto,P-correto,VP
21.88327929597036,correto,P-correto,VP
21.881426586382585,correto,P-correto,VP
21.87957387679481,correto,P-correto,VP
21.87772116720704,correto,P-correto,VP
21.87586845761927,correto,P-correto,VP
21.874015748031496,correto,P-correto,VP
21.872163038443723,correto,P-correto,VP
-444.0032633649189,incorreto,P-correto,FN
21.86845761926818,correto,P-correto,VP
21.866604909680408,correto,P-correto,VP
959.92747999021,incorreto,P-correto,FN
21.862899490504866,correto,P-correto,VP
21.861046780917093,correto,P-correto,VP
21.85919407132932,correto,P-correto,VP
21.857341361741547,correto,P-correto,VP
21.85548865215377,correto,P-correto,VP
21.853635942566005,correto,P-correto,VP
21.85178323297823,correto,P-correto,VP
-510.0709199905544,incorreto,P-correto,FN
21.84807781380269,correto,P-correto,VP
21.846225104214916,correto,P-correto,VP
21.844372394627143,correto,P-correto,VP
21.84251968503937,correto,P-correto,VP
-408.3271367482212,incorreto,P-correto,FN
21.838814265863824,correto,P-correto,VP
21.83696155627605,correto,P-correto,VP
21.83510884668828,correto,P-correto,VP
21.83325613710051,correto,P-correto,VP
21.831403427512736,correto,P-correto,VP
21.829550717924967,correto,P-correto,VP
21.827698008337197,correto,P-correto,VP
21.82584529874942,correto,P-correto,VP
21.823992589161648,correto,P-correto,VP
21.822139879573875,correto,P-correto,VP
21.820287169986106,correto,P-correto,VP
21.818434460398333,correto,P-correto,VP
21.81658175081056,correto,P-correto,VP
20.6121857890158,incorreto,P-correto,FN
21.812876331635017,correto,P-correto,VP
21.811023622047244,correto,P-correto,VP
-274.20981177344635,incorreto,P-correto,FN
-17.920359480293165,incorreto,P-correto,FN
