Dado,Label,Predição,Avaliação
22.0,correto,P-incorreto,FP
33.25609714914104,incorreto,P-incorreto,VN
21.99629458082445,correto,P-incorreto,FP
21.994441871236685,correto,P-incorreto,FP
21.99258916164891,correto,P-incorreto,FP
21.99073645206114,correto,P-incorreto,FP
21.98888374247337,correto,P-incorreto,FP
21.9870310328856,correto,P-incorreto,FP
22.20552603029251,incorreto,P-incorreto,VN
21.98332561371005,correto,P-incorreto,FP
21.98147290412228,correto,P-incorreto,FP
25.175139379670533,incorreto,P-incorreto,VN
21.97776748494673,correto,P-incorreto,FP
16.525063676603217,incorreto,P-incorreto,VN
21.97406206577119,correto,P-incorreto,FP
21.97220935618342,correto,P-incorreto,FP
21.970356646595647,correto,P-incorreto,FP
22.273048878975708,incorreto,P-incorreto,VN
29.18312701783088,incorreto,P-correto,FN
29.512938705669452,incorreto,P-correto,FN
21.96294580824456,correto,P-incorreto,FP
14.577089872051072,incorreto,P-incorreto,VN
21.959240389069013,correto,P-incorreto,FP
21.95738767948124,correto,P-incorreto,FP
31.314406055861248,incorreto,P-correto,FN
21.953682260305698,correto,P-incorreto,FP
9.468889161122622,incorreto,P-incorreto,VN
21.94997684113015,correto,P-incorreto,FP
21.948124131542382,correto,P-incorreto,FP
25.53814518640607,incorreto,P-incorreto,VN
22.71848614849754,incorreto,P-incorreto,VN
21.942566002779063,correto,P-incorreto,FP
21.94071329319129,correto,P-incorreto,FP
13.580102393470042,incorreto,P-incorreto,VN
21.937007874015748,correto,P-incorreto,FP
35.10526890171481,incorreto,P-incorreto,VN
21.9333024548402,correto,P-incorreto,FP
21.931449745252436,correto,P-incorreto,FP
16.364691466979778,incorreto,P-incorreto,VN
21.927744326076887,correto,P-incorreto,FP
21.925891616489118,correto,P-incorreto,FP
21.924038906901345,correto,P-incorreto,FP
21.92218619731357,correto,P-incorreto,FP
28.444864547788008,incorreto,P-incorreto,VN
21.918480778138026,correto,P-incorreto,FP
26.7619370847532,incorreto,P-correto,FN
30.5333993159021,incorreto,P-incorreto,VN
21.91292264937471,correto,P-incorreto,FP
27.194863901270253,incorreto,P-incorreto,VN
21.909217230199165,correto,P-incorreto,FP
21.907364520611395,correto,P-incorreto,FP
21.905511811023626,correto,P-incorreto,FP
43.31850594270008,incorreto,P-incorreto,VN
21.90180639184808,correto,P-incorreto,FP
21.899953682260307,correto,P-incorreto,FP
21.89810097267253,correto,P-incorreto,FP
21.89624826308476,correto,P-incorreto,FP
21.894395553496988,correto,P-incorreto,FP
21.89254284390922,correto,P-incorreto,FP
21.89069013432145,correto,P-incorreto,FP
21.888837424733676,correto,P-incorreto,FP
21.8869847151459,correto,P-incorreto,FP
21.88513200555813,correto,P-incorreto,FP
21.88327929597036,correto,P-incorreto,FP
21.881426586382585,correto,P-incorreto,FP
21.87957387679481,correto,P-incorreto,FP
21.87772116720704,correto,P-incorreto,FP
21.87586845761927,correto,P-incorreto,FP
21.874015748031496,correto,P-incorreto,FP
21.872163038443723,correto,P-incorreto,FP
13.01708593553791,incorreto,P-correto,FN
21.86845761926818,correto,P-incorreto,FP
21.866604909680408,correto,P-incorreto,FP
24.42816865377651,incorreto,P-correto,FN
21.862899490504866,correto,P-incorreto,FP
21.861046780917093,correto,P-incorreto,FP
21.85919407132932,correto,P-incorreto,FP
21.857341361741547,correto,P-incorreto,FP
21.85548865215377,correto,P-incorreto,FP
21.853635942566005,correto,P-incorreto,FP
21.85178323297823,correto,P-incorreto,FP
14.499501460072931,incorreto,P-incorreto,VN
21.84807781380269,correto,P-incorreto,FP
21.846225104214916,correto,P-incorreto,FP
21.844372394627143,correto,P-incorreto,FP
21.84251968503937,correto,P-incorreto,FP
14.575270738200334,incorreto,P-incorreto,VN
21.838814265863824,correto,P-incorreto,FP
21.83696155627605,correto,P-incorreto,FP
21.83510884668828,correto,P-incorreto,FP
21.83325613710051,correto,P-incorreto,FP
21.831403427512736,correto,P-incorreto,FP
21.829550717924967,correto,P-incorreto,FP
21.827698008337197,correto,P-incorreto,FP
21.82584529874942,correto,P-incorreto,FP
21.823992589161648,correto,P-incorreto,FP
21.822139879573875,correto,P-incorreto,FP
21.820287169986106,correto,P-incorreto,FP
21.818434460398333,correto,P-incorreto,FP
21.81658175081056,correto,P-incorreto,FP
19.566463147851916,incorreto,P-incorreto,VN
21.812876331635017,correto,P-incorreto,FP
21.811023622047244,correto,P-incorreto,FP
44.22509265961902,incorreto,P-incorreto,VN
22.60285070083972,incorreto,P-incorreto,VN
25.88323179752464,incorreto,P-correto,FN
21.80361278369616,correto,P-incorreto,FP
21.801760074108383,correto,P-incorreto,FP
32.51230724442489,incorreto,P-correto,FN
25.960585683638893,incorreto,P-correto,FN
21.796201945345068,correto,P-incorreto,FP
21.79434923575729,correto,P-incorreto,FP
21.79249652616952,correto,P-incorreto,FP
21.79064381658175,correto,P-incorreto,FP
21.78879110699398,correto,P-incorreto,FP
21.786938397406207,correto,P-incorreto,FP
21.785085687818437,correto,P-incorreto,FP
12.35906528271035,incorreto,P-incorreto,VN
21.78138026864289,correto,P-incorreto,FP
23.57560367471722,incorreto,P-correto,FN
21.777674849467346,correto,P-incorreto,FP
21.775822139879573,correto,P-incorreto,FP
21.773969430291803,correto,P-incorreto,FP
21.77211672070403,correto,P-incorreto,FP
21.770264011116257,correto,P-incorreto,FP
21.768411301528484,correto,P-incorreto,FP
21.766558591940715,correto,P-incorreto,FP
21.764705882352946,correto,P-incorreto,FP
21.76285317276517,correto,P-incorreto,FP
21.7610004631774,correto,P-incorreto,FP
26.96698555801024,incorreto,P-correto,FN
